Connection point,Industrial,Commercial,Residential,Note
ABY0111ALPEGN,0.25030525,0.081807082,0.667887668,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ADD0111ORONGN,0.015873016,0.984126984,0,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ADD0661ORONGN,0.066666667,0.933333333,0,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ALB0331UNETGN,0.027691433,0.083855841,0.888452726,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ALB1101UNETGN,0.074622771,0.221399177,0.703978052,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ANA0111LINEGN,1,0,0,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
APS0111ORONGN,0.04375,0.26875,0.6875,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ASB0331EASHGN,0,1,0,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ASB0661EASHGN,0.285403821,0.073183059,0.64141312,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ASY0111MPOWGN,0.108735049,0.04385647,0.847408481,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ATU1101WPOWGN,1,0,0,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
BAL0331OTPOGN,0.177197507,0.076294864,0.746507629,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
BLN0331MARLGN,0.079750827,0.081327386,0.838921787,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
BOB0331COUPGN,0.138828159,0.075863577,0.785308264,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
BOB1101COUPGN,0.080112765,0.068443778,0.851443457,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
BPD1101ALPEGN,0.49117175,0.035313002,0.473515249,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
BPE0331POCOGN,0.066755084,0.09481285,0.838432066,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
BRB0331NPOWGN,0.093036316,0.078809435,0.828154249,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
BRK0331POCOGN,0.040796581,0.063613642,0.895589777,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
BRY0661ORONGN,0.03301425,0.08118496,0.88580079,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
CBG0111WAIPGN,0.087943476,0.074037883,0.838018641,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
CLH0111ORONGN,0.137777778,0.168888889,0.693333333,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
CML0331DUNEGN,0.103222245,0.100669289,0.796108466,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
COL0111ORONGN,0.30075188,0.07518797,0.62406015,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
CPK0111CKHKGN,0.020217918,0.140556901,0.839225182,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
CPK0331CKHKGN,0.012685474,0.114993589,0.872320938,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
CST0331POCOGN,0.045724528,0.085720311,0.868555161,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
CUL0331MPOWGN,0.302987198,0.093598862,0.60341394,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
CUL0661MPOWGN,0.102387844,0.145803184,0.751808973,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
CYD0331DUNEGN,0.124007001,0.09748216,0.778510839,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
DOB0331WPOWGN,0.1,0.087108014,0.812891986,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
DVK0111SCANGN,0.201467269,0.093679458,0.704853273,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
EDG0331HEDLGN,0.07999513,0.092170948,0.827833922,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
EDN0331TPCOGN,0.361431871,0.065819861,0.572748268,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
FHL0331HAWKGN,0.080803709,0.065409583,0.853786708,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
FKN0331DUNEGN,0.053685168,0.173864352,0.772450479,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
FKN0331LLNWGN,0.053748232,0.13107025,0.815181518,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
GFD0331CKHKGN,0.028920207,0.0963483,0.874731493,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
GLN0332COUPGN,0.099845068,0.062489241,0.837665691,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
GLN0332NZSTGN,1,0,0,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
GOR0331TPCOGN,0.203642384,0.08723096,0.709126656,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
GYM0661WPOWGN,0.025096966,0.129135295,0.845767739,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
GYT0331POCOGN,0.14345172,0.075194229,0.781354051,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
HAM0111WAIKGN,0.018882392,0.042269721,0.938847887,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
HAM0331WAIKGN,0.03595501,0.084530126,0.879514863,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
