TimeSlice,Attribute,AllRegions
SUM-WK-D,YRFR,0.081
SUM-WK-N,YRFR,0.088
SUM-WK-P,YRFR,0.007
SUM-WE-D,YRFR,0.032
SUM-WE-N,YRFR,0.035
SUM-WE-P,YRFR,0.003
FAL-WK-D,YRFR,0.083
FAL-WK-N,YRFR,0.09
FAL-WK-P,YRFR,0.008
FAL-WE-D,YRFR,0.033
FAL-WE-N,YRFR,0.036
FAL-WE-P,YRFR,0.003
WIN-WK-D,YRFR,0.083
WIN-WK-N,YRFR,0.09
WIN-WK-P,YRFR,0.008
WIN-WE-D,YRFR,0.033
WIN-WE-N,YRFR,0.036
WIN-WE-P,YRFR,0.003
SPR-WK-D,YRFR,0.082
SPR-WK-N,YRFR,0.089
SPR-WK-P,YRFR,0.007
SPR-WE-D,YRFR,0.033
SPR-WE-N,YRFR,0.0339999999999999
SPR-WE-P,YRFR,0.003
