EndUse,AFA,Note
Electronics and Other Electrical Uses,0.17,from TIMES 2.0
"Intermediate Heat (100-300 C), Cooking",0.04,from TIMES 2.0
Lighting,0.17,from TIMES 2.0
"Low Temperature Heat (< 100 C), Dishwashers",0.04,from TIMES 2.0
"Low Temperature Heat (<100 C), Clothes Drying",0.01,from TIMES 2.0
"Low Temperature Heat (<100 C), Clothes Washing",0.04,from TIMES 2.0
"Low Temperature Heat (<100 C), Space Heating",0.08,from TIMES 2.0
"Low Temperature Heat (<100 C), Water Heating",0.13,from TIMES 2.0
"Motive Power, Mobile",0.003,from TIMES 2.0
Refrigeration,0.4,from TIMES 2.0
Space Cooling,0.01,from TIMES 2.0
