EndUse,Technology,Fuel,DwellingType,CAPEX,OPEX,PriceBaseYear,Note
Electronics and Other Electrical Uses,IT and Entertainment,Electricity,Detached,733,,2018,from TIMES 2.0
Electronics and Other Electrical Uses,"Misc, Residential Only (Battery chargers, Pools, Pumps)  ",Electricity,Detached,733,,2018,from TIMES 2.0
"Intermediate Heat (100-300 C), Cooking","Cooking Appliances, Residential Only (Cooktops/Microwaves/Ovens/Uprights)  ",Electricity,Detached,450,,2018,from TIMES 2.0
"Intermediate Heat (100-300 C), Cooking","Cooking Appliances, Residential Only (Cooktops/Microwaves/Ovens/Uprights)  ",LPG,Detached,350,150,2018,from TIMES 2.0
"Intermediate Heat (100-300 C), Cooking","Cooking Appliances, Residential Only (Cooktops/Microwaves/Ovens/Uprights)  ",Natural Gas,Detached,350,150,2018,from TIMES 2.0
Lighting,Fluorescent,Electricity,Detached,1176,,2018,from TIMES 2.0
Lighting,Incandescent/Halogen,Electricity,Detached,778,,2018,from TIMES 2.0
Lighting,LED,Electricity,Detached,1148,,2018,from TIMES 2.0
"Low Temperature Heat (< 100 C), Dishwashers",Dishwashers,Electricity,Detached,2640,,2018,from TIMES 2.0
"Low Temperature Heat (<100 C), Clothes Drying",Clothes Dryer,Electricity,Detached,1665,,2018,from TIMES 2.0
"Low Temperature Heat (<100 C), Clothes Washing",Clothes Washers,Electricity,Detached,3995,,2018,from TIMES 2.0
"Low Temperature Heat (<100 C), Space Heating",Burner (Direct Heat),LPG,Detached,1260,150,2018,from TIMES 2.0
"Low Temperature Heat (<100 C), Space Heating",Burner (Direct Heat),Natural Gas,Detached,1260,150,2018,from TIMES 2.0
"Low Temperature Heat (<100 C), Space Heating",Burner (Direct Heat),Wood,Detached,373,,2018,from TIMES 2.0
"Low Temperature Heat (<100 C), Space Heating","Coal Heaters, Residential Only  ",Coal,Detached,,,2018,from TIMES 2.0 - tech cannot be built
"Low Temperature Heat (<100 C), Space Heating",Ground source heat pump,Geothermal,Detached,,,2018,from TIMES 2.0 - tech cannot be built (assume no additional resource?)
"Low Temperature Heat (<100 C), Space Heating",Heat Pump (for Heating),Electricity,Detached,558,,2018,from TIMES 2.0
"Low Temperature Heat (<100 C), Space Heating",Resistance Heater,Electricity,Detached,24,,2018,from TIMES 2.0
"Low Temperature Heat (<100 C), Water Heating","Burner, with Wetback",Wood,Detached,,,2018,from TIMES 2.0 - tech cannot be built
"Low Temperature Heat (<100 C), Water Heating",Gas Water Heater,LPG,Detached,250,150,2018,from TIMES 2.0
"Low Temperature Heat (<100 C), Water Heating",Gas Water Heater,Natural Gas,Detached,250,150,2018,from TIMES 2.0
