Region,ClimateZone,HDD,HDD Degrees,Note
Northland,Northland,1024,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
Auckland,Auckland,1165,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
Waikato,Hamilton,1710,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
Bay of Plenty,Bay of Plenty,1274,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
Gisborne,East Coast,1604,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
Hawke's Bay,East Coast,1604,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
Taranaki,New Plymouth,1646,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
Manawatū-Whanganui,Manawatu,1821,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
Wellington,Wellington,1930,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
Tasman,Nelson-Marlborough,1912,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
Nelson,Nelson-Marlborough,1912,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
Marlborough,Nelson-Marlborough,1912,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
West Coast,West Coast,2416,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
Canterbury,Christchurch,2490,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
Otago,Dunedin,2657,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
Southland,Invercargill,2937,18degrees,Old data from TIMES-NZ 2.0. Should be updated by recalculating from NIWA data hosted at https://www.building.govt.nz/getting-started/climate-change-work-programme/resources/weather-files-aotearoa-new-zealand
