Attribute,Pset_PN,Pset_CI,Pset_CO,Cset_CN,Other_Indexes,Year,LimType,Value
PRC_MARK,RES*HPSH-S_HEAT,RESELC,DD-S_HEAT,DD-S_HEAT,RES_HPSH,2024,UP,0.57
PRC_MARK,RES*HPSH-S_HEAT,RESELC,DD-S_HEAT,DD-S_HEAT,RES_HPSH,2050,UP,1
PRC_MARK,RES*HPSH-S_HEAT,RESELC,JD-S_HEAT,JD-S_HEAT,RES_HPSH,2024,UP,0.57
PRC_MARK,RES*HPSH-S_HEAT,RESELC,JD-S_HEAT,JD-S_HEAT,RES_HPSH,2050,UP,1
PRC_MARK,RES*LED-LIGHT,RESELC,DD-LIGHT,DD-LIGHT,RES_LED,2024,UP,0.42
PRC_MARK,RES*LED-LIGHT,RESELC,DD-LIGHT,DD-LIGHT,RES_LED,2050,UP,1
PRC_MARK,RES*LED-LIGHT,RESELC,JD-LIGHT,JD-LIGHT,RES_LED,2024,UP,0.42
PRC_MARK,RES*LED-LIGHT,RESELC,JD-LIGHT,JD-LIGHT,RES_LED,2050,UP,1
PRC_MARK,RES*INCAN-LIGHT,RESELC,DD-LIGHT,DD-LIGHT,RES_INCAN,2024,UP,0.33
PRC_MARK,RES*INCAN-LIGHT,RESELC,DD-LIGHT,DD-LIGHT,RES_INCAN,2050,UP,0
PRC_MARK,RES*INCAN-LIGHT,RESELC,JD-LIGHT,JD-LIGHT,RES_INCAN,2024,UP,0.33
PRC_MARK,RES*INCAN-LIGHT,RESELC,JD-LIGHT,JD-LIGHT,RES_INCAN,2050,UP,0
PRC_MARK,RES*FLUOR-LIGHT,RESELC,DD-LIGHT,DD-LIGHT,RES_FLUOR,2024,UP,0.25
PRC_MARK,RES*FLUOR-LIGHT,RESELC,DD-LIGHT,DD-LIGHT,RES_FLUOR,2050,UP,0
PRC_MARK,RES*FLUOR-LIGHT,RESELC,JD-LIGHT,JD-LIGHT,RES_FLUOR,2024,UP,0.25
PRC_MARK,RES*FLUOR-LIGHT,RESELC,JD-LIGHT,JD-LIGHT,RES_FLUOR,2050,UP,0
PRC_MARK,RES*HWATER_G-WH_LOW,,DD-WH_LOW,DD-WH_LOW,RES_HWATER_G,2024,UP,0.23
PRC_MARK,RES*HWATER_G-WH_LOW,,DD-WH_LOW,DD-WH_LOW,RES_HWATER_G,2050,UP,0
PRC_MARK,RES*HWATER_G-WH_LOW,,JD-WH_LOW,JD-WH_LOW,RES_HWATER_G,2024,UP,0.23
PRC_MARK,RES*HWATER_G-WH_LOW,,JD-WH_LOW,JD-WH_LOW,RES_HWATER_G,2050,UP,0
PRC_MARK,CHEM-ELC-HPSH-SH_LOW,INDELC,CHEM-SH_LOW,CHEM-SH_LOW,IND_HPSH,2024,UP,0.1
PRC_MARK,CHEM-ELC-HPSH-SH_LOW,INDELC,CHEM-SH_LOW,CHEM-SH_LOW,IND_HPSH,2050,UP,1
PRC_MARK,CNST-ELC-HEATR-SH_LOW,INDELC,CNST-SH_LOW,CNST-SH_LOW,IND_HEATER,2024,LO,0.5
PRC_MARK,CNST-ELC-HEATR-SH_LOW,INDELC,CNST-SH_LOW,CNST-SH_LOW,IND_HEATER,2050,LO,0
PRC_MARK,DARY-ELC-HVAC-SH_LOW,INDELC,DARY-SH_LOW,DARY-SH_LOW,IND_HVAC,2024,LO,0.2
PRC_MARK,DARY-ELC-HVAC-SH_LOW,INDELC,DARY-SH_LOW,DARY-SH_LOW,IND_HVAC,2050,LO,0
PRC_MARK,FOOD-ELC-HEATR-SH_LOW,INDELC,FOOD-SH_LOW,FOOD-SH_LOW,IND_HEATER,2024,LO,0.1
PRC_MARK,FOOD-ELC-HEATR-SH_LOW,INDELC,FOOD-SH_LOW,FOOD-SH_LOW,IND_HEATER,2050,LO,0
PRC_MARK,CHEM-NGA-HPSH-SH_LOW,INDNGA,CHEM-SH_LOW,CHEM-SH_LOW,IND_HPSH,2024,LO,0.01
PRC_MARK,CHEM-NGA-HPSH-SH_LOW,INDNGA,CHEM-SH_LOW,CHEM-SH_LOW,IND_HPSH,2037,LO,0
PRC_MARK,MINE-COA-BOILR-SH_LOW,INDCOA,MINE-SH_LOW,MINE-SH_LOW,IND_BOILR,2024,LO,0.01
PRC_MARK,MINE-COA-BOILR-SH_LOW,INDCOA,MINE-SH_LOW,MINE-SH_LOW,IND_BOILR,2037,LO,0
PRC_MARK,PULP-NGA-BURNR-SH_LOW,INDNGA,PULP-SH_LOW,PULP-SH_LOW,IND_BURNR,2024,LO,0.01
PRC_MARK,PULP-NGA-BURNR-SH_LOW,INDNGA,PULP-SH_LOW,PULP-SH_LOW,IND_BURNR,2037,LO,0
PRC_MARK,DARY-COA-BOILR-PH_LOW,INDCOA,DARY-BOILR-PH_LOW,DARY-BOILR-PH_LOW,IND_BOILR,2024,LO,0.3
PRC_MARK,DARY-COA-BOILR-PH_LOW,INDCOA,DARY-BOILR-PH_LOW,DARY-BOILR-PH_LOW,IND_BOILR,2037,LO,0
PRC_MARK,DARY-NGA-BOILR-PH_LOW,,DARY-BOILR-PH_LOW,DARY-BOILR-PH_LOW,IND_BOILR,2024,LO,0.45
PRC_MARK,DARY-NGA-BOILR-PH_LOW,,DARY-BOILR-PH_LOW,DARY-BOILR-PH_LOW,IND_BOILR,2037,LO,0
