~FI_Comm,,,,,
Csets,CommName,Unit,LimType,CTSLvl,Ctype
NRG,TRANGA,PJ,FX,ANNUAL,
NRG,TRABIL,PJ,FX,ANNUAL,
NRG,TRALPG,PJ,FX,ANNUAL,
NRG,TRAPET,PJ,FX,ANNUAL,
NRG,TRADSL,PJ,FX,ANNUAL,
NRG,TRAJET,PJ,FX,ANNUAL,
NRG,TRAH2R,PJ,FX,DAYNITE,
NRG,TRAELC,PJ,FX,DAYNITE,ELC
NRG,TRAFOL,PJ,FX,ANNUAL,
ENV,TRACO2,Kt,,ANNUAL,
,,,,,
~FI_Process,,,,,
Sets,TechName,Tact,Tcap,Tslvl,
DISTR,FTE_TRANGA,PJ,PJa,,
,FTE_TRABIL,PJ,PJa,,
,FTE_TRALPG,PJ,PJa,,
,FTE_TRAPET,PJ,PJa,,
,FTE_TRADSL,PJ,PJa,,
,FTE_TRAJET,PJ,PJa,,
,FTE_TRAH2R,PJ,GW,DAYNITE,
,G_ELC_T_00,PJ,GW,DAYNITE,
,FTE_TRAFOL,PJ,PJa,,
