UC_N,Pset_PN,UC_ATTR,Year,LimType,UC_CAP,UC_CAP~RHS,UC_RHSRT,UC_RHSRT~0
T_P_CICEPET_MED_SHR,T_P_CICEPET_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CICEPET_LOW,T_P_CICEPET_HIGH",,,,-0.3333,,,
T_P_CICEPET_LOW_SHR,T_P_CICEPET_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CICEPET_MED,T_P_CICEPET_HIGH",,,,-0.3333,,,
T_P_CICEPET_HIGH_SHR,T_P_CICEPET_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CICEPET_LOW,T_P_CICEPET_MED",,,,-0.3333,,,
T_P_CICEDSL_MED_SHR,T_P_CICEDSL_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CICEDSL_LOW,T_P_CICEDSL_HIGH",,,,-0.3333,,,
T_P_CICEDSL_LOW_SHR,T_P_CICEDSL_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CICEDSL_MED,T_P_CICEDSL_HIGH",,,,-0.3333,,,
T_P_CICEDSL_HIGH_SHR,T_P_CICEDSL_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CICEDSL_LOW,T_P_CICEDSL_MED",,,,-0.3333,,,
T_P_CBEVNEW_MED_SHR,T_P_CBEVNEW_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CBEVNEW_LOW,T_P_CBEVNEW_HIGH",,,,-0.3333,,,
T_P_CBEVNEW_LOW_SHR,T_P_CBEVNEW_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CBEVNEW_MED,T_P_CBEVNEW_HIGH",,,,-0.3333,,,
T_P_CBEVNEW_HIGH_SHR,T_P_CBEVNEW_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CBEVNEW_LOW,T_P_CBEVNEW_MED",,,,-0.3333,,,
T_P_CBEVUSD_MED_SHR,T_P_CBEVUSD_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CBEVUSD_LOW,T_P_CBEVUSD_HIGH",,,,-0.3333,,,
T_P_CBEVUSD_LOW_SHR,T_P_CBEVUSD_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CBEVUSD_MED,T_P_CBEVUSD_HIGH",,,,-0.3333,,,
T_P_CBEVUSD_HIGH_SHR,T_P_CBEVUSD_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CBEVUSD_LOW,T_P_CBEVUSD_MED",,,,-0.3333,,,
T_P_CBEVELC_MED_SHR,T_P_CBEVELC_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CBEVELC_LOW,T_P_CBEVELC_HIGH",,,,-0.3333,,,
T_P_CBEVELC_LOW_SHR,T_P_CBEVELC_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CBEVELC_MED,T_P_CBEVELC_HIGH",,,,-0.3333,,,
T_P_CBEVELC_HIGH_SHR,T_P_CBEVELC_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CBEVELC_LOW,T_P_CBEVELC_MED",,,,-0.3333,,,
T_P_CICELPG_MED_SHR,T_P_CICELPG_MED,"CAP,SYNC",,LO,0.6667,0,0,0
,"T_P_CICELPG_LOW,T_P_CICELPG_HIGH",,,,-0.3333,,,
T_P_CICELPG_LOW_SHR,T_P_CICELPG_LOW,"CAP,SYNC",,LO,0.6667,0,0,0
,"T_P_CICELPG_MED,T_P_CICELPG_HIGH",,,,-0.3333,,,
T_P_CICELPG_HIGH_SHR,T_P_CICELPG_HIGH,"CAP,SYNC",,LO,0.6667,0,0,0
,"T_P_CICELPG_LOW,T_P_CICELPG_MED",,,,-0.3333,,,
T_P_CHYBPET_MED_SHR,T_P_CHYBPET_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CHYBPET_LOW,T_P_CHYBPET_HIGH",,,,-0.3333,,,
T_P_CHYBPET_LOW_SHR,T_P_CHYBPET_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CHYBPET_MED,T_P_CHYBPET_HIGH",,,,-0.3333,,,
T_P_CHYBPET_HIGH_SHR,T_P_CHYBPET_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CHYBPET_LOW,T_P_CHYBPET_MED",,,,-0.3333,,,
T_P_CPHEVPET_MED_SHR,T_P_CPHEVPET_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CPHEVPET_LOW,T_P_CPHEVPET_HIGH",,,,-0.3333,,,
T_P_CPHEVPET_LOW_SHR,T_P_CPHEVPET_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CPHEVPET_MED,T_P_CPHEVPET_HIGH",,,,-0.3333,,,
T_P_CPHEVPET_HIGH_SHR,T_P_CPHEVPET_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CPHEVPET_LOW,T_P_CPHEVPET_MED",,,,-0.3333,,,
