Season,DayType,TimeType,TimeSlice
Autumn,WD,D,FAL-WK-D
Autumn,WD,N,FAL-WK-N
Autumn,WD,P,FAL-WK-P
Autumn,WE,D,FAL-WE-D
Autumn,WE,N,FAL-WE-N
Autumn,WE,P,FAL-WE-P
Winter,WD,D,WIN-WK-D
Winter,WD,N,WIN-WK-N
Winter,WD,P,WIN-WK-P
Winter,WE,D,WIN-WE-D
Winter,WE,N,WIN-WE-N
Winter,WE,P,WIN-WE-P
Spring,WD,D,SPR-WK-D
Spring,WD,N,SPR-WK-N
Spring,WD,P,SPR-WK-P
Spring,WE,D,SPR-WE-D
Spring,WE,N,SPR-WE-N
Spring,WE,P,SPR-WE-P
Summer,WD,D,SUM-WK-D
Summer,WD,N,SUM-WK-N
Summer,WD,P,SUM-WK-P
Summer,WE,D,SUM-WE-D
Summer,WE,N,SUM-WE-N
Summer,WE,P,SUM-WE-P
