Sector,Technology,Technology_TIMES,TechGroup
Dairy Cattle Farming,Electric Motor,VacP,Stationary Motors
Dairy Cattle Farming,Electric Motor VSD,VPVSD,Stationary Motors
Dairy Cattle Farming,Heat Recovery System (Cooling),HRECSys,Heat/Cooling Devices
Dairy Cattle Farming,Heat Recovery System (Heating),Hreco,Heat/Cooling Devices
Dairy Cattle Farming,Hot Water Cylinder,Cylinder,Heat/Cooling Devices
Dairy Cattle Farming,Internal Combustion Engine (Land Transport),Bike,Mobile Motors
Dairy Cattle Farming,Irrigation,Irg,Electronics and Lights
Dairy Cattle Farming,Irrigation VSD,IrgVSD,Electronics and Lights
Dairy Cattle Farming,Lights,LT,Electronics and Lights
Dairy Cattle Farming,"Pump Systems (for Fluids, etc.)",Pump,Stationary Motors
Dairy Cattle Farming,Refrigeration Systems,RF,Heat/Cooling Devices
Dairy Cattle Farming,Tractor,Trac,Mobile Motors
Dairy Cattle Farming,Truck,MTr,Mobile Motors
Dairy Cattle Farming,Ute,Uti,Mobile Motors
"Fishing, Hunting and Trapping",Electric Motor,Motor,Stationary Motors
"Fishing, Hunting and Trapping",Electronics,ELEC,Electronics and Lights
"Fishing, Hunting and Trapping",Internal Combustion Engine (Sea Transport),Boat,Mobile Motors
"Fishing, Hunting and Trapping",Internal Combustion Engine (Sea Transport),HYBBoat,Mobile Motors
"Fishing, Hunting and Trapping",Lights,LT,Electronics and Lights
"Fishing, Hunting and Trapping",Refrigeration Systems,RF,Heat/Cooling Devices
Forestry and Logging,Boiler Systems,Boiler,Heat/Cooling Devices
Forestry and Logging,Cable Yarding,CY,Mobile Motors
Forestry and Logging,Electric Motor,Motor,Stationary Motors
Forestry and Logging,Electronics,ELEC,Electronics and Lights
Forestry and Logging,Ground Based,GB,Mobile Motors
Forestry and Logging,Internal Combustion Engine (Land Transport),Bike,Mobile Motors
Forestry and Logging,Lights,LT,Electronics and Lights
Forestry and Logging,Stationary Engine,Engin,Stationary Motors
Horticulture (Outdoor),Irrigation,Irg,Electronics and Lights
Horticulture (Outdoor),Irrigation VSD,IrgVSD,Electronics and Lights
Horticulture (Outdoor),Lights,LT,Electronics and Lights
Horticulture (Outdoor),Stationary Engine,Engin,Stationary Motors
Horticulture (Outdoor),Tractor,Trac,Mobile Motors
Horticulture (Outdoor),Truck,MTr,Mobile Motors
Horticulture (Outdoor),Ute,Uti,Mobile Motors
Indoor Cropping,Boiler Systems,Boiler,Heat/Cooling Devices
Indoor Cropping,Direct Heat,DH,Heat/Cooling Devices
Indoor Cropping,Electric Motor,Motor,Stationary Motors
Indoor Cropping,Lights,LT,Electronics and Lights
Indoor Cropping,Heat Pump,HP,Heat/Cooling Devices
Livestock Farming,Internal Combustion Engine (Land Transport),Bike,Mobile Motors
Livestock Farming,Irrigation,Irg,Electronics and Lights
Livestock Farming,Irrigation VSD,IrgVSD,Electronics and Lights
Livestock Farming,Lights,LT,Electronics and Lights
Livestock Farming,Tractor,Trac,Mobile Motors
Livestock Farming,Truck,MTr,Mobile Motors
Livestock Farming,Ute,Uti,Mobile Motors
Other Agriculture,Burner (Direct heat),Burner,Heat/Cooling Devices
Other Agriculture,Furnace/Kiln,Furnace,Heat/Cooling Devices
Other Agriculture,Resistance Heater,RH,Heat/Cooling Devices
Other Agriculture,Stationary Engine,Engin,Stationary Motors
