TechName,*TechDesc,*Source,Comm-IN,Comm-OUT,START,EFF,EFF~2018,EFF~2030,EFF~2050,EFF~0,AFA,AF,Life,CAP2ACT,INVCOST,INVCOST~2018,INVCOST~2030,INVCOST~2040,INVCOST~2050,INVCOST~0,FIXOM,FIXOM~2018,FIXOM~2030,FIXOM~2050,FIXOM~0,VAROM,VAROM~2018,VAROM~2030,VAROM~2050,VAROM~0,PEAK(CON),NCAP_DCOST,NCAP_DCOST~2018,NCAP_DCOST~2030,NCAP_DCOST~2050,NCAP_DCOST~0,NCAP_ILED,S_EFF,ENV_ACT~ELCCO2
\I:Technology Name,Technology Description,,Input Commodity,Output Commodity,Starting Year,Efficiency,Efficiency,Efficiency,Efficiency,Efficiency,Annual Availability Factor,Availability Factor,Lifetime of Process,Capacity to Activity Factor,Investment Cost,,,,,,Fixed O&M Cost,,,,,Variable O&M Cost,,,,,,,,,,,Lead Time,Storage efficiency,activiy emissions (kt/PJ)
EHYD-DAM-New20,New dam hydro,GEM model database,ELCHYD,ELC,2020,1,,,,,,,80,31.536,,3949,3949,3949,3949,,65,,,,,0.88,,,,,0.98,1794,,,,,3,,
EHCO_SCPC20,Coal: SCPC - 2018,GEM model database,ELCCOA,ELC,2020,,0.34,0.34,0.34,5,0.8,,35,31.536,,1653.7,1653.7,,1653.7,,,95.5,95.5,95.5,,4.2504,,,,,0.97,,602,551,525,,3,,
EHCOL_SCPC20,Lignite: SCPC - 2018,GEM model database,ELCCOL,ELC,2020,,0.34,0.34,0.34,5,0.8,,40,31.536,,3651,3339,,3184,,,95.5,95.5,95.5,,4.2504,,,,,0.97,,628,574,548,,3,,
ENGA_GTCC20,Natural Gas: GTCC - 2018,GEM model database,ELCNGA,ELC,2020,,0.51,0.51,0.51,5,0.86,,25,31.536,,1438,1401,,1401,,50,,,,,1.68,,,,,0.97,,25,25,25,,3,,
ENGA_GTCCF20,Natural Gas: OCGT,,ELCNGA,ELC,2020,,0.38,0.38,0.38,5,0.86,,25,31.536,,963.46,938.67,,938.67,,29,,,,,3.2088,,,,,0.97,,25,25,25,,3,,
ESOLPVUTIFIX20,Solar PV: ground-utility 2018 - fixed,see tab 'Documentation',ELCSOL,ELC,2020,1,,,,,,,25,31.536,,1280.3303,658.82596,565.88137,516.31092,,,26.8343,14.01107,11.52185,,,,,,,,,215,162,142,,2,,
ESOLPVUTITRAC20,Solar PV: ground-utility 2018 - tracking,see tab 'Documentation',ELCSOL,ELC,2020,1,,,,,,,25,31.536,,1564.8482,805.23173,691.63279,631.04668,,,26.8343,14.01107,11.52185,,,,,,,,,215,162,142,,2,,
ESOLPVDISTGR20,Solar PV: ground 2018 - Distributed,see tab 'Documentation',ELCSOL,ELC-MV,2020,1,,,,,,,25,31.536,,1803.8303,928.20593,797.25826,727.41951,,,26.8343,14.01107,11.52185,,,,,,,,,215,162,142,,2,,
ESOLPVIND20,"Solar PV: ground, industrial, on-site",see tab 'Documentation',ELCSOL,INDELC,2020,1,,,,,,,25,31.536,,,,,,,,,,,,,,,,,,,215,162,142,,2,,
ESOLPVBCOM20,Solar PV: commercial building 2018,see tab 'Documentation',ELCSOL,ELCDD,2020,1,,,,,,,25,31.536,,2809.6689,1221.4659,,934.65016,,,25.7472,10.63923,8.162144,,,,,,,,,215,162,142,,2,,
ESOLPVBRES20,Solar PV: residential building 2018,see tab 'Documentation',ELCSOL,ELCDD,2020,1,,,,,,,25,31.536,,3344.2806,1231.3801,,939.07894,,,31.4688,12.06487,9.200945,,,,,,,,183,,,,,2,,
EWINDDIST20,Wind: Wind-onshore-small distributed - 2018,see tab 'Documentation',ELCWIN,ELC-MV,2020,1,,,,,,,25,31.536,,2322,1737,,1414.4266,,,64.37602,58.0355,49.33018,,,,,,,,183,,,,,2,,
EWINDCONS20,Wind: Wind-onshore - 2018 - (includes all consented),see tab 'Documentation',ELCWIN,ELC,2020,1,,,,,,,25,31.536,,2017,1509,,1229,,,64.37602,58.0355,49.33018,,,,,,,,183,,,,,2,,
EWINDHIGHCF20,Wind: Wind-onshore - 2018 - High CF,see tab 'Documentation',ELCWIN,ELC,2020,1,,,,,,,25,31.536,,2089,1563,,1273,,,64.37602,58.0355,49.33018,,,,,,,,183,,,,,2,,
EWINDLOWCF20,Wind: Wind-onshore - 2018 - Low CF,see tab 'Documentation',ELCWIN,ELC,2020,1,,,,,,,25,31.536,,1989,1488,,1211,,,64.37602,58.0355,49.33018,,,,,,,,183,,,,,2,,
EWINDOFFSFIX20,Wind: Wind-offshore-fixed - 2018,see tab 'Documentation',ELCWIN,ELC,2020,1,,,,,,,25,31.536,,6681,4138,,3105,,,179.5227,100.9426,76.62832,,,,,,,,,636.57,,74,,2,,
EWINDOFFSFLOA20,Wind: Wind-offshore-floating- 2018,see tab 'Documentation',ELCWIN,ELC,2020,1,,,,,,,25,31.536,,9803,4978,,3549,,,143.0793,86.92753,62.43415,,,,,,,,,636.57,,45,,2,,
EGEOCONSFLSH20,"Geothermal Consented, Large Flash",see tab 'Documentation',ELCGEO,ELC,2020,0.14,,,,,0.93,,40,31.536,4734,,,,,,190,,,,,,,,,,0.923,1029.59,1029.59,496.17,,,3,,16.66666667
\I:EGEOCONSLBIN20,"Geothermal Consented, Large Binary",see tab 'Documentation',ELCGEO,ELC,2020,0.08,,,,,0.93,,40,31.536,6028,,,,,,190,,,,,,,,,,0.923,1029.59,1029.59,496.17,,,3,,
EGEOCONSBIN20,"Geothermal Consented, Binary",see tab 'Documentation',ELCGEO,ELC,2020,0.08,,,,,0.93,,40,31.536,7802,,,,,,190,,,,,,,,,,0.923,1029.59,1029.59,496.17,,,3,,
EGEOBIN20,Geothermal Binary,see tab 'Documentation',ELCGEO,ELC,2020,0.08,,,,,0.93,,40,31.536,7982,,,,,,190,,,,,,,,,,0.923,1029.59,1029.59,496.17,,,3,,
EGEOFLSH20,Geothermal Flash,see tab 'Documentation',ELCGEO,ELC,2020,0.14,,,,,0.93,,40,31.536,5648,,,,,,190,,,,,,,,,,0.923,1029.59,1029.59,496.17,,,3,,27.17013889
ETIDE20,Tidal Power 2018,GEM model database,ELCTID,ELC,2020,1,,,,,,0.5,25,31.536,5316,,,,,,49,,,,,27.52,27.52,27.52,27.52,,0.5,842,,,,,3,,
\I: ESOLCSP20,Concentrated Solar power 2018,GEM model database,ELCSOL,ELC,2020,1,,,,,,,25,31.536,,2960,2600,,2400,,,104,95,89,,1.5,,,,,0.1,,759,666,615,,3,,
EBIG20,Biogas 2018,GEM model database,ELCBIG,ELC,2020,0.39,,,,,0.86,,25,31.536,,1267,1267,,1267,,,125,113,93,,,0,0,0,,0.66,,218,218,218,,1,,
EOIL20,Oil Plants 2018,GEM model database,ELCOIL,ELC,2020,0.33,,,,,0.8,,25,31.536,2980,,,,,,51,,,,,0.69,,,,,0.97,218,,,,,1,,
EWOD20,New Wood Power 2018,GEM model database,ELCWOD,ELC,2020,0.33,,,,,0.8,,25,31.536,2682,,,,,,,51,25,36,,0.69,,,,,0.66,218,,,,,1,,
EBIL20,Bioliquid Power 2018,GEM model database,ELCBIL,ELC,2020,0.33,,,,,0.8,,25,31.536,2980,,,,,,51,,,,,0.69,,,,,0.66,218,,,,,1,,
ENUC_LWR20,Nuclear: Gen2 (LWR) - 2018,PSI technology database,ELCURN,ELC,2020,0.32,,,,,0.9,,50,31.536,7301,,,,,,42,,,,,3.25,,,,,0.85,1089,,,,,6,,
ENUC_EPR30,Nuclear: Gen3 (EPR) - 2030,PSI technology database,ELCURN,ELC,2020,0.35,,,,,0.9,,60,31.536,7748,,,,,,42,,,,,1.92,,,,,0.85,1089,,,,,6,,
ENUC_FBR50,Nuclear: Gen4 (FBR) - 2050,PSI technology database,ELCURN,ELC,2020,0.4,,,,,0.9,,40,31.536,8344,,,,,,80,,,,,0.18,,,,,0.85,1217,,,,,6,,
EWSTINC20,Waste incenerator 2018,PSI technology database,MNCWST,ELC,2020,0.33,,,,,,0.65,30,31.536,,5215,5215,,5215,,,118,93,81,,8.12,,,,,0.66,,897,897,897,,3,,
EHYD-RR-New20,New run of river hydro >30 MW,GEM model database,ELCHYD,ELC,2020,1,,,,,,,80,31.536,,4630,4630,4630,4630,,65,,,,,0.88,,,,,0.8,1538,,,,,2,,
EHYD-RR-NSmall20,New run of river hydro <30 MW,GEM model database,ELCHYD,ELC,2020,1,,,,,,,80,31.536,,4697,4697,4697,4697,,75,,,,,0.88,,,,,0.8,1538,,,,,2,,
EBAT-Li-Ion,Battery storage (Li-Ion),BEC NZ assumptions,,ELCDD,2020,,,,,,,,10,31.536,,9355,2236,1831,1426,,,7.2,7.2,7.2,,,,,,,0.98,,,,,,,0.9,
\I: EBAT-LA,Battery storage (Lead-Acid),BEC NZ assumptions,,ELCDD,2020,,,,,,,,15,31.536,,1422,650,596,543,,,20.2,20.2,20.2,,,,,,,0.98,,,,,,,0.85,
EHYDPUMPSTG_L,Hydro pumped storage - Large - representing Lake onslow scheme,see tab 'Documentation',,ELC,2020,,,,,,,,80,31.536,,4615,4615,4615,4615,,,4,4,4,,,,,,,0.98,,,,,,7,0.72,
EHYDPUMPSTG_S,hydro pumped storage generic - small,see tab 'Documentation',,ELC,2020,,,,,,,,80,31.536,,7000,7000,7000,7000,,,4,4,4,,,,,,,0.98,,,,,,7,0.72,
EBATUTILION,Battery Storage - utility scale (Li-ion Batteries),see tab 'Documentation',,ELC,2020,,,,,,,,10,31.536,,6582,1273,1056,840,,,7.2,7.2,7.2,,,,,,,0.98,,,,,,,0.9,
EBATUTIFLOW,Battery Storage - utility scale (Flow Batteries),see tab 'Documentation',,ELC,2020,,,,,,,,14,31.536,,4720,1585,1442,1299,,,7.2,7.2,7.2,,,,,,,0.98,,,,,,,0.85,
\I: EFCH2PEAK,Hydrogen peaker,,ELCH2R,ELC,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
