TechName,*TechDesc,Comm-IN,Comm-OUT,Year,Start,LIFE,AFA,AFA~LO,CAP2ACT,EFF,EFF~2020,EFF~2025,EFF~2030,EFF~2035,EFF~2040,EFF~2045,EFF~2050,EFF~2055,EFF~2060,INVCOST,INVCOST~2020,INVCOST~2025,INVCOST~2030,INVCOST~2035,INVCOST~2040,INVCOST~2045,INVCOST~2050,INVCOST~2055,INVCOST~2060,FLO_MARK,FLO_MARK~2050,FLO_MARK~0,FLO_DELIV
ALU-PH-FURN-ELC-Furn,New Aluminium - Process Heat: Furnace/Kiln  - Electricity,INDELC,ALU-PH-FURN,2018,2020,25,0.9,,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,,,,
CNST-MoTP-Mob-DSL-ICE_ofrd,"New Construction - Motive Power, Mobile  - Diesel",INDDSL,CNST-MoTP-Mob,2018,2020,20,0.09,0.063,31.536,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,,,,
CNST-MoTP-Mob-NGA-ICE_ofrd,"New Construction - Motive Power, Mobile  - Natural Gas",INDNGA,CNST-MoTP-Mob,2018,2020,20,0.09,0.063,31.536,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,0.05,,5,
CNST-MoTP-Mob-PET-ICE_ofrd,"New Construction - Motive Power, Mobile  - Petrol",INDPET,CNST-MoTP-Mob,2018,2020,15,0.09,0.063,31.536,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,0.02,,5,
CNST-MoTP-Mob-LPG-ICE_ofrd,"New Construction - Motive Power, Mobile  - LPG",INDLPG,CNST-MoTP-Mob,2018,2020,20,0.09,0.063,31.536,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,2675,2675,2675,2675,2675,2675,2675,2675,2675,2675,0.11,,5,
CNST-MoTP-Stat-DSL-st_ngn,"New Construction - Motive Power, Stationary  - Diesel",INDDSL,CNST-MoTP-Stat,2018,2020,20,0.5,0.35,31.536,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,455,455,455,455,455,455,455,455,455,455,0,,5,
CNST-MoTP-Stat-PET-st_ngn,"New Construction - Motive Power, Stationary  - Petrol",INDPET,CNST-MoTP-Stat,2018,2020,15,0.5,0.35,31.536,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,350,350,350,350,350,350,350,350,350,350,0,,,
CNST-MoTP-Stat-ELC-Motor,"New Construction - Motive Power, Stationary  - Electricity",INDELC,CNST-MoTP-Stat,2018,2020,10,0.5,0.35,31.536,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,280,280,280,280,280,280,280,280,280,280,,,,
CNST-MoTP-Stat-ELC-VSD-Mtr,"New Construction - Motive Power, Stationary  - Electricity",INDELC,CNST-MoTP-Stat,2018,2020,10,0.5,0.35,31.536,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,336,336,336,336,336,336,336,336,336,336,0.5,,5,
DARY-AIR-ELC-CMPR,New Dairy - Compressed Air  - Electricity,INDELC,DARY-AIR,2018,2020,25,0.68,0.476,31.536,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,
DARY-MoTP-Stat-PET-st_ngn,"New Dairy - Motive Power, Stationary  - Petrol",INDPET,DARY-MoTP-Stat,2018,2020,15,0.5,0.35,31.536,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,350,350,350,350,350,350,350,350,350,350,0,,,
DARY-MoTP-Stat-DSL-st_ngn,"New Dairy - Motive Power, Stationary  - Diesel",INDDSL,DARY-MoTP-Stat,2018,2020,20,0.5,0.35,31.536,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,455,455,455,455,455,455,455,455,455,455,0,,,
DARY-MoTP-Stat-ELC-Motor,"New Dairy - Motive Power, Stationary  - Electricity",INDELC,DARY-MoTP-Stat,2018,2020,10,0.5,0.35,31.536,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,280,280,280,280,280,280,280,280,280,280,,,,
DARY-MoTP-Stat-ELC-VSD-Mtr,"New Dairy - Motive Power, Stationary  - Electricity",INDELC,DARY-MoTP-Stat,2018,2020,10,0.5,0.35,31.536,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,336,336,336,336,336,336,336,336,336,336,0.5,,5,
DARY-PH-MVR_DRY-ELC-HPmp,New Dairy - Process Heat: MVR Drying  - Electricity,INDELC,DARY-PH-MVR_DRY,2018,2020,20,0.68,0.476,31.536,3,3,3,3,3,3,3,3,3,3,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,0.267,,5,
DARY-PH-MVR_DRY-ELC-HRCVR,New Dairy - Process Heat: MVR Drying  - Electricity,INDELC,DARY-PH-MVR_DRY,2018,2020,20,0.68,0.476,31.536,28.0750782081625,28.0750782081625,28.0750782081625,28.0750782081625,28.0750782081625,28.0750782081625,28.0750782081625,28.0750782081625,28.0750782081625,28.0750782081625,582.367033095082,582.367033095082,582.367033095082,582.367033095082,582.367033095082,582.367033095082,582.367033095082,582.367033095082,582.367033095082,582.367033095082,0.146,,5,
DARY-PH-MVR_DRY-COA-Boiler,New Dairy - Process Heat: MVR Drying  - Coal,INDCOA,DARY-PH-MVR_DRY,2018,2020,25,0.68,0.476,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,750,750,750,750,750,750,750,750,750,750,0,,,
