Sets,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
\I: Process Set Membership,Technology Name,,,,,,Technology Description,Activity Unit,Capacity Unit,Timeslice Operational Level,Operational Commodity Group,Vintage Tracking
DMD,ALU-PH-FURN-ELC-Furn,Industry,Aluminium,Furnace,Electricity,Industry -:- Aluminium -:- Furnace -:- Electricity,New Aluminium - Process Heat: Furnace/Kiln  - Electricity,PJ,GW,,,YES
DMD,CNST-MoTP-Mob-DSL-ICE_ofrd,Industry,Construction,Internal Combustion Engine,Diesel,Industry -:- Construction -:- Internal Combustion Engine -:- Diesel,"New Construction - Motive Power, Mobile  - Diesel",PJ,GW,,,YES
DMD,CNST-MoTP-Mob-NGA-ICE_ofrd,Industry,Construction,Internal Combustion Engine,Natural Gas,Industry -:- Construction -:- Internal Combustion Engine -:- Natural Gas,"New Construction - Motive Power, Mobile  - Natural Gas",PJ,GW,,,YES
DMD,CNST-MoTP-Mob-PET-ICE_ofrd,Industry,Construction,Internal Combustion Engine,Petrol,Industry -:- Construction -:- Internal Combustion Engine -:- Petrol,"New Construction - Motive Power, Mobile  - Petrol",PJ,GW,,,YES
DMD,CNST-MoTP-Mob-LPG-ICE_ofrd,Industry,Construction,Internal Combustion Engine,LPG,Industry -:- Construction -:- Internal Combustion Engine -:- LPG,"New Construction - Motive Power, Mobile  - LPG",PJ,GW,,,YES
DMD,CNST-MoTP-Stat-DSL-st_ngn,Industry,Construction,Stationary Motor,Diesel,Industry -:- Construction -:- Stationary Motor -:- Diesel,"New Construction - Motive Power, Stationary  - Diesel",PJ,GW,,,YES
DMD,CNST-MoTP-Stat-PET-st_ngn,Industry,Construction,Stationary Motor,Petrol,Industry -:- Construction -:- Stationary Motor -:- Petrol,"New Construction - Motive Power, Stationary  - Petrol",PJ,GW,,,YES
DMD,CNST-MoTP-Stat-ELC-Motor,Industry,Construction,Stationary Motor,Electricity,Industry -:- Construction -:- Stationary Motor -:- Electricity,"New Construction - Motive Power, Stationary  - Electricity",PJ,GW,,,YES
DMD,CNST-MoTP-Stat-ELC-VSD-Mtr,Industry,Construction,Stationary Motor with VSD,Electricity,Industry -:- Construction -:- Stationary Motor with VSD -:- Electricity,"New Construction - Motive Power, Stationary  - Electricity",PJ,GW,,,YES
DMD,DARY-AIR-ELC-CMPR,Industry,Dairy Product Manufacturing,Compressor,Electricity,Industry -:- Dairy Product Manufacturing -:- Compressor -:- Electricity,New Dairy - Compressed Air  - Electricity,PJ,GW,,,YES
DMD,DARY-MoTP-Stat-PET-st_ngn,Industry,Dairy Product Manufacturing,Stationary Motor,Petrol,Industry -:- Dairy Product Manufacturing -:- Stationary Motor -:- Petrol,"New Dairy - Motive Power, Stationary  - Petrol",PJ,GW,,,YES
DMD,DARY-MoTP-Stat-DSL-st_ngn,Industry,Dairy Product Manufacturing,Stationary Motor,Diesel,Industry -:- Dairy Product Manufacturing -:- Stationary Motor -:- Diesel,"New Dairy - Motive Power, Stationary  - Diesel",PJ,GW,,,YES
DMD,DARY-MoTP-Stat-ELC-Motor,Industry,Dairy Product Manufacturing,Stationary Motor,Electricity,Industry -:- Dairy Product Manufacturing -:- Stationary Motor -:- Electricity,"New Dairy - Motive Power, Stationary  - Electricity",PJ,GW,,,YES
DMD,DARY-MoTP-Stat-ELC-VSD-Mtr,Industry,Dairy Product Manufacturing,Stationary Motor with VSD,Electricity,Industry -:- Dairy Product Manufacturing -:- Stationary Motor with VSD -:- Electricity,"New Dairy - Motive Power, Stationary  - Electricity",PJ,GW,,,YES
DMD,DARY-PH-MVR_DRY-ELC-HPmp,Industry,Dairy Product Manufacturing,Heat Pump,Electricity,Industry -:- Dairy Product Manufacturing -:- Heat Pump -:- Electricity,New Dairy - Process Heat: MVR Drying  - Electricity,PJ,GW,,,YES
DMD,DARY-PH-MVR_DRY-ELC-HRCVR,Industry,Dairy Product Manufacturing,Heat Recovery System (Heating),Electricity,Industry -:- Dairy Product Manufacturing -:- Heat Recovery System (Heating) -:- Electricity,New Dairy - Process Heat: MVR Drying  - Electricity,PJ,GW,,,YES
DMD,DARY-PH-MVR_DRY-COA-Boiler,Industry,Dairy Product Manufacturing,Boiler,Coal,Industry -:- Dairy Product Manufacturing -:- Boiler -:- Coal,New Dairy - Process Heat: MVR Drying  - Coal,PJ,GW,,,YES
DMD,DARY-PH-MVR_DRY-NGA-Boiler,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Industry -:- Dairy Product Manufacturing -:- Boiler -:- Natural Gas,New Dairy - Process Heat: MVR Drying  - Natural Gas,PJ,GW,,,YES
DMD,DARY-PH-MVR_DRY-WOD-Boiler,Industry,Dairy Product Manufacturing,Boiler,Wood,Industry -:- Dairy Product Manufacturing -:- Boiler -:- Wood,New Dairy - Process Heat: MVR Drying  - Wood,PJ,GW,,,YES
DMD,DARY-PH-MVR_DRY-ELC-Boiler,Industry,Dairy Product Manufacturing,Boiler,Electricity,Industry -:- Dairy Product Manufacturing -:- Boiler -:- Electricity,New Dairy - Process Heat: MVR Drying  - Electricity,PJ,GW,,,YES
