TimeSlice,LimType,Attribute,Year,NI,SI,Pset_Set,Pset_PN
SUM-WK-D,FX,NCAP_AF,,0.444423594170263,0.464740101332332,,"ELCRE*SOL*00,ESO*RES*"
SUM-WK-N,FX,NCAP_AF,,0,0.000751356215561507,,"ELCRE*SOL*00,ESO*RES*"
SUM-WK-P,FX,NCAP_AF,,0.111248425059647,0.172120204809265,,"ELCRE*SOL*00,ESO*RES*"
SUM-WE-D,FX,NCAP_AF,,0.468746481516232,0.445693375867893,,"ELCRE*SOL*00,ESO*RES*"
SUM-WE-N,FX,NCAP_AF,,0,0,,"ELCRE*SOL*00,ESO*RES*"
SUM-WE-P,FX,NCAP_AF,,0.117095139801088,0.137586789266279,,"ELCRE*SOL*00,ESO*RES*"
FAL-WK-D,FX,NCAP_AF,,0.145673028009957,0.133005808183004,,"ELCRE*SOL*00,ESO*RES*"
FAL-WK-N,FX,NCAP_AF,,0,0,,"ELCRE*SOL*00,ESO*RES*"
FAL-WK-P,FX,NCAP_AF,,0.00281619440795646,0.00469365734659411,,"ELCRE*SOL*00,ESO*RES*"
FAL-WE-D,FX,NCAP_AF,,0.144724861677386,0.137107763694365,,"ELCRE*SOL*00,ESO*RES*"
FAL-WE-N,FX,NCAP_AF,,0,0,,"ELCRE*SOL*00,ESO*RES*"
FAL-WE-P,FX,NCAP_AF,,0.00299243135047226,0.0069823398177686,,"ELCRE*SOL*00,ESO*RES*"
WIN-WK-D,FX,NCAP_AF,,0.082336928875193,0.0722031530136308,,"ELCRE*SOL*00,ESO*RES*"
WIN-WK-N,FX,NCAP_AF,,0,0,,"ELCRE*SOL*00,ESO*RES*"
WIN-WK-P,FX,NCAP_AF,,0,0,,"ELCRE*SOL*00,ESO*RES*"
WIN-WE-D,FX,NCAP_AF,,0.0799795288217131,0.0787100124912097,,"ELCRE*SOL*00,ESO*RES*"
WIN-WE-N,FX,NCAP_AF,,0,0,,"ELCRE*SOL*00,ESO*RES*"
WIN-WE-P,FX,NCAP_AF,,0,0,,"ELCRE*SOL*00,ESO*RES*"
SPR-WK-D,FX,NCAP_AF,,0.311985363107525,0.311985363107525,,"ELCRE*SOL*00,ESO*RES*"
SPR-WK-N,FX,NCAP_AF,,0,0,,"ELCRE*SOL*00,ESO*RES*"
SPR-WK-P,FX,NCAP_AF,,0.023345843497842,0.0509363858134734,,"ELCRE*SOL*00,ESO*RES*"
SPR-WE-D,FX,NCAP_AF,,0.30890644102879,0.323975047908244,,"ELCRE*SOL*00,ESO*RES*"
SPR-WE-N,FX,NCAP_AF,,0,0,,"ELCRE*SOL*00,ESO*RES*"
SPR-WE-P,FX,NCAP_AF,,0.0246658743562478,0.0493317487124956,,"ELCRE*SOL*00,ESO*RES*"
