TimeSlice,LimType,Attribute,Year,NI,SI,Pset_Set,Pset_PN
SUM-WK-D,UP,NCAP_AF,,0.546006129980609,0.496484643773066,,EWIN*CONS*
SUM-WK-N,UP,NCAP_AF,,0.31406689810471,0.273493662464389,,EWIN*CONS*
SUM-WK-P,UP,NCAP_AF,,0.483825697665067,0.427151971691285,,EWIN*CONS*
SUM-WE-D,UP,NCAP_AF,,0.562239632201163,0.609626571589416,,EWIN*CONS*
SUM-WE-N,UP,NCAP_AF,,0.327448194515186,0.340997774977884,,EWIN*CONS*
SUM-WE-P,UP,NCAP_AF,,0.499605929817977,0.480090073184462,,EWIN*CONS*
FAL-WK-D,UP,NCAP_AF,,0.529489788766626,0.442085971960652,,EWIN*CONS*
FAL-WK-N,UP,NCAP_AF,,0.313911803340214,0.26434678176018,,EWIN*CONS*
FAL-WK-P,UP,NCAP_AF,,0.403654531807093,0.312597579283168,,EWIN*CONS*
FAL-WE-D,UP,NCAP_AF,,0.486224754582796,0.422748938057626,,EWIN*CONS*
FAL-WE-N,UP,NCAP_AF,,0.305976105585789,0.240142615875399,,EWIN*CONS*
FAL-WE-P,UP,NCAP_AF,,0.395000938262338,0.324180062967828,,EWIN*CONS*
WIN-WK-D,UP,NCAP_AF,,0.518089290922368,0.466153689631862,,EWIN*CONS*
WIN-WK-N,UP,NCAP_AF,,0.300394070182023,0.302647025708388,,EWIN*CONS*
WIN-WK-P,UP,NCAP_AF,,0.383941170951398,0.341698254832051,,EWIN*CONS*
WIN-WE-D,UP,NCAP_AF,,0.552239603768971,0.535735891472427,,EWIN*CONS*
WIN-WE-N,UP,NCAP_AF,,0.318693938825296,0.332907987740039,,EWIN*CONS*
WIN-WE-P,UP,NCAP_AF,,0.446869748337191,0.432905068701653,,EWIN*CONS*
SPR-WK-D,UP,NCAP_AF,,0.584655497530768,0.490806241961838,,EWIN*CONS*
SPR-WK-N,UP,NCAP_AF,,0.339528212178013,0.287697578018095,,EWIN*CONS*
SPR-WK-P,UP,NCAP_AF,,0.529526177519234,0.439326327641208,,EWIN*CONS*
SPR-WE-D,UP,NCAP_AF,,0.616557164817626,0.56381704073954,,EWIN*CONS*
SPR-WE-N,UP,NCAP_AF,,0.374515028754982,0.345525371717462,,EWIN*CONS*
SPR-WE-P,UP,NCAP_AF,,0.497264027021955,0.458785263026209,,EWIN*CONS*
