TimeSlice,LimType,Attribute,Year,NI,SI,Pset_Set,Pset_PN
SUM-WK-D,LO,NCAP_AF,,0.350459748545693,0.366712954275349,,EWIN*OFF*FIX*
SUM-WK-N,LO,NCAP_AF,,0.194751531073543,0.188740681349051,,EWIN*OFF*FIX*
SUM-WK-P,LO,NCAP_AF,,0.280429992225826,0.260279334101815,,EWIN*OFF*FIX*
SUM-WE-D,LO,NCAP_AF,,0.354505535747795,0.373972602739726,,EWIN*OFF*FIX*
SUM-WE-N,LO,NCAP_AF,,0.195716162238962,0.189091922901643,,EWIN*OFF*FIX*
SUM-WE-P,LO,NCAP_AF,,0.260731844623757,0.245119159316945,,EWIN*OFF*FIX*
FAL-WK-D,LO,NCAP_AF,,0.409404544807114,0.361775798257771,,EWIN*OFF*FIX*
FAL-WK-N,LO,NCAP_AF,,0.229501069619065,0.198260086320135,,EWIN*OFF*FIX*
FAL-WK-P,LO,NCAP_AF,,0.299643085006568,0.249327078251079,,EWIN*OFF*FIX*
FAL-WE-D,LO,NCAP_AF,,0.397104708181458,0.357495798669753,,EWIN*OFF*FIX*
FAL-WE-N,LO,NCAP_AF,,0.223235378745231,0.189720147619941,,EWIN*OFF*FIX*
FAL-WE-P,LO,NCAP_AF,,0.312010842142574,0.259344050374263,,EWIN*OFF*FIX*
WIN-WK-D,LO,NCAP_AF,,0.479327598251893,0.37292295170549,,EWIN*OFF*FIX*
WIN-WK-N,LO,NCAP_AF,,0.274560180146369,0.214481366109964,,EWIN*OFF*FIX*
WIN-WK-P,LO,NCAP_AF,,0.353714017639332,0.26284481140927,,EWIN*OFF*FIX*
WIN-WE-D,LO,NCAP_AF,,0.489525497042104,0.403198386567874,,EWIN*OFF*FIX*
WIN-WE-N,LO,NCAP_AF,,0.281288546944392,0.226227810095703,,EWIN*OFF*FIX*
WIN-WE-P,LO,NCAP_AF,,0.380637267780071,0.302435061821063,,EWIN*OFF*FIX*
SPR-WK-D,LO,NCAP_AF,,0.450476426730865,0.381484541555868,,EWIN*OFF*FIX*
SPR-WK-N,LO,NCAP_AF,,0.255397327744523,0.202515057529186,,EWIN*OFF*FIX*
SPR-WK-P,LO,NCAP_AF,,0.365044098329893,0.282696941264778,,EWIN*OFF*FIX*
SPR-WE-D,LO,NCAP_AF,,0.466122239471085,0.391783778865783,,EWIN*OFF*FIX*
SPR-WE-N,LO,NCAP_AF,,0.274539887187752,0.213113154437981,,EWIN*OFF*FIX*
SPR-WE-P,LO,NCAP_AF,,0.356767206688768,0.288097412480974,,EWIN*OFF*FIX*
