TimeSlice,LimType,Attribute,Year,NI,SI,Pset_Set,Pset_PN
SUM-WK-D,LO,NCAP_AF,,0.436804903984487,0.397187715018452,,EWIN*CONS*
SUM-WK-N,LO,NCAP_AF,,0.251253518483768,0.218794929971511,,EWIN*CONS*
SUM-WK-P,LO,NCAP_AF,,0.387060558132054,0.341721577353028,,EWIN*CONS*
SUM-WE-D,LO,NCAP_AF,,0.449791705760931,0.487701257271533,,EWIN*CONS*
SUM-WE-N,LO,NCAP_AF,,0.261958555612149,0.272798219982307,,EWIN*CONS*
SUM-WE-P,LO,NCAP_AF,,0.399684743854382,0.38407205854757,,EWIN*CONS*
FAL-WK-D,LO,NCAP_AF,,0.423591831013301,0.353668777568521,,EWIN*CONS*
FAL-WK-N,LO,NCAP_AF,,0.251129442672171,0.211477425408144,,EWIN*CONS*
FAL-WK-P,LO,NCAP_AF,,0.322923625445675,0.250078063426534,,EWIN*CONS*
FAL-WE-D,LO,NCAP_AF,,0.388979803666236,0.338199150446101,,EWIN*CONS*
FAL-WE-N,LO,NCAP_AF,,0.244780884468631,0.192114092700319,,EWIN*CONS*
FAL-WE-P,LO,NCAP_AF,,0.316000750609871,0.259344050374263,,EWIN*CONS*
WIN-WK-D,LO,NCAP_AF,,0.414471432737895,0.37292295170549,,EWIN*CONS*
WIN-WK-N,LO,NCAP_AF,,0.240315256145618,0.24211762056671,,EWIN*CONS*
WIN-WK-P,LO,NCAP_AF,,0.307152936761118,0.273358603865641,,EWIN*CONS*
WIN-WE-D,LO,NCAP_AF,,0.441791683015177,0.428588713177942,,EWIN*CONS*
WIN-WE-N,LO,NCAP_AF,,0.254955151060237,0.266326390192031,,EWIN*CONS*
WIN-WE-P,LO,NCAP_AF,,0.357495798669753,0.346324054961323,,EWIN*CONS*
SPR-WK-D,LO,NCAP_AF,,0.467724398024615,0.39264499356947,,EWIN*CONS*
SPR-WK-N,LO,NCAP_AF,,0.27162256974241,0.230158062414476,,EWIN*CONS*
SPR-WK-P,LO,NCAP_AF,,0.423620942015388,0.351461062112967,,EWIN*CONS*
SPR-WE-D,LO,NCAP_AF,,0.493245731854101,0.451053632591632,,EWIN*CONS*
SPR-WE-N,LO,NCAP_AF,,0.299612023003986,0.27642029737397,,EWIN*CONS*
SPR-WE-P,LO,NCAP_AF,,0.397811221617564,0.367028210420967,,EWIN*CONS*
