TimeSlice,Attribute,Cset_CN,*2018,2020,2025,2030,2035,2040,2045,2050,2055,2060
,Demand,ADCF-MoTP-Stat,0.41243,0.407135,0.405151,0.389571,0.37459,0.364694,0.359494,0.354368,0.349315,0.344334
,Demand,ADCF-IRG,0.93587,0.910032,0.887577,0.832268,0.780406,0.740937,0.71225,0.684673,0.658163,0.632681
,Demand,ADCF-WH,0.841979,0.831169,0.82712,0.795312,0.764728,0.744526,0.73391,0.723444,0.713129,0.70296
,Demand,ADCF-MoTP-Mob-Trac,0.155615,0.152465,0.150207,0.14263,0.135435,0.130213,0.126756,0.12339,0.120114,0.116925
,Demand,ADCF-MoTP-Mob-MTr,0.050084,0.04907,0.048344,0.045905,0.043589,0.041909,0.040796,0.039713,0.038658,0.037632
,Demand,ADCF-MoTP-Mob-Uti,0.046018,0.045086,0.044418,0.042178,0.04005,0.038506,0.037483,0.036488,0.035519,0.034576
,Demand,ADCF-MoTP-Mob-Bike,0.028712,0.028131,0.027714,0.026316,0.024988,0.024025,0.023387,0.022766,0.022162,0.021573
,Demand,ADCF-PUMP,0.362608,0.357953,0.356209,0.34251,0.329339,0.320639,0.316067,0.31156,0.307117,0.302738
,Demand,ADCF-RFGR,1.368462,1.350893,1.344311,1.292615,1.242907,1.210072,1.192817,1.175808,1.159042,1.142515
,Demand,ADCF-LIG,0.004791,0.00473,0.004707,0.004526,0.004352,0.004237,0.004176,0.004117,0.004058,0.004
,Demand,ALIVE-IRG,0.48083,0.462248,0.457441,0.403149,0.355301,0.326818,0.313644,0.301,0.288867,0.277222
,Demand,ALIVE-MoTP-Mob-Trac,0.11573,0.112101,0.112057,0.100007,0.089254,0.083138,0.080796,0.078521,0.076309,0.07416
,Demand,ALIVE-MoTP-Mob-MTr,0.007243,0.007015,0.007013,0.006259,0.005586,0.005203,0.005056,0.004914,0.004776,0.004641
,Demand,ALIVE-MoTP-Mob-Uti,0.013309,0.012892,0.012887,0.011501,0.010264,0.009561,0.009292,0.00903,0.008776,0.008528
,Demand,ALIVE-MoTP-Mob-Bike,0.021315,0.020647,0.020639,0.01842,0.016439,0.015312,0.014881,0.014462,0.014055,0.013659
,Demand,ALIVE-LIG,0.032359,0.031581,0.031887,0.028817,0.026043,0.024565,0.024175,0.023791,0.023413,0.02304
,Demand,AHORT-IRG,0.48654,0.478975,0.470092,0.42922,0.418271,0.407664,0.397388,0.387431,0.373118,0.359335
,Demand,AHORT-MoTP-Mob-Trac,0.13404,0.132956,0.13181,0.121873,0.120267,0.118701,0.117174,0.115684,0.112821,0.110028
,Demand,AHORT-MoTP-Mob-MTr,0.008388,0.008321,0.008249,0.007627,0.007527,0.007428,0.007333,0.00724,0.00706,0.006886
,Demand,AHORT-MoTP-Mob-Uti,0.015415,0.01529,0.015158,0.014015,0.013831,0.013651,0.013475,0.013304,0.012974,0.012653
,Demand,AHORT-MoTP-Stat,0.070633,0.070062,0.069458,0.064222,0.063375,0.06255,0.061745,0.06096,0.059451,0.05798
,Demand,AHORT-LIG,0.002312,0.00231,0.002313,0.002166,0.002164,0.002163,0.002162,0.002162,0.002135,0.002108
,Demand,AINDC-SH,1.195579,1.260547,1.316562,1.360808,1.372265,1.353267,1.330076,1.303017,1.272909,1.241503
,Demand,AINDC-LIG,0.001029,0.001094,0.001154,0.001208,0.001233,0.001231,0.001226,0.001216,0.001203,0.001188
,Demand,AFORE-MoTP-Stat,0.053577,0.05456,0.058285,0.061868,0.066325,0.071651,0.077788,0.08466,0.083607,0.082568
,Demand,AFORE-MoTP-Mob-GB,0.023063,0.023486,0.025089,0.026632,0.02855,0.030843,0.033485,0.036443,0.03599,0.035542
,Demand,AFORE-MoTP-Mob-CY,0.018141,0.018474,0.019735,0.020949,0.022458,0.024261,0.026339,0.028666,0.028309,0.027957
,Demand,AFORE-LIG,0.00209,0.002113,0.002234,0.002342,0.00248,0.002645,0.002836,0.003048,0.002973,0.002899
,Demand,AFISH-BOAT,0.337207,0.329861,0.320716,0.309487,0.298427,0.287546,0.277062,0.26696,0.257227,0.247848
,Demand,AFISH-RFGR,0.161387,0.16027,0.158991,0.157327,0.155565,0.153707,0.151871,0.150057,0.148265,0.146494
,Demand,AFISH-LIG,0.001969,0.001955,0.001939,0.001919,0.001898,0.001875,0.001853,0.00183,0.001809,0.001787
,Demand,AOTH-ELC,0.011645,0.011472,0.011244,0.010966,0.010694,0.01043,0.010171,0.00992,0.009674,0.009435
\I:,Demand,AOTH-NGA,0,0,0,0,0,0,0,0,0,0
,Demand,AOTH-FOL,0.015942,0.015704,0.015393,0.015012,0.01464,0.014278,0.013924,0.01358,0.013244,0.012916
,Demand,AOTH-LPG,0.055428,0.054601,0.053517,0.052192,0.0509,0.049641,0.048412,0.047214,0.046045,0.044905
,Demand,AOTH-PET,0.006942,0.006839,0.006703,0.006537,0.006375,0.006218,0.006064,0.005914,0.005767,0.005624
