TimeSlice,Attribute,Cset_CN,Cset_SET,Year,NI,SI
SUM-WK-D,COM_FR,T_P_C*,DEM,2020,0.0491917698226832,0.0491917698226832
SUM-WK-N,COM_FR,T_P_C*,DEM,2020,0.117435028437605,0.117435028437605
SUM-WK-P,COM_FR,T_P_C*,DEM,2020,0.00967320173971228,0.00967320173971228
SUM-WE-D,COM_FR,T_P_C*,DEM,2020,0.0195874205419873,0.0195874205419873
SUM-WE-N,COM_FR,T_P_C*,DEM,2020,0.046760856473737,0.046760856473737
SUM-WE-P,COM_FR,T_P_C*,DEM,2020,0.00385172298427568,0.00385172298427568
FAL-WK-D,COM_FR,T_P_C*,DEM,2020,0.0502799598527936,0.0502799598527936
FAL-WK-N,COM_FR,T_P_C*,DEM,2020,0.120032853797257,0.120032853797257
FAL-WK-P,COM_FR,T_P_C*,DEM,2020,0.00988718634994982,0.00988718634994982
FAL-WE-D,COM_FR,T_P_C*,DEM,2020,0.0200338574774172,0.0200338574774172
FAL-WE-N,COM_FR,T_P_C*,DEM,2020,0.047826630980261,0.047826630980261
FAL-WE-P,COM_FR,T_P_C*,DEM,2020,0.00393951154232185,0.00393951154232185
WIN-WK-D,COM_FR,T_P_C*,DEM,2020,0.0502799598527936,0.0502799598527936
WIN-WK-N,COM_FR,T_P_C*,DEM,2020,0.120032853797257,0.120032853797257
WIN-WK-P,COM_FR,T_P_C*,DEM,2020,0.0100871863499495,0.0100871863499495
WIN-WE-D,COM_FR,T_P_C*,DEM,2020,0.0200338574774172,0.0200338574774172
WIN-WE-N,COM_FR,T_P_C*,DEM,2020,0.047826630980261,0.047826630980261
WIN-WE-P,COM_FR,T_P_C*,DEM,2020,0.00393951154232185,0.00393951154232185
SPR-WK-D,COM_FR,T_P_C*,DEM,2020,0.0497219136835062,0.0497219136835062
SPR-WK-N,COM_FR,T_P_C*,DEM,2020,0.118700635664102,0.118700635664102
SPR-WK-P,COM_FR,T_P_C*,DEM,2020,0.0097774506523921,0.0097774506523921
SPR-WE-D,COM_FR,T_P_C*,DEM,2020,0.0198385413181666,0.0198385413181666
SPR-WE-N,COM_FR,T_P_C*,DEM,2020,0.0473603546336567,0.0473603546336567
SPR-WE-P,COM_FR,T_P_C*,DEM,2020,0.00390110404817665,0.00390110404817665
SUM-WK-D,COM_FR,T_C_C*,DEM,2020,0.0554955794557046,0.0554955794557046
SUM-WK-N,COM_FR,T_C_C*,DEM,2020,0.110566639784946,0.110566639784946
SUM-WK-P,COM_FR,T_C_C*,DEM,2020,0.0102377807593491,0.0102377807593491
SUM-WE-D,COM_FR,T_C_C*,DEM,2020,0.0220975024264916,0.0220975024264916
SUM-WE-N,COM_FR,T_C_C*,DEM,2020,0.0440259677419355,0.0440259677419355
SUM-WE-P,COM_FR,T_C_C*,DEM,2020,0.00407652983157294,0.00407652983157294
FAL-WK-D,COM_FR,T_C_C*,DEM,2020,0.0567232184793986,0.0567232184793986
FAL-WK-N,COM_FR,T_C_C*,DEM,2020,0.11301252688172,0.11301252688172
FAL-WK-P,COM_FR,T_C_C*,DEM,2020,0.010464254638881,0.010464254638881
FAL-WE-D,COM_FR,T_C_C*,DEM,2020,0.022601149205443,0.022601149205443
FAL-WE-N,COM_FR,T_C_C*,DEM,2020,0.0450294086021505,0.0450294086021505
FAL-WE-P,COM_FR,T_C_C*,DEM,2020,0.00416944219240651,0.00416944219240651
WIN-WK-D,COM_FR,T_C_C*,DEM,2020,0.0567232184793986,0.0567232184793986
WIN-WK-N,COM_FR,T_C_C*,DEM,2020,0.11301252688172,0.11301252688172
WIN-WK-P,COM_FR,T_C_C*,DEM,2020,0.0106642546388811,0.0106642546388811
WIN-WE-D,COM_FR,T_C_C*,DEM,2020,0.022601149205443,0.022601149205443
WIN-WE-N,COM_FR,T_C_C*,DEM,2020,0.0450294086021505,0.0450294086021505
WIN-WE-P,COM_FR,T_C_C*,DEM,2020,0.00416944219240651,0.00416944219240651
SPR-WK-D,COM_FR,T_C_C*,DEM,2020,0.0560936600057094,0.0560936600057094
SPR-WK-N,COM_FR,T_C_C*,DEM,2020,0.111758225806452,0.111758225806452
SPR-WK-P,COM_FR,T_C_C*,DEM,2020,0.010348114187839,0.010348114187839
SPR-WE-D,COM_FR,T_C_C*,DEM,2020,0.0223808037396517,0.0223808037396517
SPR-WE-N,COM_FR,T_C_C*,DEM,2020,0.0445904032258064,0.0445904032258064
SPR-WE-P,COM_FR,T_C_C*,DEM,2020,0.00412879303454182,0.00412879303454182
SUM-WK-D,COM_FR,T_F_M*,DEM,2020,0.048454064516129,0.048454064516129
SUM-WK-N,COM_FR,T_F_M*,DEM,2020,0.118291612903226,0.118291612903226
SUM-WK-P,COM_FR,T_F_M*,DEM,2020,0.00955432258064516,0.00955432258064516
SUM-WE-D,COM_FR,T_F_M*,DEM,2020,0.0192936774193548,0.0192936774193548
SUM-WE-N,COM_FR,T_F_M*,DEM,2020,0.047101935483871,0.047101935483871
SUM-WE-P,COM_FR,T_F_M*,DEM,2020,0.00380438709677419,0.00380438709677419
FAL-WK-D,COM_FR,T_F_M*,DEM,2020,0.049525935483871,0.049525935483871
FAL-WK-N,COM_FR,T_F_M*,DEM,2020,0.120908387096774,0.120908387096774
FAL-WK-P,COM_FR,T_F_M*,DEM,2020,0.00976567741935484,0.00976567741935484
FAL-WE-D,COM_FR,T_F_M*,DEM,2020,0.0197334193548387,0.0197334193548387
FAL-WE-N,COM_FR,T_F_M*,DEM,2020,0.0481754838709677,0.0481754838709677
FAL-WE-P,COM_FR,T_F_M*,DEM,2020,0.00389109677419355,0.00389109677419355
WIN-WK-D,COM_FR,T_F_M*,DEM,2020,0.049525935483871,0.049525935483871
WIN-WK-N,COM_FR,T_F_M*,DEM,2020,0.120908387096774,0.120908387096774
WIN-WK-P,COM_FR,T_F_M*,DEM,2020,0.00996567741935495,0.00996567741935495
WIN-WE-D,COM_FR,T_F_M*,DEM,2020,0.0197334193548387,0.0197334193548387
WIN-WE-N,COM_FR,T_F_M*,DEM,2020,0.0481754838709677,0.0481754838709677
WIN-WE-P,COM_FR,T_F_M*,DEM,2020,0.00389109677419355,0.00389109677419355
SPR-WK-D,COM_FR,T_F_M*,DEM,2020,0.0489762580645161,0.0489762580645161
SPR-WK-N,COM_FR,T_F_M*,DEM,2020,0.119566451612903,0.119566451612903
SPR-WK-P,COM_FR,T_F_M*,DEM,2020,0.00965729032258065,0.00965729032258065
SPR-WE-D,COM_FR,T_F_M*,DEM,2020,0.0195410322580645,0.0195410322580645
SPR-WE-N,COM_FR,T_F_M*,DEM,2020,0.0477058064516129,0.0477058064516129
SPR-WE-P,COM_FR,T_F_M*,DEM,2020,0.00385316129032258,0.00385316129032258
SUM-WK-D,COM_FR,T_P_B*,DEM,2020,0.048454064516129,0.048454064516129
SUM-WK-N,COM_FR,T_P_B*,DEM,2020,0.118291612903226,0.118291612903226
SUM-WK-P,COM_FR,T_P_B*,DEM,2020,0.00955432258064516,0.00955432258064516
SUM-WE-D,COM_FR,T_P_B*,DEM,2020,0.0192936774193548,0.0192936774193548
SUM-WE-N,COM_FR,T_P_B*,DEM,2020,0.047101935483871,0.047101935483871
SUM-WE-P,COM_FR,T_P_B*,DEM,2020,0.00380438709677419,0.00380438709677419
FAL-WK-D,COM_FR,T_P_B*,DEM,2020,0.049525935483871,0.049525935483871
FAL-WK-N,COM_FR,T_P_B*,DEM,2020,0.120908387096774,0.120908387096774
FAL-WK-P,COM_FR,T_P_B*,DEM,2020,0.00976567741935484,0.00976567741935484
FAL-WE-D,COM_FR,T_P_B*,DEM,2020,0.0197334193548387,0.0197334193548387
FAL-WE-N,COM_FR,T_P_B*,DEM,2020,0.0481754838709677,0.0481754838709677
FAL-WE-P,COM_FR,T_P_B*,DEM,2020,0.00389109677419355,0.00389109677419355
WIN-WK-D,COM_FR,T_P_B*,DEM,2020,0.049525935483871,0.049525935483871
WIN-WK-N,COM_FR,T_P_B*,DEM,2020,0.120908387096774,0.120908387096774
WIN-WK-P,COM_FR,T_P_B*,DEM,2020,0.00996567741935495,0.00996567741935495
WIN-WE-D,COM_FR,T_P_B*,DEM,2020,0.0197334193548387,0.0197334193548387
WIN-WE-N,COM_FR,T_P_B*,DEM,2020,0.0481754838709677,0.0481754838709677
WIN-WE-P,COM_FR,T_P_B*,DEM,2020,0.00389109677419355,0.00389109677419355
SPR-WK-D,COM_FR,T_P_B*,DEM,2020,0.0489762580645161,0.0489762580645161
SPR-WK-N,COM_FR,T_P_B*,DEM,2020,0.119566451612903,0.119566451612903
SPR-WK-P,COM_FR,T_P_B*,DEM,2020,0.00965729032258065,0.00965729032258065
SPR-WE-D,COM_FR,T_P_B*,DEM,2020,0.0195410322580645,0.0195410322580645
SPR-WE-N,COM_FR,T_P_B*,DEM,2020,0.0477058064516129,0.0477058064516129
SPR-WE-P,COM_FR,T_P_B*,DEM,2020,0.00385316129032258,0.00385316129032258
