TimeSlice,Cset_CN,NI,SI,Attribute,Cset_set,Year
SUM-WK-D,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.0673673900177523,0.0673673900177523,COM_FR,DEM,2020
SUM-WK-N,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.0638217379115548,0.0638217379115548,COM_FR,DEM,2020
SUM-WK-P,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.00612430818343202,0.00612430818343202,COM_FR,DEM,2020
SUM-WE-D,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.0268437109649281,0.0268437109649281,COM_FR,DEM,2020
SUM-WE-N,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.0254308840720372,0.0254308840720372,COM_FR,DEM,2020
SUM-WE-P,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.00244033736044801,0.00244033736044801,COM_FR,DEM,2020
FAL-WK-D,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.0815499984425422,0.0815499984425422,COM_FR,DEM,2020
FAL-WK-N,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.0790787863685258,0.0790787863685258,COM_FR,DEM,2020
FAL-WK-P,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.00741363622204929,0.00741363622204929,COM_FR,DEM,2020
FAL-WE-D,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.0324950185364919,0.0324950185364919,COM_FR,DEM,2020
FAL-WE-N,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.0315103210050831,0.0315103210050831,COM_FR,DEM,2020
FAL-WE-P,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.00295409259422654,0.00295409259422654,COM_FR,DEM,2020
WIN-WK-D,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.121418886570007,0.121418886570007,COM_FR,DEM,2020
WIN-WK-N,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.112687270575149,0.112687270575149,COM_FR,DEM,2020
WIN-WK-P,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.00939060588126244,0.00939060588126244,COM_FR,DEM,2020
WIN-WE-D,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.0483814720432213,0.0483814720432213,COM_FR,DEM,2020
WIN-WE-N,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.0449022074322434,0.0449022074322434,COM_FR,DEM,2020
WIN-WE-P,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.00374185061935362,0.00374185061935362,COM_FR,DEM,2020
SPR-WK-D,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.0806635854159929,0.0806635854159929,COM_FR,DEM,2020
SPR-WK-N,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.078219234342781,0.078219234342781,COM_FR,DEM,2020
SPR-WK-P,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.00733305321963571,0.00733305321963571,COM_FR,DEM,2020
SPR-WE-D,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.0321418118132692,0.0321418118132692,COM_FR,DEM,2020
SPR-WE-N,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.0311678175158974,0.0311678175158974,COM_FR,DEM,2020
SPR-WE-P,"C_HLTH-*,-C_HLTH-SH,-C_HLTH-SC",0.00292198289211538,0.00292198289211538,COM_FR,DEM,2020
SUM-WK-D,C_HLTH-SH,0.0232863265349247,0.0232863265349247,COM_FR,DEM,2020
SUM-WK-N,C_HLTH-SH,0.0220607304015076,0.0220607304015076,COM_FR,DEM,2020
SUM-WK-P,C_HLTH-SH,0.00211693877590224,0.00211693877590224,COM_FR,DEM,2020
SUM-WE-D,C_HLTH-SH,0.00927884275721137,0.00927884275721137,COM_FR,DEM,2020
SUM-WE-N,C_HLTH-SH,0.00879048261209498,0.00879048261209498,COM_FR,DEM,2020
SUM-WE-P,C_HLTH-SH,0.000843531159746488,0.000843531159746488,COM_FR,DEM,2020
FAL-WK-D,C_HLTH-SH,0.0704717776714826,0.0704717776714826,COM_FR,DEM,2020
FAL-WK-N,C_HLTH-SH,0.0683362692571953,0.0683362692571953,COM_FR,DEM,2020
FAL-WK-P,C_HLTH-SH,0.00640652524286205,0.00640652524286205,COM_FR,DEM,2020
FAL-WE-D,C_HLTH-SH,0.0280807083441923,0.0280807083441923,COM_FR,DEM,2020
FAL-WE-N,C_HLTH-SH,0.0272297777883077,0.0272297777883077,COM_FR,DEM,2020
FAL-WE-P,C_HLTH-SH,0.00255279166765385,0.00255279166765385,COM_FR,DEM,2020
WIN-WK-D,C_HLTH-SH,0.188864364159573,0.188864364159573,COM_FR,DEM,2020
WIN-WK-N,C_HLTH-SH,0.175282530644706,0.175282530644706,COM_FR,DEM,2020
WIN-WK-P,C_HLTH-SH,0.0146068775537255,0.0146068775537255,COM_FR,DEM,2020
WIN-WE-D,C_HLTH-SH,0.0752562983624354,0.0752562983624354,COM_FR,DEM,2020
WIN-WE-N,C_HLTH-SH,0.0698443800270092,0.0698443800270092,COM_FR,DEM,2020
WIN-WE-P,C_HLTH-SH,0.00582036500225077,0.00582036500225077,COM_FR,DEM,2020
SPR-WK-D,C_HLTH-SH,0.0697057800880969,0.0697057800880969,COM_FR,DEM,2020
SPR-WK-N,C_HLTH-SH,0.067593483721791,0.067593483721791,COM_FR,DEM,2020
SPR-WK-P,C_HLTH-SH,0.0063368890989179,0.0063368890989179,COM_FR,DEM,2020
SPR-WE-D,C_HLTH-SH,0.0277754832534946,0.0277754832534946,COM_FR,DEM,2020
SPR-WE-N,C_HLTH-SH,0.0269338019427826,0.0269338019427826,COM_FR,DEM,2020
SPR-WE-P,C_HLTH-SH,0.00252504393213587,0.00252504393213587,COM_FR,DEM,2020
SUM-WK-D,C_HLTH-SC,0.12789265312663,0.12789265312663,COM_FR,DEM,2020
SUM-WK-N,C_HLTH-SC,0.121161460856807,0.121161460856807,COM_FR,DEM,2020
SUM-WK-P,C_HLTH-SC,0.0116266048296936,0.0116266048296936,COM_FR,DEM,2020
SUM-WE-D,C_HLTH-SC,0.0509610571845575,0.0509610571845575,COM_FR,DEM,2020
SUM-WE-N,C_HLTH-SC,0.0482788962801071,0.0482788962801071,COM_FR,DEM,2020
SUM-WE-P,C_HLTH-SC,0.00463282338041432,0.00463282338041432,COM_FR,DEM,2020
FAL-WK-D,C_HLTH-SC,0.0967608888787003,0.0967608888787003,COM_FR,DEM,2020
FAL-WK-N,C_HLTH-SC,0.0938287407308609,0.0938287407308609,COM_FR,DEM,2020
FAL-WK-P,C_HLTH-SC,0.00879644444351821,0.00879644444351821,COM_FR,DEM,2020
FAL-WE-D,C_HLTH-SC,0.0385560630014744,0.0385560630014744,COM_FR,DEM,2020
FAL-WE-N,C_HLTH-SC,0.0373876974559752,0.0373876974559752,COM_FR,DEM,2020
FAL-WE-P,C_HLTH-SC,0.00350509663649768,0.00350509663649768,COM_FR,DEM,2020
WIN-WK-D,C_HLTH-SC,0.0288132424661019,0.0288132424661019,COM_FR,DEM,2020
WIN-WK-N,C_HLTH-SC,0.0267411911082953,0.0267411911082953,COM_FR,DEM,2020
WIN-WK-P,C_HLTH-SC,0.00222843259235795,0.00222843259235795,COM_FR,DEM,2020
WIN-WE-D,C_HLTH-SC,0.0114811387604391,0.0114811387604391,COM_FR,DEM,2020
WIN-WE-N,C_HLTH-SC,0.0106554937749529,0.0106554937749529,COM_FR,DEM,2020
WIN-WE-P,C_HLTH-SC,0.000887957814579412,0.000887957814579412,COM_FR,DEM,2020
SPR-WK-D,C_HLTH-SC,0.0957091400865405,0.0957091400865405,COM_FR,DEM,2020
SPR-WK-N,C_HLTH-SC,0.0928088631142211,0.0928088631142211,COM_FR,DEM,2020
SPR-WK-P,C_HLTH-SC,0.00870083091695823,0.00870083091695823,COM_FR,DEM,2020
SPR-WE-D,C_HLTH-SC,0.0381369753601541,0.0381369753601541,COM_FR,DEM,2020
SPR-WE-N,C_HLTH-SC,0.0369813094401494,0.0369813094401494,COM_FR,DEM,2020
SPR-WE-P,C_HLTH-SC,0.00346699776001401,0.00346699776001401,COM_FR,DEM,2020
SUM-WK-D,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.131106797811606,0.131106797811606,COM_FR,DEM,2020
SUM-WK-N,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.038939657255041,0.038939657255041,COM_FR,DEM,2020
SUM-WK-P,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.00929774948696488,0.00929774948696488,COM_FR,DEM,2020
SUM-WE-D,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.0514090475693197,0.0514090475693197,COM_FR,DEM,2020
SUM-WE-N,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.0133578550047885,0.0133578550047885,COM_FR,DEM,2020
SUM-WE-P,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.00246423533803351,0.00246423533803351,COM_FR,DEM,2020
FAL-WK-D,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.134020282207419,0.134020282207419,COM_FR,DEM,2020
FAL-WK-N,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.0398049829718197,0.0398049829718197,COM_FR,DEM,2020
FAL-WK-P,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.00950436614223077,0.00950436614223077,COM_FR,DEM,2020
FAL-WE-D,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.0525514708486379,0.0525514708486379,COM_FR,DEM,2020
FAL-WE-N,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.0136546962271172,0.0136546962271172,COM_FR,DEM,2020
FAL-WE-P,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.00251899612332314,0.00251899612332314,COM_FR,DEM,2020
WIN-WK-D,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.134020282207419,0.134020282207419,COM_FR,DEM,2020
WIN-WK-N,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.0398049829718197,0.0398049829718197,COM_FR,DEM,2020
WIN-WK-P,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.00950436614223077,0.00950436614223077,COM_FR,DEM,2020
WIN-WE-D,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.0525514708486379,0.0525514708486379,COM_FR,DEM,2020
WIN-WE-N,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.0136546962271172,0.0136546962271172,COM_FR,DEM,2020
WIN-WE-P,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.00251899612332314,0.00251899612332314,COM_FR,DEM,2020
SPR-WK-D,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.132563540009512,0.132563540009512,COM_FR,DEM,2020
SPR-WK-N,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.0393723201134304,0.0393723201134304,COM_FR,DEM,2020
SPR-WK-P,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.00940105781459783,0.00940105781459783,COM_FR,DEM,2020
SPR-WE-D,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.0519802592089788,0.0519802592089788,COM_FR,DEM,2020
SPR-WE-N,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.0135062756159528,0.0135062756159528,COM_FR,DEM,2020
SPR-WE-P,"C_OTH-*,-C_OTH-SH,-C_OTH-SC",0.00249161573067832,0.00249161573067832,COM_FR,DEM,2020
SUM-WK-D,C_OTH-SH,0.0497701312545357,0.0497701312545357,COM_FR,DEM,2020
SUM-WK-N,C_OTH-SH,0.0147820851774207,0.0147820851774207,COM_FR,DEM,2020
SUM-WK-P,C_OTH-SH,0.00352956688792739,0.00352956688792739,COM_FR,DEM,2020
SUM-WE-D,C_OTH-SH,0.0195156550835171,0.0195156550835171,COM_FR,DEM,2020
SUM-WE-N,C_OTH-SH,0.00507084459360147,0.00507084459360147,COM_FR,DEM,2020
SUM-WE-P,C_OTH-SH,0.00093546115276363,0.00093546115276363,COM_FR,DEM,2020
FAL-WK-D,C_OTH-SH,0.127190335428258,0.127190335428258,COM_FR,DEM,2020
FAL-WK-N,C_OTH-SH,0.0377764398978528,0.0377764398978528,COM_FR,DEM,2020
FAL-WK-P,C_OTH-SH,0.00902000426914777,0.00902000426914777,COM_FR,DEM,2020
FAL-WE-D,C_OTH-SH,0.0498733407689882,0.0498733407689882,COM_FR,DEM,2020
FAL-WE-N,C_OTH-SH,0.0129588250725371,0.0129588250725371,COM_FR,DEM,2020
FAL-WE-P,C_OTH-SH,0.0023906229459515,0.0023906229459515,COM_FR,DEM,2020
WIN-WK-D,C_OTH-SH,0.228942603770864,0.228942603770864,COM_FR,DEM,2020
WIN-WK-N,C_OTH-SH,0.0679975918161351,0.0679975918161351,COM_FR,DEM,2020
WIN-WK-P,C_OTH-SH,0.016236007684466,0.016236007684466,COM_FR,DEM,2020
WIN-WE-D,C_OTH-SH,0.0897720133841787,0.0897720133841787,COM_FR,DEM,2020
WIN-WE-N,C_OTH-SH,0.0233258851305668,0.0233258851305668,COM_FR,DEM,2020
WIN-WE-P,C_OTH-SH,0.0043031213027127,0.0043031213027127,COM_FR,DEM,2020
SPR-WK-D,C_OTH-SH,0.125807831782299,0.125807831782299,COM_FR,DEM,2020
SPR-WK-N,C_OTH-SH,0.0373658264207022,0.0373658264207022,COM_FR,DEM,2020
SPR-WK-P,C_OTH-SH,0.00892196074448312,0.00892196074448312,COM_FR,DEM,2020
SPR-WE-D,C_OTH-SH,0.0493312392388904,0.0493312392388904,COM_FR,DEM,2020
SPR-WE-N,C_OTH-SH,0.0128179682782704,0.0128179682782704,COM_FR,DEM,2020
SPR-WE-P,C_OTH-SH,0.00236463791393029,0.00236463791393029,COM_FR,DEM,2020
SUM-WK-D,C_OTH-SC,0.221674493115164,0.221674493115164,COM_FR,DEM,2020
SUM-WK-N,C_OTH-SC,0.0658389109349854,0.0658389109349854,COM_FR,DEM,2020
SUM-WK-P,C_OTH-SC,0.0157205723809713,0.0157205723809713,COM_FR,DEM,2020
SUM-WE-D,C_OTH-SC,0.0869220723233431,0.0869220723233431,COM_FR,DEM,2020
SUM-WE-N,C_OTH-SC,0.0225853715193877,0.0225853715193877,COM_FR,DEM,2020
SUM-WE-P,C_OTH-SC,0.00416651255764785,0.00416651255764785,COM_FR,DEM,2020
FAL-WK-D,C_OTH-SC,0.141625370601355,0.141625370601355,COM_FR,DEM,2020
FAL-WK-N,C_OTH-SC,0.0420637486529073,0.0420637486529073,COM_FR,DEM,2020
FAL-WK-P,C_OTH-SC,0.0100436990211761,0.0100436990211761,COM_FR,DEM,2020
FAL-WE-D,C_OTH-SC,0.0555335462065803,0.0555335462065803,COM_FR,DEM,2020
FAL-WE-N,C_OTH-SC,0.0144295429151643,0.0144295429151643,COM_FR,DEM,2020
FAL-WE-P,C_OTH-SC,0.00266193857849724,0.00266193857849724,COM_FR,DEM,2020
WIN-WK-D,C_OTH-SC,0.028325074120271,0.028325074120271,COM_FR,DEM,2020
WIN-WK-N,C_OTH-SC,0.00841274973058147,0.00841274973058147,COM_FR,DEM,2020
WIN-WK-P,C_OTH-SC,0.00200873980423522,0.00200873980423522,COM_FR,DEM,2020
WIN-WE-D,C_OTH-SC,0.0111067092413161,0.0111067092413161,COM_FR,DEM,2020
WIN-WE-N,C_OTH-SC,0.00288590858303287,0.00288590858303287,COM_FR,DEM,2020
WIN-WE-P,C_OTH-SC,0.000532387715699448,0.000532387715699448,COM_FR,DEM,2020
SPR-WK-D,C_OTH-SC,0.140085964399166,0.140085964399166,COM_FR,DEM,2020
SPR-WK-N,C_OTH-SC,0.0416065339936366,0.0416065339936366,COM_FR,DEM,2020
SPR-WK-P,C_OTH-SC,0.00993452837964159,0.00993452837964159,COM_FR,DEM,2020
SPR-WE-D,C_OTH-SC,0.0549299207043349,0.0549299207043349,COM_FR,DEM,2020
