Sets,Region,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
*Process Set Membership,Region Name,Technology Name,,,,,,Technology Description,Activity Unit,Capacity Unit,TimeSlice level of Process Activity,Primary Commodity Group,Vintage Tracking
DMD,,ALU-PH-FURN-ELC-Furn15,Industry,Aluminium,Furnace,Electricity,Industry -:- Aluminium -:- Furnace -:- Electricity,Aluminium - Process Heat: Furnace/Kiln Existing,PJ,GW,DAYNITE,,
DMD,,CNST-MoTP-Mob-DSL-ICE_Off15,Industry,Construction,Internal Combustion Engine,Diesel,Industry -:- Construction -:- Internal Combustion Engine -:- Diesel,"Construction - Motive Power, Mobile, Diesel ICE Existing",PJ,GW,DAYNITE,,
DMD,,CNST-MoTP-Mob-NGA-ICE_Off15,Industry,Construction,Internal Combustion Engine,Natural Gas,Industry -:- Construction -:- Internal Combustion Engine -:- Natural Gas,"Construction - Motive Power, Mobile, Natural Gas ICE Existing",PJ,GW,DAYNITE,,
DMD,,CNST-MoTP-Stat-ELC-Mtr15,Industry,Construction,Stationary Motor,Electricity,Industry -:- Construction -:- Stationary Motor -:- Electricity,"Construction - Motive Power, Stationary, Diesel ICE Existing",PJ,GW,DAYNITE,,
DMD,,CNST-MoTP-Stat-DSL-St_ngn15,Industry,Construction,Internal Combustion Engine,Diesel,Industry -:- Construction -:- Internal Combustion Engine -:- Diesel,"Construction - Motive Power, Stationary, Electric Motor Existing",PJ,GW,DAYNITE,,
DMD,,DARY-PH-MVR_DRY-COA-BLR15,Industry,Dairy Product Manufacturing,Boiler,Coal,Industry -:- Dairy Product Manufacturing -:- Boiler -:- Coal,Dairy - Process Heat: MVR Drying Coal Boiler Existing,PJ,GW,DAYNITE,,
DMD,,DARY-PH-MVR_DRY-NGA-BLR15,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Industry -:- Dairy Product Manufacturing -:- Boiler -:- Natural Gas,Dairy - Process Heat: MVR Drying Natural Gas Boiler Existing,PJ,GW,DAYNITE,,
DMD,,DARY-PH-MVR_PRE-COA-BLR15,Industry,Dairy Product Manufacturing,Boiler,Coal,Industry -:- Dairy Product Manufacturing -:- Boiler -:- Coal,Dairy - Process Heat: MVR Evaporation Preheat Coal Boiler Existing,PJ,GW,DAYNITE,,
DMD,,DARY-PH-MVR_PRE-NGA-BLR15,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Industry -:- Dairy Product Manufacturing -:- Boiler -:- Natural Gas,Dairy - Process Heat: MVR Evaporation Preheat Natural Gas Boiler Existing,PJ,GW,DAYNITE,,
DMD,,DARY-PH-TVR_EVP-COA-BLR15,Industry,Dairy Product Manufacturing,Boiler,Coal,Industry -:- Dairy Product Manufacturing -:- Boiler -:- Coal,Dairy - Process Heat: TVR Evaporation Preheat Coal Boiler Existing,PJ,GW,DAYNITE,,
DMD,,DARY-PH-TVR_EVP-NGA-BLR15,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Industry -:- Dairy Product Manufacturing -:- Boiler -:- Natural Gas,Dairy - Process Heat: TVR Evaporation Preheat Natural Gas Boiler Existing,PJ,GW,DAYNITE,,
DMD,,DARY-PH-TVR_DRY-COA-BLR15,Industry,Dairy Product Manufacturing,Boiler,Coal,Industry -:- Dairy Product Manufacturing -:- Boiler -:- Coal,Dairy - Process Heat: TVR Drying Coal Boiler Existing,PJ,GW,DAYNITE,,
DMD,,DARY-PH-TVR_DRY-NGA-BLR15,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Industry -:- Dairy Product Manufacturing -:- Boiler -:- Natural Gas,Dairy - Process Heat: TVR Drying Natural Gas Boiler Existing,PJ,GW,DAYNITE,,
