TechName,*TechDesc,Comm-IN,Comm-OUT,*Delivered energy,EFF,*Share~UP~2018,Life,INVCOST,FIXOM,AFA,CAP2ACT,PRC_RESID,*ACT_BND~Total,*NI Split,ACT_BND
*Technology Name,Technology Description,Input Commodity,Output Commodity,Energy consumption 2018,Efficiency,,Lifetime of Process,Investment Cost,O&M Cost,Capacity Factor,Capacity to activity,Existing Installed Capacity in Pja,Bound on activity of a process,Consumption of North Island,Bound on activity of a process
C_EDU-OTH_ELEC-ELC00,Education Electronics ELC,COMELC,C_EDU-OTH,0.113127629,0.9,,4,5000,0,0.21689497716895,31.536,0.0116551228298684,0.1018148661,0.783,0.0797210401563
C_EDU-LT_INC-ELC00,Education Lighting Incandescent ELC,COMELC,C_EDU-LT,0.00607109956,0.015,0.01,1,22,0,0.21689497716895,31.536,1.04247170076316e-05,9.10664934e-05,0.783,7.13050643322e-05
C_EDU-LT_FLU-ELC00,Education Lighting Fluorescent ELC,COMELC,C_EDU-LT,0.49175906436,0.135,0.81,5,333,0,0.21689497716895,31.536,0.00759961869856342,0.0663874736886,0.783,0.0519813918981738
C_EDU-LT_LED-ELC00,Education Lighting LED ELC,COMELC,C_EDU-LT,0.10927979208,0.25,0.18,20,1000,0,0.21689497716895,31.536,0.00312741510228947,0.02731994802,0.783,0.02139151929966
C_EDU-SH_Boiler-COA00,Education Boiler Systems COA,COMCOA,C_EDU-SH,0.107400894,0.75,,25,4000,15,0.1,31.536,0.0199997383946918,0.0805506705,0.783,0.0630711750015
C_EDU-SH_Boiler-DSL00,Education Boiler Systems DSL,COMDSL,C_EDU-SH,0.022328154,0.85,,25,1900,3,0.1,31.536,0.00471223455565069,0.0189789309,0.783,0.0148605028947
C_EDU-SH_Boiler-FOL00,Education Boiler Systems FOL,COMFOL,C_EDU-SH,0.003734259,0.84,,25,1900,3,0.1,31.536,0.000778823195547945,0.00313677756,0.783,0.00245609682948
C_EDU-SH_Boiler-NGA00,Education Boiler Systems NGA,COMNGA,C_EDU-SH,0.426939836,0.85,,25,1250,2,0.1,31.536,0.115074473807712,0.3628988606,1,0.3628988606
C_EDU-SH_Burner-NGA00,Education Burner (Direct Heat) NGA,COMNGA,C_EDU-SH,0.234601969,0.8,,12.5,300,0,0.1,31.536,0.0595134370877727,0.1876815752,1,0.1876815752
C_EDU-SH_AIRHP-ELC00,Education Heat Pump Air Source (for Heating) ELC,COMELC,C_EDU-SH,0.020628337,3.5,,10,1718,0,0.1,31.536,0.0179261661429795,0.0721991795,0.783,0.0565319575485
C_EDU-SH_RH-ELC00,Education Resistance Heater ELC,COMELC,C_EDU-SH,1.373233614,0.99,,10,80,0,0.1,31.536,0.33754740631798,1.35950127786,0.783,1.06448950056438
C_EDU-WH_Boiler-COA00,Education Boiler Systems COA,COMCOA,C_EDU-WH,0.012821948,0.75,,25,4000,15,0.21689497716895,31.536,0.00110083171973684,0.009616461,0.783,0.007529688963
C_EDU-WH_Cylinder-ELC00,Education Hot Water Cylinder ELC,COMELC,C_EDU-WH,0.126398348,0.9,,15,655,0,0.21689497716895,31.536,0.0130223561163158,0.1137585132,0.783,0.0890729158356
C_EDU-WH_Cylinder-NGA00,Education Hot Water Cylinder NGA,COMNGA,C_EDU-WH,0.054405725,0.6,,15,316,0,0.21689497716895,31.536,0.00477243201754386,0.032643435,1,0.032643435
C_EDU-MPM_-DSL00,Education Motive power - mobile DSL,COMDSL,C_EDU-MPM,0.4916667262,0.16,,20,929,7,0.05,31.536,0.0390639316706849,0.078666676192,0.783,0.061596007458336
C_EDU-MPM_-PET00,Education Motive power - mobile PET,COMPET,C_EDU-MPM,0.1100450892,0.14,,20,650,7,0.05,31.536,0.00765039489986302,0.015406312488,0.783,0.012063142678104
C_EDU-MPS_-ELC00,Education Motive power Stationery ELC,COMELC,C_EDU-MPS,0.011123123,0.86,,10,187,0,0.21689497716895,31.536,0.00109504218797368,0.00956588578,0.783,0.00749008856574
C_EDU-MPS_-PET00,Education Motive power Stationery PET,COMPET,C_EDU-MPS,0.003518958,0.14,,20,150,5,0.21689497716895,31.536,5.63959321578947e-05,0.00049265412,0.783,0.00038574817596
C_EDU-RF_Refriger-ELC00,Education Refrigeration Systems ELC,COMELC,C_EDU-RF,0.002026467,1.8,,8,7500,5,0.21689497716895,31.536,0.000417558858157895,0.0036476406,0.783,0.0028561025898
C_EDU-SC_AirHP-ELC00,Education Heat Pump Air Source (for Cooling) ELC,COMELC,C_EDU-SC,0.129344777,3.5,,10,1718,0,0.108447488584475,31.536,0.103646012096053,0.4527067195,0.783,0.3544693613685
\I:,,,,,,,,,,,,,,,
C_HLTH-OTH_ELEC-ELC00,Healthcare Electronics ELC,COMELC,C_HLTH-OTH,0.242168705,0.9,,4,5000,0,0.45625,31.536,0.0111336709936198,0.2179518345,0.735,0.1601945983575
C_HLTH-LT_INC-ELC00,Healthcare Lighting Incandescent ELC,COMELC,C_HLTH-LT,0.00444433409,0.015,0.01,1,88,0,0.45625,31.536,3.40546022408832e-06,6.666501135e-05,0.735,4.899878334225e-05
C_HLTH-LT_FLU-ELC00,Healthcare Lighting Fluorescent ELC,COMELC,C_HLTH-LT,0.35999106129,0.135,0.81,5,1332,0,0.45625,31.536,0.00248258050336039,0.04859879327415,0.735,0.0357201130565003
C_HLTH-LT_LED-ELC00,Healthcare Lighting LED ELC,COMELC,C_HLTH-LT,0.07999801362,0.25,0.18,20,4000,0,0.45625,31.536,0.0010216380672265,0.019999503405,0.735,0.014699635002675
C_HLTH-SH_Boiler-COA00,Healthcare Boiler Systems COA,COMCOA,C_HLTH-SH,0.071848824,0.75,,25,1600,15,0.3421875,31.536,0.00367026581597548,0.053886618,0.735,0.03960666423
C_HLTH-SH_Boiler-DSL00,Healthcare Boiler Systems DSL,COMDSL,C_HLTH-SH,0.012593835,0.85,,25,760,3,0.3421875,31.536,0.000729110774379183,0.01070475975,0.735,0.00786799841625
C_HLTH-SH_Boiler-NGA00,Healthcare Boiler Systems NGA,COMNGA,C_HLTH-SH,1.515810427,0.85,,25,500,2,0.3421875,31.536,0.119396904702663,1.28843886295,1,1.28843886295
C_HLTH-SH_AIRHP-ELC00,Healthcare Heat Pump Air Source (for Heating) ELC,COMELC,C_HLTH-SH,0.099243505,3.5,,10,1718,0,0.3421875,31.536,0.0236584740483587,0.3473522675,0.735,0.2553039166125
C_HLTH-SH_RH-ELC00,Healthcare Resistance Heater ELC,COMELC,C_HLTH-SH,0.538359911,0.99,,10,80,0,0.3421875,31.536,0.0363014939674736,0.53297631189,0.735,0.39173758923915
C_HLTH-WH_Boiler-FOL00,Healthcare Boiler Systems FOL,COMFOL,C_HLTH-WH,0.002456939,0.84,,25,760,3,0.45625,31.536,0.000105426918996685,0.00206382876,0.735,0.0015169141386
C_HLTH-WH_Boiler-COA00,Healthcare Boiler Systems COA,COMCOA,C_HLTH-WH,0.071019019,0.75,,25,1600,15,0.45625,31.536,0.00272090755848502,0.05326426425,0.735,0.03914923422375
C_HLTH-WH_Cylinder-ELC00,Healthcare Hot Water Cylinder ELC,COMELC,C_HLTH-WH,0.571760579,0.9,,15,655,0,0.45625,31.536,0.0262866094680052,0.5145845211,0.735,0.3782196230085
C_HLTH-WH_DirectH-GEO00,Healthcare Direct Heat GEO,COMGEO,C_HLTH-WH,0.0520199519164451,1,,10,100,0,0.45625,31.536,0.00361543420115268,0.0520199519164451,1,0.0520199519164451
C_HLTH-PH_RH-ELC00,Healthcare Resistance Heater ELC,COMELC,C_HLTH-PH,0.272800187,0.99,,10,80,0,0.45625,31.536,0.0137961438161944,0.27007218513,0.735,0.19850305607055
C_HLTH-PH_Boiler-COA00,Healthcare Boiler Systems COA,COMCOA,C_HLTH-PH,0.030929005,0.75,,25,1600,15,0.45625,31.536,0.00118496375570776,0.02319675375,0.735,0.01704961400625
C_HLTH-PH_Boiler-NGA00,Healthcare Boiler Systems NGA,COMNGA,C_HLTH-PH,0,0.85,,25,500,2,0.3421875,31.536,0,0,1,0
C_HLTH-MPM_-DSL00,Healthcare Motive power - mobile DSL,COMDSL,C_HLTH-MPM,0.05358036502,0.16,,20,929,7,0.05,31.536,0.00399610028307458,0.0085728584032,0.735,0.006301050926352
C_HLTH-MPM_-PET00,Healthcare Motive power - mobile PET,COMPET,C_HLTH-MPM,0.0266315328,0.14,,20,650,7,0.05,31.536,0.00173794059178082,0.003728414592,0.735,0.00274038472512
C_HLTH-MPS_-ELC00,Healthcare Motive power Stationery ELC,COMELC,C_HLTH-MPS,0.071252472,0.86,,10,187,0,0.45625,31.536,0.00313022994733221,0.06127712592,0.735,0.0450386875512
C_HLTH-RF_Refriger-ELC00,Healthcare Refrigeration Systems ELC,COMELC,C_HLTH-RF,0.067219312,1.8,,8,7500,5,0.45625,31.536,0.00618079618690186,0.1209947616,0.735,0.088931149776
C_HLTH-SC_AIRHP-ELC00,Healthcare Heat Pump Air Source (for Cooling) ELC,COMELC,C_HLTH-SC,0.213015993,3.5,,10,1718,0,0.228125,31.536,0.0761707278820291,0.7455559755,0.735,0.5479836419925
\I:,,,,,,,,,,,,,,,
C_OFFC-OTH_EELC-ELC00,Office Blocks Electronics ELC,COMELC,C_OFFC-OTH,2.306752488,0.9,,4,5000,0,0.44754332660912,31.536,0.112675782852962,2.0760772392,0.766,1.5902751652272
C_OFFC-LT_INC-ELC00,Office Blocks Lighting Incandescent ELC,COMELC,C_OFFC-LT,0.03379766627,0.015,0.01,1,44,0,0.44754332660912,31.536,2.75147169407062e-05,0.00050696499405,0.766,0.0003883351854423
C_OFFC-LT_FLU-ELC00,Office Blocks Lighting Fluorescent ELC,COMELC,C_OFFC-LT,2.73761096787,0.135,0.81,5,666,0,0.44754332660912,31.536,0.0200582286497749,0.36957748066245,0.766,0.283096350187437
C_OFFC-LT_LED-ELC00,Office Blocks Lighting LED ELC,COMELC,C_OFFC-LT,0.60835799286,0.25,0.18,20,2000,0,0.44754332660912,31.536,0.00825441508221187,0.152089498215,0.766,0.11650055563269
C_OFFC-SH_Boiler-COA00,Office Blocks Boiler Systems COA,COMCOA,C_OFFC-SH,0.05482311,0.75,,25,800,15,0.1,31.536,0.00998727698344749,0.0411173325,0.766,0.031495876695
C_OFFC-SH_Boiler-DSL00,Office Blocks Boiler Systems DSL,COMDSL,C_OFFC-SH,1.384873653,0.85,,25,380,3,0.1,31.536,0.285924415102835,1.17714260505,0.766,0.9016912354683
C_OFFC-SH_Boiler-FOL00,Office Blocks Boiler Systems FOL,COMFOL,C_OFFC-SH,0.029400894,0.84,,25,380,3,0.1,31.536,0.00599876688082192,0.02469675096,0.766,0.01891771123536
C_OFFC-SH_Boiler-NGA00,Office Blocks Boiler Systems NGA,COMNGA,C_OFFC-SH,1.101296853,0.85,,25,250,2,0.1,31.536,0.296836100028539,0.93610232505,1,0.93610232505
C_OFFC-SH_Burner-NGA00,Office Blocks Burner (Direct Heat) NGA,COMNGA,C_OFFC-SH,0.076031865,0.8,,12.5,300,0,0.1,31.536,0.0192876369863014,0.060825492,1,0.060825492
C_OFFC-SH_AirHP-ELC00,Office Blocks Heat Pump Air Source (for Heating) ELC,COMELC,C_OFFC-SH,1.272833907,3.5,,10,1718,0,0.1,31.536,1.08208641066305,4.4549186745,0.766,3.412467704667
C_OFFC-SH_RH-ELC00,Office Blocks Resistance Heater ELC,COMELC,C_OFFC-SH,0.683711661,0.99,,10,80,0,0.1,31.536,0.164410800673116,0.67687454439,0.766,0.51848590100274
C_OFFC-WH_Boiler-FOL00,Office Blocks Boiler Systems FOL,COMFOL,C_OFFC-WH,8.6308e-05,0.84,,25,380,3,0.44754332660912,31.536,3.93475246373082e-06,7.249872e-05,0.766,5.553401952e-05
C_OFFC-WH_Boiler-COA00,Office Blocks Boiler Systems COA,COMCOA,C_OFFC-WH,0.000382967,0.75,,25,800,15,0.44754332660912,31.536,1.55886926015135e-05,0.00028722525,0.766,0.0002200145415
C_OFFC-WH_AirHP-ELC00,Office Blocks Heat Pump (for Heating) ELC,COMELC,C_OFFC-WH,0.21680042,2.5,,10,3750,0,0.44754332660912,31.536,0.0294162430292865,0.54200105,0.766,0.4151728043
C_OFFC-WH_Cylinder-ELC00,Office Blocks Hot Water Cylinder ELC,COMELC,C_OFFC-WH,0.232263404,0.9,,15,655,0,0.44754332660912,31.536,0.0113451534180349,0.2090370636,0.766,0.1601223907176
C_OFFC-WH_Cylinder-NGA00,Office Blocks Hot Water Cylinder NGA,COMNGA,C_OFFC-WH,0.024233406,0.6,,15,316,0,0.44754332660912,31.536,0.00103020586070219,0.0145400436,1,0.0145400436
C_OFFC-MPM_-DSL00,Office Blocks Motive power - mobile DSL,COMDSL,C_OFFC-MPM,1.61911328085,0.16,,20,929,7,0.1,31.536,0.0629244430812329,0.259058124936,0.766,0.198438523700976
C_OFFC-MPM_-PET00,Office Blocks Motive power - mobile PET,COMPET,C_OFFC-MPM,0.012023596,0.14,,20,650,7,0.1,31.536,0.000408869366768138,0.00168330344,0.766,0.00128941043504
C_OFFC-MPM_-LPG00,Office Blocks Motive power - mobile LPG,COMLPG,C_OFFC-MPM,0.1864207296,0.14,,20,681,7,0.1,31.536,0.00633934520621005,0.026098902144,0.766,0.019991759042304
C_OFFC-MPS_-ELC00,Office Blocks Motive power Stationery ELC,COMELC,C_OFFC-MPS,0.708550052,0.86,,10,187,0,0.44754332660912,31.536,0.0330716651824184,0.60935304472,0.766,0.46676443225552
C_OFFC-SC_AIRHP-ELC00,Office Blocks Heat Pump Air Source (for Cooling) ELC,COMELC,C_OFFC-SC,1.650450853,3.5,,10,1718,0,0.22377166330456,31.536,0.62702912438673,5.7765779855,0.766,4.424858736893
\I:,,,,,,,,,,,,,,,
C_WSR-OTH_ELEC-ELC00,WSR Electronics ELC,COMELC,C_WSR-OTH,0.740297894,0.9,,4,5000,0,0.483,31.536,0.0335061134984448,0.6662681046,0.766,0.5103613681236
