Csets,Region,CommName,* Fuel,* Enduse,CommDesc,* OLD CommDesc,Unit,LimType,CTSLvl,PeakTS,Ctype
*Commodity Set Membership,Region Name,Commodity Name,,,,Commodity Description,Unit,Sense of the Balance EQN.,Timeslice Level,Peak Monitoring,Electricity Indicator
NRG,NI,TRANGA,Natural Gas,,Natural Gas -:-,Transport Natural Gas,PJ,FX,ANNUAL,,
NRG,NI,TRABIL,Bio Liquids,,Bio Liquids -:-,Transport Bio Liquids,PJ,FX,ANNUAL,,
NRG,NI,TRALPG,LPG,,LPG -:-,Transport LPG,PJ,FX,ANNUAL,,
NRG,NI,TRAPET,Petrol,,Petrol -:-,Transport Petrol,PJ,FX,ANNUAL,,
NRG,NI,TRADSL,Diesel,,Diesel -:-,Transport Diesel,PJ,FX,ANNUAL,,
NRG,NI,TRAJET,Jet Fuel,,Jet Fuel -:-,Transport Aviation fuel_Kero,PJ,FX,ANNUAL,,
NRG,NI,TRAH2R,Green Hydrogen,,Green Hydrogen -:-,Transport jet Hydrogen,PJ,FX,DAYNITE,,
NRG,NI,TRAELC,Electricity,,Electricity -:-,Transport electricity,PJ,FX,DAYNITE,,ELC
NRG,NI,TRAFOL,Fuel Oil,,Fuel Oil -:-,Transport LFO,PJ,FX,ANNUAL,,
ENV,NI,TRACO2,,,-:-,Carbon dioxide from transport sector,Kt,,ANNUAL,,
