CommName,*Demand~2015,*Demand~2016,Demand~2018
ALU-PH-FURN,14.62,14.62,14.62
CNST-MoTP-Mob,0.34,0.34,0.34
CNST-MoTP-Stat,0.15,0.15,0.15
DARY-AIR,0.06,0.06,0.06
DARY-MoTP-Stat,0.04,0.04,0.04
DARY-PH-MVR_DRY,2.74,2.74,2.74
DARY-PH-MVR_PRE,0.73,0.73,0.73
DARY-PH-TVR_EVP,0.61,0.61,0.61
DARY-PH-TVR_DRY,0.59,0.59,0.59
DARY-PH-MVR_TVR,0.28,0.28,0.28
DARY-PH-MVR_Fan,15.16,15.16,15.16
DARY-PH-STM_HW,0.19,0.19,0.19
DARY-Pump,0.23,0.23,0.23
DARY-RFGR,0.27,0.27,0.27
FOOD-MoTP-Stat,0.13,0.13,0.13
FOOD-PH-DirH,0.02,0.02,0.02
FOOD-PH-OVN,0.07,0.07,0.07
FOOD-PH-STM_HW,0.34,0.34,0.34
FOOD-Pump,0.21,0.21,0.21
FOOD-RFGR,0.11,0.11,0.11
IIS-FDSTCK,0,0,0
IIS-MoTP-Stat,0,0,0
IIS-PH-FURN,0,0,0
MEAT-MoTP-Stat,0.2,0.2,0.2
MEAT-PH-STM_HW,0.81,0.81,0.81
MEAT-PH-DirH,0.33,0.01,0.01
MEAT-RFGR,0.48,0.48,0.48
METAL-MoTP-Stat,0.2,0.2,0.2
METAL-PH-FURN,0.28,0.27,0.27
METAL-RFGR,0.05,0.05,0.05
METAL-PH-DirH,0,0,0
MTHOL-FDSTCK,0,0,0
MTHOL-PH_REFRM,0,0,0
MNRL-MoTP-Stat,0,0,0
MNRL-PH-FURN,0,0,0
MNRL-PH-STM_HW,0,0,0
MNNG-MoTP-Mob,0,0,0
MNNG-MoTP-Stat,0,0,0
MNNG-PH-STM_HW,0,0,0
OTH-ELC,1.39,1.39,1.39
OTH-DSL,1.37,1.37,1.37
OTH-LPG,0.9,0.9,0.9
OTH-COA,0.34,0.34,0.34
OTH-NGA,0,0,0
OTH-PET,0.01,0.01,0.01
OTH-BGS,0.01,0.01,0.01
OTH-FOL,0,0,0
CHMCL-MoTP-Stat,0,0,0
CHMCL-PH-DirH,0,0,0
CHMCL-PH-STM_HW,0,0,0
CHMCL-PH-REFRM,0,0,0
CHMCL-PH-FURN,0,0,0
REFI-MoTP-Stat,0,0,0
REFI-PH-FURN,0,0,0
REFI-PH-STM_HW,0,0,0
UREA-FDSTCK,0,0,0
WOOD-MoTP-Stat,0.23,0.23,0.23
WOOD-PH-FURN,0,0,0
WOOD-PH-STM_HW,4.03,3.14,3.14
WOOD-Pump,0.07,0.07,0.07
WOOD-Fan,22.93,22.93,22.93
WOOD-Refin,0.11,0.11,0.11
WOOD-AIR,0.06,0.05,0.05
PLPPPR-MoTP-Stat,0,0,0
PLPPPR-PH-DirH,0,0,0
PLPPPR-PH-FURN,0,0,0
PLPPPR-PH-STM_HW,0.02,0.02,0.02
PLPPPR-Pump,0,0,0
PLPPPR-Fan,0.01,0.01,0.01
PLPPPR-Refin,0,0,0
PLPPPR-AIR,0,0,0
