TechName,Comm-IN,Comm-OUT,Start,Share-O~LO,EFF,EFF~2021,EFF~2030,EFF~2040,EFF~2050,EFF~2060,EFF~0,INVCOST,INVCOST~2021,INVCOST~2030,INVCOST~2040,INVCOST~2050,INVCOST~2060,INVCOST~0,FIXOM,FIXOM~2021,FIXOM~2030,FIXOM~2040,FIXOM~2050,FIXOM~2060,FIXOM~0,VAROM,VAROM~2021,VAROM~2030,VAROM~2040,VAROM~2050,VAROM~2060,VAROM~0,AFA,LIFE,ENV_ACT~TOTCO2,*ENV_ACT~TRACO2,NCAP_DRATE,CAP2ACT
*Technology Name,Input Commodity,Output Commodity,,,Efficiency,Efficiency,Efficiency,Efficiency,Efficiency,Efficiency,Efficiency Interpolation Rule,Investment Cost NZD/kW,Investment Cost NZD/kW,Investment Cost NZD/kW,Investment Cost NZD/kW,Investment Cost NZD/kW,Investment Cost NZD/kW,Investment Cost Interpolation rule,Fixed O&M Cost NZD/kW,Fixed O&M Cost NZD/kW,Fixed O&M Cost NZD/kW,Fixed O&M Cost NZD/kW,Fixed O&M Cost NZD/kW,Fixed O&M Cost NZD/kW,Fixed O&M Cost Interpolation Rule,Variable  O&M Cost NZD/GJ,Variable  O&M Cost NZD/GJ,Variable  O&M Cost NZD/GJ,Variable  O&M Cost NZD/GJ,Variable  O&M Cost NZD/GJ,Variable  O&M Cost NZD/GJ,Variable  O&M Cost Interpolation Rule,Annual Availability Factor,Lifetime in years,Emissions coefficient - Activity based,Emissions coefficient - Activity based,Technology-specific discount rate,Capacity to Activity
REF_ANMMNR,ANMMNR,BIG,,,0.375,0.375,0.375,0.375,0.375,0.375,3,1490,1490,1490,1490,1490,1490,,74.5,74.5,74.5,74.5,74.5,74.5,,1.639,1.639,1.639,1.639,1.639,1.639,,0.856164383561644,20,,,0.025,31.536
REF_WODWST,WODWST,BIG,,,0.6,0.6,0.63,0.66,0.69,0.69,3,1788,1788,1788,1788,1788,1788,,89.4,89.4,89.4,89.4,89.4,89.4,,2.682,2.682,2.682,2.682,2.682,2.682,,0.91324200913242,20,,,0.025,31.536
REF_AGRWST,AGRWST,BIG,,,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,3,1475.1,1445.3,1415.5,1415.5,1415.5,1415.5,,73.755,72.265,70.775,70.775,70.775,70.775,,1.639,1.639,1.639,1.639,1.639,1.639,,0.856164383561644,20,,,0.025,31.536
\I: SUP_BIGNGA,BIG,NGA,,,0.912650548719259,0.912650548719259,0.925100365812839,0.93755018290642,0.95,0.95,3,2086,1937,1788,1639,1490,1490,,104.3,96.85,89.4,81.95,74.5,74.5,,3.278,3.278,3.278,3.278,3.278,3.278,,0.970319634703196,20,-53.96,,0.025,31.536
\I:,,RESNGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\I:,,COMNGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\I:,,AGRNGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\I: CT_CWODBDS,WODWST,BDSL,,,0.7,0.7,0.7,0.7,0.7,0.7,3,3278,3278,3278,3278,3278,3278,,163.9,163.9,163.9,163.9,163.9,163.9,,0.4917,0.4917,0.4917,0.4917,0.4917,0.4917,,0.85,20,-66.2055,,0.025,31.536
CT_CWODPLT,WODWST,PLT,,,0.89,0.89,0.89,0.89,0.89,0.89,3,950,950,950,950,950,950,,72,72,72,72,72,72,,0.56,0.56,0.56,0.56,0.56,0.56,,0.8,20,,,0.025,31.536
CT_CWODETH,WODWST,BIL,,,0.59,0.59,0.59,0.59,0.59,0.59,3,2980.36831460674,2980.36831460674,2980.36831460674,2980.36831460674,2980.36831460674,2980.36831460674,,149.018415730337,149.018415730337,149.018415730337,149.018415730337,149.018415730337,149.018415730337,,0,0,0,0,0,0,,0.85,25,,,0.025,31.536
CT_COILBDS,OILWST,BDSL,,,0.85,0.85,0.85,0.85,0.85,0.85,3,1344,1344,1344,1344,1344,1344,,62,62,62,62,62,62,,1.08,1.08,1.08,1.08,1.08,1.08,,0.85,20,-66.215,,0.025,31.536
WSTWOD2WOD,WODWST,WOD,,,0.98,0.98,0.98,0.98,0.98,0.98,3,464,464,464,464,464,464,,7,7,7,7,7,7,,0.09,0.09,0.09,0.09,0.09,0.09,,,20,,,0.025,31.536
CT_CWODDID,WODWST,,2025,,0.5,0.5,0.5,0.5,0.5,0.5,3,5263,5263,5263,5263,5263,,,372.26,,,,372.26,,,0.47,,,,,,,0.85,25,-58.8421,,0.025,31.536
,,DID,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DIJ,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
