Technology,Scenario,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Land-Based Wind - Class 1 - Technology 1,Advanced,"$1,666","$1,777","$1,659","$1,544","$1,504","$1,463","$1,423","$1,382","$1,342","$1,325","$1,309","$1,292","$1,275","$1,259","$1,242","$1,226","$1,209","$1,193","$1,176","$1,159","$1,143","$1,126","$1,110","$1,093","$1,076","$1,060","$1,043","$1,027","$1,010"
Land-Based Wind - Class 1 - Technology 1,Moderate,"$1,666","$1,786","$1,676","$1,569","$1,537","$1,505","$1,472","$1,440","$1,408","$1,393","$1,379","$1,364","$1,349","$1,335","$1,320","$1,305","$1,291","$1,276","$1,261","$1,247","$1,232","$1,217","$1,203","$1,188","$1,174","$1,159","$1,144","$1,130","$1,115"
Land-Based Wind - Class 1 - Technology 1,Conservative,"$1,666","$1,810","$1,721","$1,633","$1,622","$1,611","$1,599","$1,588","$1,577","$1,566","$1,555","$1,544","$1,533","$1,522","$1,511","$1,500","$1,489","$1,478","$1,467","$1,456","$1,445","$1,434","$1,423","$1,412","$1,401","$1,390","$1,379","$1,367","$1,356"
Land-Based Wind - Class 2 - Technology 1,Advanced,"$1,666","$1,777","$1,659","$1,544","$1,504","$1,463","$1,423","$1,382","$1,342","$1,325","$1,309","$1,292","$1,275","$1,259","$1,242","$1,226","$1,209","$1,193","$1,176","$1,159","$1,143","$1,126","$1,110","$1,093","$1,076","$1,060","$1,043","$1,027","$1,010"
Land-Based Wind - Class 2 - Technology 1,Moderate,"$1,666","$1,786","$1,676","$1,569","$1,537","$1,505","$1,472","$1,440","$1,408","$1,393","$1,379","$1,364","$1,349","$1,335","$1,320","$1,305","$1,291","$1,276","$1,261","$1,247","$1,232","$1,217","$1,203","$1,188","$1,174","$1,159","$1,144","$1,130","$1,115"
Land-Based Wind - Class 2 - Technology 1,Conservative,"$1,666","$1,810","$1,721","$1,633","$1,622","$1,611","$1,599","$1,588","$1,577","$1,566","$1,555","$1,544","$1,533","$1,522","$1,511","$1,500","$1,489","$1,478","$1,467","$1,456","$1,445","$1,434","$1,423","$1,412","$1,401","$1,390","$1,379","$1,367","$1,356"
Land-Based Wind - Class 3 - Technology 1,Advanced,"$1,666","$1,777","$1,659","$1,544","$1,504","$1,463","$1,423","$1,382","$1,342","$1,325","$1,309","$1,292","$1,275","$1,259","$1,242","$1,226","$1,209","$1,193","$1,176","$1,159","$1,143","$1,126","$1,110","$1,093","$1,076","$1,060","$1,043","$1,027","$1,010"
Land-Based Wind - Class 3 - Technology 1,Moderate,"$1,666","$1,786","$1,676","$1,569","$1,537","$1,505","$1,472","$1,440","$1,408","$1,393","$1,379","$1,364","$1,349","$1,335","$1,320","$1,305","$1,291","$1,276","$1,261","$1,247","$1,232","$1,217","$1,203","$1,188","$1,174","$1,159","$1,144","$1,130","$1,115"
Land-Based Wind - Class 3 - Technology 1,Conservative,"$1,666","$1,810","$1,721","$1,633","$1,622","$1,611","$1,599","$1,588","$1,577","$1,566","$1,555","$1,544","$1,533","$1,522","$1,511","$1,500","$1,489","$1,478","$1,467","$1,456","$1,445","$1,434","$1,423","$1,412","$1,401","$1,390","$1,379","$1,367","$1,356"
Land-Based Wind - Class 4 - Technology 1,Advanced,"$1,666","$1,777","$1,659","$1,544","$1,504","$1,463","$1,423","$1,382","$1,342","$1,325","$1,309","$1,292","$1,275","$1,259","$1,242","$1,226","$1,209","$1,193","$1,176","$1,159","$1,143","$1,126","$1,110","$1,093","$1,076","$1,060","$1,043","$1,027","$1,010"
Land-Based Wind - Class 4 - Technology 1,Moderate,"$1,666","$1,786","$1,676","$1,569","$1,537","$1,505","$1,472","$1,440","$1,408","$1,393","$1,379","$1,364","$1,349","$1,335","$1,320","$1,305","$1,291","$1,276","$1,261","$1,247","$1,232","$1,217","$1,203","$1,188","$1,174","$1,159","$1,144","$1,130","$1,115"
Land-Based Wind - Class 4 - Technology 1,Conservative,"$1,666","$1,810","$1,721","$1,633","$1,622","$1,611","$1,599","$1,588","$1,577","$1,566","$1,555","$1,544","$1,533","$1,522","$1,511","$1,500","$1,489","$1,478","$1,467","$1,456","$1,445","$1,434","$1,423","$1,412","$1,401","$1,390","$1,379","$1,367","$1,356"
Land-Based Wind - Class 5 - Technology 1,Advanced,"$1,666","$1,777","$1,659","$1,544","$1,504","$1,463","$1,423","$1,382","$1,342","$1,325","$1,309","$1,292","$1,275","$1,259","$1,242","$1,226","$1,209","$1,193","$1,176","$1,159","$1,143","$1,126","$1,110","$1,093","$1,076","$1,060","$1,043","$1,027","$1,010"
