Census year,Measure,Region,Region Code,Value,Value Unit,Value Label,Null Reason
2018,Total dwelling count,Northland,Northland Region,80958,number,Number of dwellings,
2023,Total dwelling count,Northland,Northland Region,88092,number,Number of dwellings,
2018–23,Change in dwelling count,Northland,Northland Region,7134,number,Number of dwellings,
2018–23,Percentage change in dwellings,Northland,Northland Region,8.8,percentage,% change,
2018,Total dwelling count,Auckland,Auckland Region,547059,number,Number of dwellings,
2023,Total dwelling count,Auckland,Auckland Region,611895,number,Number of dwellings,
2018–23,Change in dwelling count,Auckland,Auckland Region,64836,number,Number of dwellings,
2018–23,Percentage change in dwellings,Auckland,Auckland Region,11.9,percentage,% change,
2018,Total dwelling count,Waikato,Waikato Region,198291,number,Number of dwellings,
2023,Total dwelling count,Waikato,Waikato Region,216222,number,Number of dwellings,
2018–23,Change in dwelling count,Waikato,Waikato Region,17931,number,Number of dwellings,
2018–23,Percentage change in dwellings,Waikato,Waikato Region,9,percentage,% change,
2018,Total dwelling count,Bay of Plenty,Bay of Plenty Region,127812,number,Number of dwellings,
2023,Total dwelling count,Bay of Plenty,Bay of Plenty Region,137349,number,Number of dwellings,
2018–23,Change in dwelling count,Bay of Plenty,Bay of Plenty Region,9537,number,Number of dwellings,
2018–23,Percentage change in dwellings,Bay of Plenty,Bay of Plenty Region,7.5,percentage,% change,
2018,Total dwelling count,Gisborne,Gisborne Region,18684,number,Number of dwellings,
2023,Total dwelling count,Gisborne,Gisborne Region,19509,number,Number of dwellings,
2018–23,Change in dwelling count,Gisborne,Gisborne Region,825,number,Number of dwellings,
2018–23,Percentage change in dwellings,Gisborne,Gisborne Region,4.4,percentage,% change,
2018,Total dwelling count,Hawke's Bay,Hawke's Bay Region,66990,number,Number of dwellings,
2023,Total dwelling count,Hawke's Bay,Hawke's Bay Region,71364,number,Number of dwellings,
2018–23,Change in dwelling count,Hawke's Bay,Hawke's Bay Region,4374,number,Number of dwellings,
2018–23,Percentage change in dwellings,Hawke's Bay,Hawke's Bay Region,6.5,percentage,% change,
2018,Total dwelling count,Taranaki,Taranaki Region,50004,number,Number of dwellings,
2023,Total dwelling count,Taranaki,Taranaki Region,52992,number,Number of dwellings,
2018–23,Change in dwelling count,Taranaki,Taranaki Region,2988,number,Number of dwellings,
2018–23,Percentage change in dwellings,Taranaki,Taranaki Region,6,percentage,% change,
2018,Total dwelling count,Manawatū-Whanganui,Manawatu-Wanganui Region,103317,number,Number of dwellings,
2023,Total dwelling count,Manawatū-Whanganui,Manawatu-Wanganui Region,108903,number,Number of dwellings,
2018–23,Change in dwelling count,Manawatū-Whanganui,Manawatu-Wanganui Region,5586,number,Number of dwellings,
2018–23,Percentage change in dwellings,Manawatū-Whanganui,Manawatu-Wanganui Region,5.4,percentage,% change,
2018,Total dwelling count,Wellington,Wellington Region,203019,number,Number of dwellings,
2023,Total dwelling count,Wellington,Wellington Region,215991,number,Number of dwellings,
2018–23,Change in dwelling count,Wellington,Wellington Region,12972,number,Number of dwellings,
2018–23,Percentage change in dwellings,Wellington,Wellington Region,6.4,percentage,% change,
2018,Total dwelling count,North Island,Total North Island,1396140,number,Number of dwellings,
2023,Total dwelling count,North Island,Total North Island,1522323,number,Number of dwellings,
2018–23,Change in dwelling count,North Island,Total North Island,126183,number,Number of dwellings,
2018–23,Percentage change in dwellings,North Island,Total North Island,9,percentage,% change,
2018,Total dwelling count,Tasman,Tasman Region,23733,number,Number of dwellings,
2023,Total dwelling count,Tasman,Tasman Region,26352,number,Number of dwellings,
2018–23,Change in dwelling count,Tasman,Tasman Region,2619,number,Number of dwellings,
2018–23,Percentage change in dwellings,Tasman,Tasman Region,11,percentage,% change,
2018,Total dwelling count,Nelson,Nelson Region,21534,number,Number of dwellings,
2023,Total dwelling count,Nelson,Nelson Region,22845,number,Number of dwellings,
2018–23,Change in dwelling count,Nelson,Nelson Region,1311,number,Number of dwellings,
2018–23,Percentage change in dwellings,Nelson,Nelson Region,6.1,percentage,% change,
2018,Total dwelling count,Marlborough,Marlborough Region,22719,number,Number of dwellings,
2023,Total dwelling count,Marlborough,Marlborough Region,24807,number,Number of dwellings,
2018–23,Change in dwelling count,Marlborough,Marlborough Region,2088,number,Number of dwellings,
2018–23,Percentage change in dwellings,Marlborough,Marlborough Region,9.2,percentage,% change,
2018,Total dwelling count,West Coast,West Coast Region,17547,number,Number of dwellings,
2023,Total dwelling count,West Coast,West Coast Region,18564,number,Number of dwellings,
2018–23,Change in dwelling count,West Coast,West Coast Region,1017,number,Number of dwellings,
2018–23,Percentage change in dwellings,West Coast,West Coast Region,5.8,percentage,% change,
2018,Total dwelling count,Canterbury,Canterbury Region,256158,number,Number of dwellings,
2023,Total dwelling count,Canterbury,Canterbury Region,282039,number,Number of dwellings,
2018–23,Change in dwelling count,Canterbury,Canterbury Region,25881,number,Number of dwellings,
2018–23,Percentage change in dwellings,Canterbury,Canterbury Region,10.1,percentage,% change,
2018,Total dwelling count,Otago,Otago Region,103614,number,Number of dwellings,
2023,Total dwelling count,Otago,Otago Region,112473,number,Number of dwellings,
2018–23,Change in dwelling count,Otago,Otago Region,8859,number,Number of dwellings,
2018–23,Percentage change in dwellings,Otago,Otago Region,8.6,percentage,% change,
2018,Total dwelling count,Southland,Southland Region,44691,number,Number of dwellings,
2023,Total dwelling count,Southland,Southland Region,46761,number,Number of dwellings,
2018–23,Change in dwelling count,Southland,Southland Region,2070,number,Number of dwellings,
2018–23,Percentage change in dwellings,Southland,Southland Region,4.6,percentage,% change,
2018,Total dwelling count,South Island,Total South Island,489993,number,Number of dwellings,
2023,Total dwelling count,South Island,Total South Island,533838,number,Number of dwellings,
2018–23,Change in dwelling count,South Island,Total South Island,43845,number,Number of dwellings,
2018–23,Percentage change in dwellings,South Island,Total South Island,8.9,percentage,% change,
2018,Total dwelling count,Chatham Islands,Area Outside Region,381,number,Number of dwellings,
2023,Total dwelling count,Chatham Islands,Area Outside Region,417,number,Number of dwellings,
2018–23,Change in dwelling count,Chatham Islands,Area Outside Region,36,number,Number of dwellings,
2018–23,Percentage change in dwellings,Chatham Islands,Area Outside Region,9.4,percentage,% change,
2018,Total dwelling count,New Zealand,Total New Zealand,1886517,number,Number of dwellings,
2023,Total dwelling count,New Zealand,Total New Zealand,2056578,number,Number of dwellings,
2018–23,Change in dwelling count,New Zealand,Total New Zealand,170061,number,Number of dwellings,
2018–23,Percentage change in dwellings,New Zealand,Total New Zealand,9,percentage,% change,
