ScenarioCSIRO,Hours,Year,Value,Unit,Notes
Current policies,2,2024,608,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2025,580,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2026,553,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2027,530,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2028,504,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2029,499,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2030,484,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2031,468,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2032,460,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2033,450,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2034,440,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2035,429,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2036,418,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2037,407,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2038,398,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2039,387,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2040,382,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2041,379,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2042,376,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2043,371,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2044,368,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2045,365,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2046,363,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2047,361,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2048,360,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2049,359,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2050,358,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2051,358,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2052,356,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2053,357,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2054,356,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,2,2055,356,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2024,344,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2025,333,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2026,322,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2027,314,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2028,305,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2029,302,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2030,294,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2031,285,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2032,278,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2033,271,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2034,263,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2035,256,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2036,249,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2037,242,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2038,235,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2039,228,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2040,225,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2041,223,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2042,221,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2043,219,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2044,217,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2045,216,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2046,215,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2047,214,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2048,213,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2049,213,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2050,212,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2051,212,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2052,211,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
