Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20250317193533

Parameters
Date range,01 Sep 2013 - 28 Feb 2025
Region type,Regional council
Market segment,Commercial
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/08/2013,1,Northland,All combined,Solar (All),4,0.04010,0.013,3.350,2,2.200
31/08/2013,2,Auckland,All combined,Solar (All),11,0.01901,0.123,11.180,2,11.840
31/08/2013,3,Waikato,All combined,Solar (All),8,0.03632,0.047,5.863,2,4.050
31/08/2013,4,Bay of Plenty,All combined,Solar (All),6,0.04676,0.037,6.167,0,
31/08/2013,5,Gisborne,All combined,Solar (All),1,0.06382,0.005,5.000,0,
31/08/2013,6,Hawke's Bay,All combined,Solar (All),2,0.03148,0.004,2.000,0,
31/08/2013,8,Manawatu-Wanganui,All combined,Solar (All),3,0.02728,0.019,6.167,1,4.000
31/08/2013,9,Wellington,All combined,Solar (All),2,0.01081,0.007,3.250,0,
31/08/2013,16,Tasman,All combined,Solar (All),2,0.11561,0.010,5.000,2,5.000
31/08/2013,17,Nelson,All combined,Solar (All),4,0.16194,0.035,8.625,4,8.625
31/08/2013,18,Marlborough,All combined,Solar (All),2,0.08375,0.012,6.000,0,
31/08/2013,12,West Coast,All combined,Solar (All),1,0.04643,0.003,3.000,0,
31/08/2013,13,Canterbury,All combined,Solar (All),14,0.06006,0.094,6.723,6,3.583
31/08/2013,14,Otago,All combined,Solar (All),5,0.04165,0.044,8.820,0,
31/08/2013,15,Southland,All combined,Solar (All),1,0.02079,0.004,4.000,1,4.000
30/09/2013,1,Northland,All combined,Solar (All),4,0.03986,0.013,3.350,0,
30/09/2013,2,Auckland,All combined,Solar (All),11,0.01879,0.121,10.998,1,0.000
30/09/2013,3,Waikato,All combined,Solar (All),7,0.03159,0.044,6.257,0,
30/09/2013,4,Bay of Plenty,All combined,Solar (All),6,0.04638,0.039,6.500,1,12.000
30/09/2013,5,Gisborne,All combined,Solar (All),1,0.06050,0.005,5.000,0,
30/09/2013,6,Hawke's Bay,All combined,Solar (All),2,0.03140,0.004,2.000,0,
30/09/2013,8,Manawatu-Wanganui,All combined,Solar (All),3,0.02710,0.019,6.167,0,
30/09/2013,9,Wellington,All combined,Solar (All),2,0.01077,0.007,3.250,0,
30/09/2013,16,Tasman,All combined,Solar (All),2,0.11581,0.010,5.000,0,
30/09/2013,17,Nelson,All combined,Solar (All),4,0.16103,0.035,8.625,0,
30/09/2013,18,Marlborough,All combined,Solar (All),2,0.08347,0.012,6.000,0,
30/09/2013,12,West Coast,All combined,Solar (All),1,0.04647,0.003,3.000,0,
30/09/2013,13,Canterbury,All combined,Solar (All),14,0.05978,0.097,6.901,0,
30/09/2013,14,Otago,All combined,Solar (All),5,0.04127,0.044,8.820,0,
30/09/2013,15,Southland,All combined,Solar (All),1,0.02076,0.004,4.000,0,
31/10/2013,1,Northland,All combined,Solar (All),4,0.03946,0.013,3.350,0,
31/10/2013,2,Auckland,All combined,Solar (All),15,0.02555,0.075,5.015,4,2.438
31/10/2013,3,Waikato,All combined,Solar (All),7,0.03153,0.044,6.257,0,
31/10/2013,4,Bay of Plenty,All combined,Solar (All),6,0.04635,0.039,6.500,0,
31/10/2013,5,Gisborne,All combined,Solar (All),1,0.06002,0.005,5.000,0,
31/10/2013,6,Hawke's Bay,All combined,Solar (All),2,0.03141,0.004,2.000,0,
31/10/2013,8,Manawatu-Wanganui,All combined,Solar (All),3,0.02710,0.019,6.167,0,
31/10/2013,9,Wellington,All combined,Solar (All),2,0.01073,0.007,3.250,0,
