Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20250317193604

Parameters
Date range,01 Sep 2013 - 28 Feb 2025
Region type,Regional council
Market segment,Industrial
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/08/2013,1,Northland,All combined,Solar (All),9,0.14968,0.037,4.067,8,3.950
31/08/2013,2,Auckland,All combined,Solar (All),6,0.04451,0.083,13.800,2,31.900
31/08/2013,3,Waikato,All combined,Solar (All),4,0.02606,0.047,11.775,3,8.833
31/08/2013,4,Bay of Plenty,All combined,Solar (All),4,0.08959,0.070,17.475,2,25.000
31/08/2013,6,Hawke's Bay,All combined,Solar (All),2,0.03693,0.030,14.950,1,20.000
31/08/2013,7,Taranaki,All combined,Solar (All),2,0.04689,0.009,4.500,2,4.500
31/08/2013,8,Manawatu-Wanganui,All combined,Solar (All),3,0.03701,0.016,5.200,1,1.000
31/08/2013,9,Wellington,All combined,Solar (All),3,0.05602,0.036,12.033,0,
31/08/2013,16,Tasman,All combined,Solar (All),1,0.04892,0.002,2.400,1,2.400
31/08/2013,17,Nelson,All combined,Solar (All),5,0.52966,0.033,6.620,3,8.867
31/08/2013,18,Marlborough,All combined,Solar (All),1,0.08643,0.050,50.000,1,50.000
31/08/2013,13,Canterbury,All combined,Solar (All),17,0.08974,0.061,3.582,10,3.750
31/08/2013,14,Otago,All combined,Solar (All),4,0.06345,0.068,17.000,1,10.000
31/08/2013,15,Southland,All combined,Solar (All),1,0.01607,0.001,1.300,0,
30/09/2013,1,Northland,All combined,Solar (All),9,0.15134,0.037,4.067,0,
30/09/2013,2,Auckland,All combined,Solar (All),9,0.06694,0.082,9.144,4,0.375
30/09/2013,3,Waikato,All combined,Solar (All),4,0.02605,0.047,11.775,0,
30/09/2013,4,Bay of Plenty,All combined,Solar (All),5,0.11163,0.080,15.980,0,
30/09/2013,6,Hawke's Bay,All combined,Solar (All),2,0.03672,0.030,14.950,0,
30/09/2013,7,Taranaki,All combined,Solar (All),2,0.04769,0.009,4.500,0,
30/09/2013,8,Manawatu-Wanganui,All combined,Solar (All),3,0.03691,0.016,5.200,0,
30/09/2013,9,Wellington,All combined,Solar (All),3,0.05616,0.036,12.033,0,
30/09/2013,16,Tasman,All combined,Solar (All),1,0.04904,0.002,2.400,0,
30/09/2013,17,Nelson,All combined,Solar (All),4,0.42194,0.028,7.025,0,
30/09/2013,18,Marlborough,All combined,Solar (All),2,0.17361,0.052,26.000,1,2.000
30/09/2013,13,Canterbury,All combined,Solar (All),19,0.10021,0.076,3.995,2,7.500
30/09/2013,14,Otago,All combined,Solar (All),4,0.06306,0.068,17.000,0,
30/09/2013,15,Southland,All combined,Solar (All),1,0.01608,0.001,1.300,0,
31/10/2013,1,Northland,All combined,Solar (All),9,0.15416,0.037,4.067,0,
31/10/2013,2,Auckland,All combined,Solar (All),10,0.07446,0.091,9.130,1,9.000
