Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20250317193423

Parameters
Date range,01 Sep 2013 - 28 Feb 2025
Region type,Regional council
Market segment,Residential
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/08/2013,1,Northland,All combined,Solar (All),61,0.08759,0.189,3.096,41,3.337
31/08/2013,2,Auckland,All combined,Solar (All),175,0.03505,0.626,3.577,56,3.885
31/08/2013,3,Waikato,All combined,Solar (All),129,0.07263,0.462,3.582,55,3.287
31/08/2013,4,Bay of Plenty,All combined,Solar (All),123,0.10637,0.545,4.429,31,3.458
31/08/2013,5,Gisborne,All combined,Solar (All),5,0.03219,0.019,3.740,0,
31/08/2013,6,Hawke's Bay,All combined,Solar (All),46,0.07061,0.169,3.665,6,3.300
31/08/2013,7,Taranaki,All combined,Solar (All),38,0.08072,0.123,3.226,12,3.183
31/08/2013,8,Manawatu-Wanganui,All combined,Solar (All),48,0.04920,0.139,2.905,16,3.744
31/08/2013,9,Wellington,All combined,Solar (All),128,0.06637,0.413,3.229,49,3.367
31/08/2013,16,Tasman,All combined,Solar (All),66,0.34250,0.282,4.277,65,4.343
31/08/2013,17,Nelson,All combined,Solar (All),56,0.27890,0.210,3.742,33,4.108
31/08/2013,18,Marlborough,All combined,Solar (All),29,0.13862,0.116,4.010,3,4.700
31/08/2013,12,West Coast,All combined,Solar (All),8,0.05423,0.022,2.725,3,1.833
31/08/2013,13,Canterbury,All combined,Solar (All),276,0.12059,0.985,3.570,95,4.001
31/08/2013,14,Otago,All combined,Solar (All),97,0.10519,0.361,3.721,3,2.767
31/08/2013,15,Southland,All combined,Solar (All),24,0.05949,0.076,3.163,6,2.250
30/09/2013,1,Northland,All combined,Solar (All),67,0.09633,0.210,3.131,6,3.483
30/09/2013,2,Auckland,All combined,Solar (All),342,0.06857,1.177,3.443,150,3.291
30/09/2013,3,Waikato,All combined,Solar (All),136,0.07666,0.481,3.540,6,2.217
30/09/2013,4,Bay of Plenty,All combined,Solar (All),130,0.11252,0.567,4.364,7,3.229
