ResidueType,TechName,Comm-OUT,Ownersfee$pergreentonne,Cost$pergreentonne,Cost$perGJ
port bark,MINWODWST06,WODWST,5.00,21.00,3.04
shelterbelt turnover residuals,MINWODWST08,WODWST,20.00,36.00,3.27
horticultural residues,MINAGRWST01,AGRWST,10.00,26.00,3.77
municipal wood wastes,MINMNCWST00,MNCWST,10.00,30.00,4.35
wood processing residues,MINWODWST05,WODWST,20.00,48.00,7.02
pulp logs,MINWODSUPCUR00,WOD,59.00,59.00,8.55
straw and stover,MINAGRWST00,AGRWST,100.00,130.00,11.82
in-forests residues landings,MINWODWST00,WODWST,25.00,85.00,12.32
douglas-fir production thinnings,MINWODSUPCUR03,WOD,65.00,93.00,13.48
in-forest residues cutover,MINWODWST01,WODWST,20.00,94.00,13.62
production thinnings,MINWODWST04,WODWST,20.00,95.00,13.77
k grade logs,MINWODSUPCUR02,WOD,95.00,95.00,13.77
waste thinnings,MINWODWST02,WODWST,20.00,105.00,15.22
sawmill chip,MINWODWST07,WODWST,80.00,108.00,15.71
a grade logs,MINWODSUPCUR01,WOD,117.00,117.00,16.96
pruning residues,MINWODWST03,WODWST,5.00,120.00,17.39
stumps,,,25.00,145.00,21.07
