,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"32,964","33,623","34,296","34,982","35,681","36,395"
Auckland,"60,492","61,702","62,936","64,195","65,478","66,788"
Waikato,"20,520","20,930","21,349","21,776","22,212","22,656"
Bay of Plenty,"65,006","66,306","67,632","68,984","70,364","71,771"
Gisborne,"60,066","61,268","62,493","63,743","65,018","66,318"
Hawkes Bay,"364,059","371,340","378,767","386,343","394,069","401,951"
Taranaki,936,955,974,993,"1,013","1,033"
Manawatu-Wanganui,"4,992","5,092","5,194","5,298","5,404","5,512"
Wellington,"9,568","9,759","9,955","10,154","10,357","10,564"
Wairarapa,"1,052","1,074","1,095","1,117","1,139","1,162"
Tasman-Nelson,"130,769","133,384","136,052","138,773","141,548","144,379"
Marlborough,"237,000","241,740","246,575","251,506","256,536","261,667"
West Coast,-,-,-,-,-,-
Canterbury,"21,936","22,375","22,822","23,279","23,744","24,219"
Otago,"108,545","110,716","112,930","115,189","117,492","119,842"
Southland,-,-,-,-,-,-
NZ Total,"1,117,905","1,140,263","1,163,068","1,186,330","1,210,056","1,234,257"
