,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053,2054-2058
Northland,"4,821,158","6,061,163","4,256,754","4,126,387","5,766,883","7,340,987","7,340,987"
Auckland,"1,825,957","2,272,651","1,600,484","1,221,984","823,707","693,650","693,650"
Waikato,"6,345,413","8,618,055","6,837,523","4,861,315","3,590,820","4,121,389","4,121,389"
Bay of Plenty,"12,661,631","19,814,917","18,118,417","16,910,617","18,125,512","18,008,152","18,008,152"
Gisborne,"7,032,433","8,528,554","4,430,928","3,551,358","3,868,550","3,831,341","3,831,341"
Hawkes Bay,"5,660,891","7,568,450","4,857,993","3,846,504","3,039,870","3,523,739","3,523,739"
Taranaki,"1,031,783","1,172,629","491,263","220,204","166,345","290,106","290,106"
Manawatu-Wanganui,"3,884,170","4,208,582","2,135,586","1,560,083","1,418,058","1,421,102","1,421,102"
Wellington,"417,530","468,887","266,215","188,798","140,118","97,244","97,244"
Wairarapa,"2,552,221","2,974,813","1,512,215","1,107,071","1,163,469","1,723,233","1,723,233"
Tasman / Nelson,"2,759,771","4,233,293","3,865,027","3,363,845","2,743,079","2,596,840","2,596,840"
Marlborough,"3,156,300","3,428,805","1,948,069","1,530,568","2,152,311","2,191,919","2,191,919"
West Coast,"129,169","293,564","333,545","251,359","197,727","223,772","223,772"
Canterbury,"2,592,406","2,544,252","1,397,621","960,211","874,769","940,246","940,246"
Otago,"2,893,341","4,155,686","2,685,165","1,796,387","1,846,043","2,547,462","2,547,462"
Southland,"1,821,132","2,328,575","1,485,632","1,027,246","989,475","1,098,380","1,098,380"
Total,"59,585,305","78,672,879","56,222,438","46,523,936","46,906,736","50,649,562","50,649,562"
