,2024-2028,2029-2033,2034-2038,2039-2043
Northland,0,0,276,0
Auckland,0,0,828,0
Waikato,"38,502","36,432","8,970",276
Bay of Plenty,"306,360","308,568","361,974","310,638"
Gisborne,"71,622","52,440",138,138
Hawkes Bay,"8,694","19,182","3,450","1,380"
Taranaki,276,0,0,0
Manawatu-Wanganui,"6,624","11,592","1,656","2,622"
Wairarapa,"4,416","4,416",552,138
Wellington,"1,104",828,138,414
Tasman-Nelson,"86,940","209,484","160,218","154,008"
Marlborough,"4,416","71,346","5,244","38,088"
West Coast,"60,858","10,074","1,104",276
Canterbury,"708,630","678,546","133,998","111,173"
Otago,"1,147,608","1,382,070","164,220","272,067"
Southland,"1,333,356","1,273,326","34,776","42,228"
NZ Total,"3,779,406","4,058,166","877,542","935,792"
