,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"1,355,528","829,376","848,038","1,175,569","1,458,204","1,257,721"
Auckland,"429,088","333,143","225,552","151,952","128,722","265,839"
Waikato,"1,342,084","1,185,014","934,628","710,166","725,240","1,097,821"
Bay of Plenty,"2,879,876","2,670,233","2,305,358","2,604,482","2,672,339","2,924,449"
Gisborne,"172,739","68,792","37,418","31,266","42,100","68,433"
Hawkes Bay,"916,083","427,630","347,850","386,254","382,665","503,393"
Taranaki,"968,829","617,341","487,151","379,119","540,018","732,213"
Manawatu-Wanganui,"827,999","370,400","247,150","208,309","209,908","358,889"
Wellington,"166,729","85,744","74,550","51,016","42,767","65,060"
Wairarapa,"652,834","329,345","214,959","235,786","291,819","420,806"
Tasman-Nelson,"236,565","208,083","206,331","167,736","155,397","196,132"
Marlborough,"272,987","121,711","96,070","135,046","145,371","129,279"
West Coast,"306,100","275,684","237,802","152,987","164,945","204,734"
Canterbury,"1,202,682","635,384","371,876","274,405","283,018","537,846"
Otago,"1,093,564","728,584","428,758","415,786","502,690","802,640"
Southland,"1,221,571","887,679","426,723","393,614","432,336","868,894"
NZ Total,"14,045,258","9,774,142","7,490,216","7,473,494","8,177,540","10,434,151"
