,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"401,260","241,917","225,468","329,907","464,408","405,730"
Auckland,"166,915","129,593","87,740","59,110","50,073","103,412"
Waikato,"490,543","427,559","334,849","263,542","266,490","394,928"
Bay of Plenty,"1,517,983","1,587,041","1,440,389","1,598,987","1,675,673","1,639,587"
Gisborne,"1,551,041","724,030","588,953","653,974","647,898","852,306"
Hawkes Bay,"955,210","614,892","537,761","411,541","594,003","759,548"
Taranaki,"239,799","92,301","51,939","43,777","57,084","86,543"
Manawatu-Wanganui,"303,683","147,247","86,608","59,485","70,181","140,283"
Wellington,"62,910","23,182","14,060","10,712","7,016","17,041"
Wairarapa,"693,729","321,990","225,161","243,821","336,401","440,952"
Tasman-Nelson,"775,780","678,208","657,217","530,555","504,825","636,101"
Marlborough,"858,364","396,340","318,972","449,798","448,410","386,484"
West Coast,"54,995","51,228","46,541","36,513","40,719","44,693"
Canterbury,"533,690","268,247","157,923","122,495","121,883","232,441"
Otago,"972,648","653,211","406,218","401,432","473,972","716,542"
Southland,"246,490","178,552","83,166","75,203","83,975","175,797"
NZ Total,"9,825,038","6,535,537","5,262,965","5,290,852","5,843,011","7,032,387"
