,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"95,360","102,121","109,362","117,116","125,420","134,313"
Auckland,"721,296","816,875","925,119","1,047,706","1,186,538","1,343,767"
Waikato,"949,426","1,024,814","1,106,188","1,194,024","1,288,834","1,391,172"
Bay of Plenty,"80,963","87,476","94,514","102,118","110,334","119,210"
Gisborne,948,"1,050","1,163","1,288","1,426","1,579"
Hawkes Bay,"95,197","98,969","102,889","106,965","111,202","115,608"
Taranaki,"76,618","78,161","79,735","81,340","82,978","84,649"
Manawatu-Wanganui,"37,203","37,802","38,410","39,029","39,657","40,296"
Wellington,"24,910","25,309","25,714","26,125","26,543","26,968"
Wairarapa,"224,237","239,906","256,669","274,604","293,792","314,321"
Tasman-Nelson,"128,742","130,349","131,976","133,624","135,292","136,981"
Marlborough,"36,291","39,522","43,040","46,872","51,045","55,590"
West Coast,"9,962","10,935","12,002","13,173","14,459","15,870"
Canterbury,"570,804","594,014","618,168","643,304","669,462","696,684"
Otago,"130,801","141,466","152,999","165,473","178,965","193,556"
Southland,"48,628","49,067","49,510","49,957","50,408","50,863"
NZ Total,"3,233,405","3,479,857","3,749,487","4,044,751","4,368,392","4,723,467"
