,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"3,922,548","2,520,567","2,676,536","3,818,958","4,886,115","5,298,301"
Auckland,"1,372,109","1,126,042","779,865","539,697","469,128","496,616"
Waikato,"6,994,906","5,452,535","4,062,514","3,682,889","4,206,145","4,895,342"
Bay of Plenty,"9,397,411","10,831,743","9,789,749","10,510,491","10,438,908","9,769,626"
Gisborne,"5,803,155","2,698,892","2,146,665","2,373,456","2,393,325","2,634,115"
Hawkes Bay,"3,838,303","2,757,849","2,207,419","1,765,320","2,059,939","2,572,331"
Taranaki,"801,853","280,257","150,299","123,423","207,982","277,275"
Manawatu-Wanganui,"2,318,116","1,070,574","660,701","538,076","566,749","626,508"
Wellington,"2,142,736","1,117,807","625,393","652,271","1,013,659","1,378,509"
Wairarapa,"413,107","176,410","114,672","90,874","63,627","39,189"
Tasman-Nelson,"2,206,230","2,110,553","2,153,431","1,876,389","1,743,552","2,039,768"
Marlborough,"2,401,772","1,161,807","1,022,577","1,419,505","1,418,899","1,021,532"
West Coast,"211,117","210,239","283,617","297,414","266,056","218,635"
Canterbury,"2,171,591","1,413,903","1,243,423","1,080,989","938,686","811,255"
Otago,"2,756,739","1,914,169","2,520,816","2,535,141","2,134,109","2,445,608"
Southland,"1,740,996","1,559,980","2,020,512","1,852,510","1,200,579","1,109,899"
NZ Total,"48,492,690","36,403,327","32,458,189","33,157,403","34,007,458","35,634,509"
