,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"715,806","715,806","715,806","715,806","715,806","715,806"
Auckland,"336,375","336,375","336,375","336,375","336,375","336,375"
Waikato,"1,796,898","1,796,898","1,796,898","1,796,898","1,796,898","1,796,898"
Bay of Plenty,"4,248,606","4,248,606","4,248,606","4,248,606","4,248,606","4,248,606"
Gisborne,"189,888","189,888","189,888","189,888","189,888","189,888"
Hawkes Bay,"2,567,352","2,567,352","2,567,352","2,567,352","2,567,352","2,567,352"
Taranaki,"201,273","201,273","201,273","201,273","201,273","201,273"
Manawatu-Wanganui,"187,473","187,473","187,473","187,473","187,473","187,473"
Wellington,,,,,,
Wairarapa,"388,815","388,815","388,815","388,815","388,815","388,815"
Tasman-Nelson,"1,296,648","1,296,648","1,296,648","1,296,648","1,296,648","1,296,648"
Marlborough,"391,851","391,851","391,851","391,851","391,851","391,851"
West Coast,"194,580","194,580","194,580","194,580","194,580","194,580"
Canterbury,"742,613","742,613","742,613","742,613","742,613","742,613"
Otago,"323,334","323,334","323,334","323,334","323,334","323,334"
Southland,"1,948,974","1,948,974","1,948,974","1,948,974","1,948,974","1,948,974"
NZ Total,"15,530,486","15,530,486","15,530,486","15,530,486","15,530,486","15,530,486"
