,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"118,497","94,679","71,658","102,940","151,556","190,624"
Auckland,"31,829","41,539","30,657","21,219","14,957","17,039"
Waikato,"169,468","185,603","128,804","117,960","107,335","143,100"
Bay of Plenty,"151,093","332,759","250,241","282,194","302,084","190,069"
Gisborne,"113,575","70,693","32,073","50,408","41,906","52,541"
Hawkes Bay,"130,654","87,437","74,676","61,345","37,819","93,734"
Taranaki,"17,414","5,928","3,641","1,676","2,614","5,858"
Manawatu-Wanganui,"55,185","28,164","14,553","13,386","12,308","14,168"
Wellington,"77,475","57,102","22,963","30,407","28,967","51,964"
Wairarapa,"13,713","6,668","7,814","5,259","3,977","3,383"
Tasman-Nelson,"25,191","32,212","33,366","32,957","21,504","30,021"
Marlborough,"64,651","30,309","24,001","23,140","44,582","24,557"
West Coast,"13,163","18,140","26,308","16,842","18,743","22,495"
Canterbury,"88,660","62,829","34,455","25,187","31,917","29,734"
Otago,"87,331","75,394","42,760","42,823","46,578","73,324"
Southland,"63,462","64,160","34,337","30,112","32,790","38,085"
NZ Total,"1,221,360","1,193,615","832,306","857,855","899,636","980,694"
