,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"59,002","59,002","59,002","59,002","59,002","59,002"
Auckland,"-752,466","-752,466","-752,466","-752,466","-752,466","-752,466"
Waikato,"392,417","392,417","392,417","392,417","392,417","392,417"
Bay of Plenty,"489,783","489,783","489,783","489,783","489,783","489,783"
Gisborne,"-45,788","-45,788","-45,788","-45,788","-45,788","-45,788"
Hawkes Bay,"1,149,678","1,149,678","1,149,678","1,149,678","1,149,678","1,149,678"
Taranaki,"30,871","30,871","30,871","30,871","30,871","30,871"
Manawatu-Wanganui,"119,888","119,888","119,888","119,888","119,888","119,888"
Wellington,0,0,0,0,0,0
Wairarapa,"-66,785","-66,785","-66,785","-66,785","-66,785","-66,785"
Tasman-Nelson,"-94,613","-94,613","-94,613","-94,613","-94,613","-94,613"
Marlborough,-490,-490,-490,-490,-490,-490
West Coast,"104,452","104,452","104,452","104,452","104,452","104,452"
Canterbury,"-12,089","-12,089","-12,089","-12,089","-12,089","-12,089"
Otago,"-13,207","-13,207","-13,207","-13,207","-13,207","-13,207"
Southland,"-284,660","-284,660","-284,660","-284,660","-284,660","-284,660"
NZ Total,"1,075,993","1,075,993","1,075,993","1,075,993","1,075,993","1,075,993"
