,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"14,490","14,490","14,490","14,490","14,490","14,490"
Auckland,"26,220","26,220","26,220","26,220","26,220","26,220"
Waikato,"62,100","62,100","62,100","62,100","62,100","62,100"
Bay of Plenty,"55,200","55,200","55,200","55,200","55,200","55,200"
Gisborne,"2,760","2,760","2,760","2,760","2,760","2,760"
Hawkes Bay,"35,880","35,880","35,880","35,880","35,880","35,880"
Taranaki,"13,110","13,110","13,110","13,110","13,110","13,110"
Manawatu-Wanganui,"45,540","45,540","45,540","45,540","45,540","45,540"
Wellington,"1,380","1,380","1,380","1,380","1,380","1,380"
Wairarapa,"27,600","27,600","27,600","27,600","27,600","27,600"
Tasman-Nelson,"4,830","4,830","4,830","4,830","4,830","4,830"
Marlborough,"16,560","16,560","16,560","16,560","16,560","16,560"
West Coast,"3,450","3,450","3,450","3,450","3,450","3,450"
Canterbury,"255,990","255,990","255,990","255,990","255,990","255,990"
Otago,"62,100","62,100","62,100","62,100","62,100","62,100"
Southland,"79,350","79,350","79,350","79,350","79,350","79,350"
NZ Total,"706,560","706,560","706,560","706,560","706,560","706,560"
