,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"3,325,807","2,079,519","2,144,120","3,033,060","3,877,059","3,293,522"
Auckland,"1,144,847","913,152","625,238","426,940","366,446","734,596"
Waikato,"3,793,875","3,363,644","2,550,955","1,944,186","2,132,532","3,179,271"
Bay of Plenty,"8,993,539","9,019,912","8,005,174","8,910,343","9,065,232","9,535,638"
Gisborne,"4,045,042","1,872,378","1,485,037","1,634,623","1,647,328","2,187,328"
Hawkes Bay,"3,406,614","2,145,662","1,768,579","1,503,923","1,800,643","2,394,198"
Taranaki,"1,529,369","821,745","599,209","472,265","680,295","947,826"
Manawatu-Wanganui,"2,034,502","933,509","579,044","466,942","481,841","879,890"
Wellington,"394,882","179,490","134,479","98,078","75,234","133,371"
Wairarapa,"2,458,671","1,203,637","809,561","883,051","1,181,557","1,613,956"
Tasman-Nelson,"1,894,837","1,730,513","1,724,921","1,448,847","1,357,643","1,684,125"
Marlborough,"2,092,060","982,774","824,073","1,152,646","1,161,341","980,309"
West Coast,"445,541","411,008","397,790","308,466","312,086","320,074"
Canterbury,"2,605,008","1,469,192","1,027,168","829,296","780,375","1,219,902"
Otago,"3,168,908","2,147,463","1,843,302","1,831,275","1,830,306","2,415,179"
Southland,"2,164,459","1,690,222","1,318,094","1,209,821","996,543","1,565,210"
NZ Total,"43,497,961","30,963,822","25,836,745","26,153,760","27,746,460","33,084,393"
