,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"392,255","252,057","267,654","381,896","488,611","529,830"
Auckland,"137,211","112,604","77,986","53,970","46,913","49,662"
Waikato,-,-,-,-,-,-
Bay of Plenty,-,-,-,-,-,-
Gisborne,"1,414,109","4,063,739","2,029,334","2,164,214","2,656,200","2,171,352"
Hawkes Bay,-,-,-,-,-,-
Taranaki,"760,782","455,579","205,132","126,008","152,057","181,400"
Manawatu-Wanganui,"1,913,841","1,390,414","496,040","360,767","430,927","395,233"
Wellington,"1,811,028","1,278,083","642,221","524,891","919,115","1,193,537"
Wairarapa,"372,609","183,616","132,948","101,027","82,369","62,537"
Tasman-Nelson,-,-,-,-,-,-
Marlborough,"1,854,555","1,204,059",-,-,-,-
West Coast,"217,955","181,535",-,-,-,-
Canterbury,"2,091,783","1,643,537",-,-,-,-
Otago,"2,576,976","2,203,164","2,126,735","2,569,450","2,327,306","1,917,381"
Southland,-,-,-,-,-,-
NZ Total,"17,684,389","12,968,387","5,978,050","6,282,223","7,103,498","6,500,931"
