,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"580,151","354,964","362,951","503,131","624,096","667,243"
Auckland,"183,645","142,581","96,534","65,034","55,092","57,786"
Waikato,"574,398","507,173","400,011","303,943","310,395","369,157"
Bay of Plenty,"1,232,556","1,142,831","986,668","1,114,690","1,143,732","1,124,512"
Gisborne,"392,074","183,021","148,876","165,312","163,776","179,766"
Hawkes Bay,"414,648","264,215","208,495","162,259","231,122","326,522"
Taranaki,"73,930","29,442","16,014","13,381","18,018","20,498"
Manawatu-Wanganui,"331,707","149,545","103,074","87,340","88,148","100,672"
Wairarapa,"215,489","116,386","62,370","65,639","91,109","117,333"
Wellington,"59,977","26,134","15,784","12,563","8,866","5,222"
Tasman / Nelson,"101,247","89,057","88,308","71,789","66,508","77,912"
Marlborough,"116,835","52,091","41,117","57,798","62,217","48,775"
West Coast,"131,007","117,990","101,777","65,477","70,595","76,529"
Canterbury,"514,735","271,937","159,159","117,442","121,128","121,100"
Otago,"468,034","311,826","183,504","177,952","215,146","252,393"
Southland,"522,819","379,917","182,633","168,463","185,035","191,166"
Total volume,"5,913,253","4,139,111","3,157,274","3,152,214","3,454,983","3,736,587"
