STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_012,Area,CEN23_HED_003,Main types of heating used,CEN23_DTD_004,Private dwelling type,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,01,Northland Region,0,No heating used,10,,0,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,01,Northland Region,0,No heating used,11,,2865,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,01,Northland Region,0,No heating used,12,,594,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,01,Northland Region,0,No heating used,13,,276,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,01,Northland Region,0,No heating used,999,,3738,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,01,Northland Region,1,Heat pump,10,,0,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,01,Northland Region,1,Heat pump,11,,15969,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,01,Northland Region,1,Heat pump,12,,1647,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,01,Northland Region,1,Heat pump,13,,63,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,01,Northland Region,1,Heat pump,999,,17679,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,01,Northland Region,2,Electric heater,10,,0,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,01,Northland Region,2,Electric heater,11,,18297,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,01,Northland Region,2,Electric heater,12,,2475,,,
