STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_008,Area,CEN23_DTD_003,Dwelling type,CEN23_ETH_002,Ethnicity,CEN23_AGE_003,Age,CEN23_GEN_002,Gender,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,01,Northland Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,12519,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,01,Northland Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,120588,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,01,Northland Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,9105,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,01,Northland Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,1587,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,02,Auckland Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,84834,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,02,Auckland Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,1031646,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,02,Auckland Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,240270,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,02,Auckland Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,3768,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,03,Waikato Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,20175,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,03,Waikato Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,332544,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,03,Waikato Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,29595,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,03,Waikato Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,1629,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,04,Bay of Plenty Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,16323,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,04,Bay of Plenty Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,212064,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,04,Bay of Plenty Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,25473,,,
