"Price Index all groups of capital goods (Base: September quarter 2022 = 1000) (Qrtly-Mar/Jun/Sep/Dec)",""
"","All Groups"
"1989Q4",456.670842
"1990Q1",458.954197
"1990Q2",466.717601
"1990Q3",462.607563
"1990Q4",467.174272
"1991Q1",471.284309
"1991Q2",474.024334
"1991Q3",474.937676
"1991Q4",478.134372
"1992Q1",483.157751
"1992Q2",485.897776
"1992Q3",490.007814
"1992Q4",491.834497
"1993Q1",494.117851
"1993Q2",496.857876
"1993Q3",500.511243
"1993Q4",504.621280
"1994Q1",505.534622
"1994Q2",506.904635
"1994Q3",508.274648
"1994Q4",511.928014
"1995Q1",514.211369
"1995Q2",514.211369
"1995Q3",516.038052
"1995Q4",518.778077
"1996Q1",518.778077
"1996Q2",518.321406
"1996Q3",517.408064
"1996Q4",516.951393
"1997Q1",514.211369
"1997Q2",511.928014
"1997Q3",511.471343
"1997Q4",513.298027
"1998Q1",511.928014
"1998Q2",511.928014
"1998Q3",511.928014
"1998Q4",512.841356
"1999Q1",512.384685
"1999Q2",512.841356
"1999Q3",514.668039
"1999Q4",517.756047
"2000Q1",521.873392
"2000Q2",524.961400
"2000Q3",530.622748
"2000Q4",542.460113
"2001Q1",542.974781
"2001Q2",545.033453
"2001Q3",546.577458
"2001Q4",549.150798
"2002Q1",551.724138
"2002Q2",552.753474
"2002Q3",553.268142
"2002Q4",554.297478
"2003Q1",553.782810
"2003Q2",556.356150
"2003Q3",557.900154
"2003Q4",563.046835
"2004Q1",567.678847
"2004Q2",576.942872
"2004Q3",580.545548
"2004Q4",585.177560
"2005Q1",588.265569
"2005Q2",593.926917
"2005Q3",598.044262
"2005Q4",602.161606
"2006Q1",606.793618
"2006Q2",614.513639
"2006Q3",621.718991
"2006Q4",626.865672
"2007Q1",628.924344
"2007Q2",631.497684
"2007Q3",636.129696
"2007Q4",641.276377
"2008Q1",644.364385
"2008Q2",651.055070
"2008Q3",660.319094
"2008Q4",667.524447
"2009Q1",675.759135
"2009Q2",677.817808
"2009Q3",675.244467
"2009Q4",673.700463
"2010Q1",673.185795
"2010Q2",673.700463
"2010Q3",676.273803
"2010Q4",671.641791
"2011Q1",672.671127
"2011Q2",676.273803
"2011Q3",676.273803
"2011Q4",678.847144
"2012Q1",678.847144
"2012Q2",682.964488
"2012Q3",685.023160
"2012Q4",685.023160
"2013Q1",684.508492
"2013Q2",688.111168
"2013Q3",691.199176
"2013Q4",694.801853
"2014Q1",698.919197
"2014Q2",703.551210
"2014Q3",707.153886
"2014Q4",714.359238
"2015Q1",718.476583
"2015Q2",722.593927
"2015Q3",732.372620
"2015Q4",737.004632
"2016Q1",740.607308
"2016Q2",747.297993
"2016Q3",753.474009
"2016Q4",761.708698
"2017Q1",764.796706
"2017Q2",771.487391
"2017Q3",775.604735
"2017Q4",781.780751
"2018Q1",784.354092
"2018Q2",790.530108
"2018Q3",799.794133
"2018Q4",803.396809
"2019Q1",807.514153
"2019Q2",814.719506
"2019Q3",821.410190
"2019Q4",825.527535
"2020Q1",830.674215
"2020Q2",833.247555
"2020Q3",835.820896
"2020Q4",840.967576
"2021Q1",846.114256
"2021Q2",870.818322
"2021Q3",892.434380
"2021Q4",918.682450
"2022Q1",944.415852
"2022Q2",979.413278
"2022Q3",1000.000000
"2022Q4",1021.000000
"2023Q1",1031.000000
"2023Q2",1042.000000
"2023Q3",1050.000000
"2023Q4",1059.000000
"2024Q1",1064.000000
"2024Q2",1071.000000
"2024Q3",1072.000000
"2024Q4",1076.000000
"2025Q1",1081.000000
"Table information:"
"Units:"
"Index, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"CEP010AA"
""
"Last updated:"
"19 May 2025 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
