techname,sets,tact,tcap
ADCF-IRG-Irg-ELC,DMD,PJ,GW
ADCF-IRG-IrgVSD-ELC,DMD,PJ,GW
ADCF-LT-LT-ELC,DMD,PJ,GW
ADCF-MoTP-Mob-Bike-ELC,DMD,PJ,GW
ADCF-MoTP-Mob-Bike-PET,DMD,PJ,GW
ADCF-MoTP-Mob-MTr-DSL,DMD,PJ,GW
ADCF-MoTP-Mob-MTr-ELC,DMD,PJ,GW
ADCF-MoTP-Mob-MTr-H2R,DMD,PJ,GW
ADCF-MoTP-Mob-Trac-DSL,DMD,PJ,GW
ADCF-MoTP-Mob-Trac-ELC,DMD,PJ,GW
ADCF-MoTP-Mob-Trac-H2R,DMD,PJ,GW
ADCF-MoTP-Mob-Uti-DSL,DMD,PJ,GW
ADCF-MoTP-Mob-Uti-ELC,DMD,PJ,GW
ADCF-MoTP-Mob-Uti-H2R,DMD,PJ,GW
ADCF-MoTP-Stat-VPVSD-ELC,DMD,PJ,GW
ADCF-MoTP-Stat-VacP-ELC,DMD,PJ,GW
ADCF-PUMP-Pump-ELC,DMD,PJ,GW
ADCF-RFGR-HRECSys-ELC,DMD,PJ,GW
ADCF-RFGR-RF-ELC,DMD,PJ,GW
ADCF-WH-Cylinder-ELC,DMD,PJ,GW
ADCF-WH-Hreco-ELC,DMD,PJ,GW
AFISH-LT-LT-ELC,DMD,PJ,GW
AFISH-MoTP-Mob-Boat-DSL,DMD,PJ,GW
AFISH-MoTP-Mob-Boat-PET,DMD,PJ,GW
AFISH-MoTP-Stat-Motor-ELC,DMD,PJ,GW
AFISH-OTH-ELEC-ELC,DMD,PJ,GW
AFISH-RFGR-RF-ELC,DMD,PJ,GW
AFORE-LT-LT-ELC,DMD,PJ,GW
AFORE-MoTP-Mob-Bike-ELC,DMD,PJ,GW
AFORE-MoTP-Mob-Bike-PET,DMD,PJ,GW
AFORE-MoTP-Mob-CY-DSL,DMD,PJ,GW
AFORE-MoTP-Mob-CY-ELC,DMD,PJ,GW
AFORE-MoTP-Mob-CY-H2R,DMD,PJ,GW
AFORE-MoTP-Mob-GB-DSL,DMD,PJ,GW
AFORE-MoTP-Mob-GB-ELC,DMD,PJ,GW
AFORE-MoTP-Mob-GB-H2R,DMD,PJ,GW
AFORE-MoTP-Stat-Engin-DSL,DMD,PJ,GW
AFORE-MoTP-Stat-Engin-PET,DMD,PJ,GW
AFORE-MoTP-Stat-Motor-ELC,DMD,PJ,GW
AFORE-OTH-ELEC-ELC,DMD,PJ,GW
AFORE-PH-Boiler-NGA,DMD,PJ,GW
AHORT-IRG-Irg-ELC,DMD,PJ,GW
AHORT-IRG-IrgVSD-ELC,DMD,PJ,GW
AHORT-LT-LT-ELC,DMD,PJ,GW
AHORT-MoTP-Mob-MTr-DSL,DMD,PJ,GW
AHORT-MoTP-Mob-MTr-ELC,DMD,PJ,GW
AHORT-MoTP-Mob-MTr-H2R,DMD,PJ,GW
AHORT-MoTP-Mob-Trac-DSL,DMD,PJ,GW
AHORT-MoTP-Mob-Trac-ELC,DMD,PJ,GW
AHORT-MoTP-Mob-Trac-H2R,DMD,PJ,GW
AHORT-MoTP-Mob-Uti-DSL,DMD,PJ,GW
AHORT-MoTP-Mob-Uti-ELC,DMD,PJ,GW
AHORT-MoTP-Mob-Uti-H2R,DMD,PJ,GW
AHORT-MoTP-Stat-Engin-DSL,DMD,PJ,GW
AHORT-MoTP-Stat-Motor-ELC,DMD,PJ,GW
AINDC-LT-LT-ELC,DMD,PJ,GW
AINDC-MoTP-Stat-Motor-ELC,DMD,PJ,GW
AINDC-SH-Boiler-COA,DMD,PJ,GW
AINDC-SH-Boiler-DSL,DMD,PJ,GW
AINDC-SH-Boiler-ELC,DMD,PJ,GW
AINDC-SH-Boiler-H2R,DMD,PJ,GW
AINDC-SH-Boiler-NGA,DMD,PJ,GW
AINDC-SH-Boiler-WOD,DMD,PJ,GW
AINDC-SH-HEATX-GEO,DMD,PJ,GW
AINDC-SH-HP-ELC,DMD,PJ,GW
ALIVE-IRG-Irg-ELC,DMD,PJ,GW
ALIVE-IRG-IrgVSD-ELC,DMD,PJ,GW
ALIVE-LT-LT-ELC,DMD,PJ,GW
ALIVE-MoTP-Mob-Bike-ELC,DMD,PJ,GW
ALIVE-MoTP-Mob-Bike-PET,DMD,PJ,GW
ALIVE-MoTP-Mob-MTr-DSL,DMD,PJ,GW
ALIVE-MoTP-Mob-MTr-ELC,DMD,PJ,GW
ALIVE-MoTP-Mob-MTr-H2R,DMD,PJ,GW
ALIVE-MoTP-Mob-Trac-DSL,DMD,PJ,GW
ALIVE-MoTP-Mob-Trac-ELC,DMD,PJ,GW
