Imported,Process,Renewable,FuelGroup,FuelDetail,SectorGroup,Sector,TechnologyGroup,Technology,EnduseGroup,EndUse,Note
Domestic production,MINNGA-KAP,Non-renewable,Natural gas,Natural gas fields (Kapuni),Fugitive emissions,Natural gas fugitive emissions,Domestic gas fields,Gas fields (Kapuni),Gas Production,Gas Production,Add demand categories if needed for emissions charts
Domestic production,MINNGA-OTH,Non-renewable,Natural gas,Natural gas fields (Other),Fugitive emissions,Natural gas fugitive emissions,Domestic gas fields,Gas fields (except Kapuni),Gas Production,Gas Production,Add demand categories if needed for emissions charts
Domestic production,MINCOA,Non-renewable,Coal,Domestic coal production,,,,,,,
Imports,IMPCOA,Non-renewable,Coal,Imported coal,,,,,,,
Imports,IMPDSL,Non-renewable,Oil products,Diesel,,,,,,,
Imports,IMPFOL,Non-renewable,Oil products,Fuel oil ,,,,,,,
Imports,IMPLPG,Non-renewable,Oil products,LPG,,,,,,,
Imports,IMPLNG,Non-renewable,Natural gas,LNG,,,,,,,
Imports,IMPPET,Non-renewable,Oil products,Petrol,,,,,,,
Imports,IMPJET,Non-renewable,Oil products,Jet Fuel,,,,,,,
Imports,IMPSAF,Renewable,Biofuels,SAF,,,,,,,
Domestic production,REF_ANDGST,Renewable,Biogas,Biogas,,,,,,,
Domestic production,MINWODSUPCUR00,Renewable,Woody biomass,Pulp logs,,,,,,,
Domestic production,MINWODSUPCUR01,Renewable,Woody biomass,A-grade logs,,,,,,,
Domestic production,MINWODSUPCUR02,Renewable,Woody biomass,K-grade logs,,,,,,,
Domestic production,MINWODSUPCUR03,Renewable,Woody biomass,Douglas-fir production thinnings,,,,,,,
Domestic production,WSTWOD2WOD,Renewable,Woody biomass,Woodwaste,,,,,,,
Domestic production,MINWODSUPOSWOD,Renewable,Woody biomass,Onsite wood use,,,,,,,
Domestic production,FTE_ELCHYD,Renewable,Hydro,Hydro,,,,,,,Required here to flow through to primary energy chart
Domestic production,FTE_ELCGEO,Renewable,Geothermal,Geothermal,,,,,,,Required here to flow through to primary energy chart
Domestic production,FTE_ELCSOL,Renewable,Solar,Solar,,,,,,,Required here to flow through to primary energy chart
Domestic production,FTE_ELCWIN,Renewable,Wind,Wind,,,,,,,Required here to flow through to primary energy chart
Domestic production,H2_ALK,Renewable,Hydrogen,Alkaline Electrolysis,,,,,,,
Domestic production,H2_PEM,Renewable,Hydrogen,PEM Electrolysis,,,,,,,
