Season,Day Type,Time of Day,Onshore,Offshore
Autumn,Weekend,Day,34.2%,44.9%
Autumn,Weekend,Night,32.6%,42.9%
Autumn,Weekend,Peak,35.8%,47.1%
Autumn,Weekday,Day,33.9%,44.6%
Autumn,Weekday,Night,33.8%,44.5%
Autumn,Weekday,Peak,34.9%,45.9%
Spring,Weekend,Day,43.3%,57.0%
Spring,Weekend,Night,41.1%,54.1%
Spring,Weekend,Peak,43.8%,57.6%
Spring,Weekday,Day,44.6%,58.7%
Spring,Weekday,Night,43.0%,56.5%
Spring,Weekday,Peak,47.2%,62.0%
Summer,Weekend,Day,37.9%,49.9%
Summer,Weekend,Night,35.8%,47.2%
Summer,Weekend,Peak,42.0%,55.3%
Summer,Weekday,Day,36.9%,48.5%
Summer,Weekday,Night,35.8%,47.2%
Summer,Weekday,Peak,39.8%,52.3%
Winter,Weekend,Day,39.2%,51.6%
Winter,Weekend,Night,37.0%,48.7%
Winter,Weekend,Peak,38.2%,50.3%
Winter,Weekday,Day,38.5%,50.6%
Winter,Weekday,Night,38.0%,50.0%
Winter,Weekday,Peak,38.7%,50.9%
,,,,
,,,,
