Season,Day Type,Time of Day,North Island,South Island
Autumn,Weekend,Day,39.5%,35.3%
Autumn,Weekend,Night,0.1%,0.3%
Autumn,Weekend,Peak,12.5%,11.7%
Autumn,Weekday,Day,38.4%,34.0%
Autumn,Weekday,Night,0.1%,0.3%
Autumn,Weekday,Peak,10.5%,11.4%
Spring,Weekend,Day,43.9%,47.2%
Spring,Weekend,Night,0.2%,0.6%
Spring,Weekend,Peak,19.3%,27.1%
Spring,Weekday,Day,45.1%,42.9%
Spring,Weekday,Night,0.3%,0.7%
Spring,Weekday,Peak,19.6%,22.9%
Summer,Weekend,Day,51.1%,50.3%
Summer,Weekend,Night,1.4%,2.4%
Summer,Weekend,Peak,40.4%,45.1%
Summer,Weekday,Day,48.2%,46.7%
Summer,Weekday,Night,1.3%,2.1%
Summer,Weekday,Peak,38.2%,39.7%
Winter,Weekend,Day,29.4%,24.8%
Winter,Weekend,Night,0.0%,0.0%
Winter,Weekend,Peak,0.0%,0.0%
Winter,Weekday,Day,29.7%,26.2%
Winter,Weekday,Night,0.0%,0.0%
Winter,Weekday,Peak,0.0%,0.0%
**Annual**,,,**19.5%**,**18.6%**
