Period,Unit,Value,Scenario
2020,TWh,43.175064,EDGS Reference
2021,TWh,43.275224,EDGS Reference
2022,TWh,43.483343,EDGS Reference
2023,TWh,43.483883,EDGS Reference
2024,TWh,43.827977,EDGS Reference
2025,TWh,44.807925,EDGS Reference
2026,TWh,45.690218,EDGS Reference
2027,TWh,47.072108,EDGS Reference
2028,TWh,47.718797,EDGS Reference
2029,TWh,48.9481,EDGS Reference
2030,TWh,49.701807,EDGS Reference
2031,TWh,50.608218,EDGS Reference
2032,TWh,51.476489,EDGS Reference
2033,TWh,52.353219,EDGS Reference
2034,TWh,53.304734,EDGS Reference
2035,TWh,54.371866,EDGS Reference
2036,TWh,55.503991,EDGS Reference
2037,TWh,56.68012,EDGS Reference
2038,TWh,57.880384,EDGS Reference
2039,TWh,59.074664,EDGS Reference
2040,TWh,60.258669,EDGS Reference
2041,TWh,61.334171,EDGS Reference
2042,TWh,62.259921,EDGS Reference
2043,TWh,63.073392,EDGS Reference
2044,TWh,63.758254,EDGS Reference
2045,TWh,64.390061,EDGS Reference
2046,TWh,64.975764,EDGS Reference
2047,TWh,65.540734,EDGS Reference
2048,TWh,66.080143,EDGS Reference
2049,TWh,66.49646,EDGS Reference
2050,TWh,66.902243,EDGS Reference
2020,TWh,43.17506512,ERP2
2021,TWh,43.27334646,ERP2
2022,TWh,43.47974879,ERP2
2023,TWh,43.54699073,ERP2
2024,TWh,44.53714975,ERP2
2025,TWh,45.09223377,ERP2
2026,TWh,45.37823105,ERP2
2027,TWh,46.12572111,ERP2
2028,TWh,46.61165744,ERP2
2029,TWh,47.3352344,ERP2
2030,TWh,47.4986343,ERP2
2031,TWh,47.9121264,ERP2
2032,TWh,48.33192056,ERP2
2033,TWh,48.78787646,ERP2
2034,TWh,49.29043325,ERP2
2035,TWh,49.79423152,ERP2
2036,TWh,50.37152829,ERP2
2037,TWh,51.07160202,ERP2
2038,TWh,51.68256945,ERP2
2039,TWh,52.38533505,ERP2
2040,TWh,53.07075113,ERP2
2041,TWh,53.78363569,ERP2
2042,TWh,54.50971092,ERP2
2043,TWh,55.13554359,ERP2
2044,TWh,55.74803019,ERP2
2045,TWh,56.41751616,ERP2
2046,TWh,56.92039125,ERP2
2047,TWh,57.55336528,ERP2
2048,TWh,58.15367906,ERP2
2049,TWh,58.60860126,ERP2
2050,TWh,59.11932362,ERP2
2020,TWh,43.175064,EDGS Growth
2021,TWh,43.275224,EDGS Growth
2022,TWh,43.483343,EDGS Growth
2023,TWh,43.483883,EDGS Growth
2024,TWh,43.777509,EDGS Growth
2025,TWh,44.848752,EDGS Growth
2026,TWh,47.065013,EDGS Growth
2027,TWh,48.278816,EDGS Growth
2028,TWh,49.213435,EDGS Growth
2029,TWh,50.722841,EDGS Growth
2030,TWh,51.852401,EDGS Growth
2031,TWh,53.21093,EDGS Growth
2032,TWh,54.574326,EDGS Growth
2033,TWh,55.954559,EDGS Growth
2034,TWh,57.454727,EDGS Growth
2035,TWh,58.99484,EDGS Growth
2036,TWh,60.545941,EDGS Growth
2037,TWh,62.175889,EDGS Growth
2038,TWh,63.840785,EDGS Growth
2039,TWh,65.494142,EDGS Growth
2040,TWh,67.090027,EDGS Growth
2041,TWh,68.588393,EDGS Growth
2042,TWh,69.883817,EDGS Growth
2043,TWh,71.049944,EDGS Growth
2044,TWh,72.088389,EDGS Growth
2045,TWh,73.084593,EDGS Growth
2046,TWh,74.017323,EDGS Growth
2047,TWh,74.905658,EDGS Growth
2048,TWh,75.773842,EDGS Growth
2049,TWh,76.537787,EDGS Growth
2050,TWh,77.298214,EDGS Growth
