commname,csets,unit
ELCHYD,NRG,PJ
ELCNGA,NRG,PJ
ELCWIN,NRG,PJ
ELCGEO,NRG,PJ
ELCDSL,NRG,PJ
ELCCOA,NRG,PJ
ELCWOD,NRG,PJ
ELCSOL,NRG,PJ
ELCBIG,NRG,PJ
ELC,NRG,PJ
ELCCO2,ENV,kt
ELCHV,NRG,PJ
ELCDD,NRG,PJ
COMELC,NRG,PJ
COMDSL,NRG,PJ
COMPET,NRG,PJ
COMCOA,NRG,PJ
COMNGA,NRG,PJ
COMWOD,NRG,PJ
COMGEO,NRG,PJ
COMBIG,NRG,PJ
COMLPG,NRG,PJ
COMCO2,ENV,Kt
C_DATA-LT,DEM,PJ
C_DATA-OTH,DEM,PJ
C_DATA-SC,DEM,PJ
C_EDU-LT,DEM,PJ
C_EDU-MPM,DEM,PJ
C_EDU-MPS,DEM,PJ
C_EDU-OTH,DEM,PJ
C_EDU-RF,DEM,PJ
C_EDU-SC,DEM,PJ
C_EDU-SH,DEM,PJ
C_EDU-WH,DEM,PJ
C_HLTH-LT,DEM,PJ
C_HLTH-MPM,DEM,PJ
C_HLTH-MPS,DEM,PJ
C_HLTH-OTH,DEM,PJ
C_HLTH-PH,DEM,PJ
C_HLTH-RF,DEM,PJ
C_HLTH-SC,DEM,PJ
C_HLTH-SH,DEM,PJ
C_HLTH-WH,DEM,PJ
C_OFFC-LT,DEM,PJ
C_OFFC-MPM,DEM,PJ
C_OFFC-MPS,DEM,PJ
C_OFFC-OTH,DEM,PJ
C_OFFC-SC,DEM,PJ
C_OFFC-SH,DEM,PJ
C_OFFC-WH,DEM,PJ
C_OTH-LT,DEM,PJ
C_OTH-MPM,DEM,PJ
C_OTH-MPS,DEM,PJ
C_OTH-OTH,DEM,PJ
C_OTH-PH,DEM,PJ
C_OTH-PUMP,DEM,PJ
C_OTH-SC,DEM,PJ
C_OTH-SH,DEM,PJ
C_OTH-WH,DEM,PJ
C_WSR-CK,DEM,PJ
C_WSR-LT,DEM,PJ
C_WSR-MPM,DEM,PJ
C_WSR-MPS,DEM,PJ
C_WSR-OTH,DEM,PJ
C_WSR-RF,DEM,PJ
C_WSR-SC,DEM,PJ
C_WSR-SH,DEM,PJ
C_WSR-WH,DEM,PJ
DD-S_HEAT,DEM,PJ
DD-MTV_MOB,DEM,PJ
DD-C_DRY,DEM,PJ
DD-CH_INT,DEM,PJ
DD-C_WASH,DEM,PJ
DD-D_WASH,DEM,PJ
DD-FRIDG,DEM,PJ
DD-S_COOL,DEM,PJ
DD-WH_LOW,DEM,PJ
DD-ELCTR,DEM,PJ
DD-LIGHT,DEM,PJ
JD-MTV_MOB,DEM,PJ
JD-C_DRY,DEM,PJ
JD-CH_INT,DEM,PJ
JD-C_WASH,DEM,PJ
JD-D_WASH,DEM,PJ
JD-FRIDG,DEM,PJ
JD-S_COOL,DEM,PJ
JD-WH_LOW,DEM,PJ
JD-ELCTR,DEM,PJ
JD-LIGHT,DEM,PJ
RESCOA,NRG,PJ
RESDSL,NRG,PJ
RESELC,NRG,PJ
RESLPG,NRG,PJ
RESNGA,NRG,PJ
RESPET,NRG,PJ
RESWOD,NRG,PJ
RESCO2,ENV,kt
AGRELC,NRG,PJ
AGRPET,NRG,PJ
AGRDSL,NRG,PJ
AGRNGA,NRG,PJ
AGRCOA,NRG,PJ
AGRGEO,NRG,PJ
AGRLPG,NRG,PJ
AGRCO2,ENV,Kt
ADCF-IRG,DEM,PJ
ADCF-LT,DEM,PJ
ADCF-MoTP-Mob,DEM,PJ
ADCF-MoTP-Stat,DEM,PJ
ADCF-PUMP,DEM,PJ
ADCF-RFGR,DEM,PJ
ADCF-WH,DEM,PJ
AFISH-LT,DEM,PJ
AFISH-MoTP-Mob,DEM,PJ
AFISH-MoTP-Stat,DEM,PJ
AFISH-OTH,DEM,PJ
AFISH-RFGR,DEM,PJ
AFORE-LT,DEM,PJ
AFORE-MoTP-Mob,DEM,PJ
AFORE-MoTP-Stat,DEM,PJ
AFORE-OTH,DEM,PJ
AFORE-PH,DEM,PJ
AHORT-IRG,DEM,PJ
AHORT-LT,DEM,PJ
AHORT-MoTP-Mob,DEM,PJ
AHORT-MoTP-Stat,DEM,PJ
AINDC-LT,DEM,PJ
AINDC-MoTP-Stat,DEM,PJ
AINDC-SH,DEM,PJ
ALIVE-IRG,DEM,PJ
ALIVE-LT,DEM,PJ
ALIVE-MoTP-Mob,DEM,PJ
AOTH-MoTP-Stat,DEM,PJ
AOTH-PH,DEM,PJ
AOTH-SH,DEM,PJ
NGA,NRG,PJ
GASCO2,ENV,kt
LNG,NRG,PJ
OILI,NRG,PJ
LPG,NRG,PJ
PET,NRG,PJ
DSL,NRG,PJ
FOL,NRG,PJ
JET,NRG,PJ
COA,NRG,PJ
TOTCO2,ENV,kt
DID,NRG,PJ
BDSL,NRG,PJ
DIJ,NRG,PJ
ALUM-FURNC-PH_HIGH,DEM,PJ
CHEM-ELCTR-ELCTR,DEM,PJ
CHEM-HEATR-PH_INT,DEM,PJ
CHEM-SH_LOW,DEM,PJ
CHEM-LIGHT-LIGHT,DEM,PJ
CHEM-MOTOR-MTV_STA,DEM,PJ
CHEM-BOILR-PH_HIGH,DEM,PJ
CHEM-FURNC-PH_HIGH,DEM,PJ
CHEM-FURNC-PH_INT,DEM,PJ
CHEM-BURNR-PH_HIGH,DEM,PJ
CNST-ENGIN-MTV_STA,DEM,PJ
CNST-ICENG-MTV_MOB,DEM,PJ
