Commodity,Fuel,CommodityGroup
AGRAGRWST,Agricultural waste,Energy
AGRANMMNR,Animal manure,Energy
AGRBDSL,Biodiesel,Energy
AGRBIG,Biogas,Energy
AGRCOA,Coal,Energy
AGRDID,Drop-in Diesel,Energy
AGRDIJ,Drop-in Jet fuel,Energy
AGRDSL,Diesel,Energy
AGRELC,Electricity,Energy
AGRFOL,Fuel oil,Energy
AGRGEO,Geothermal,Energy
AGRH2R,Hydrogen,Energy
AGRHYD,Hydro,Energy
AGRINDOSDWOD,Wood residuals (onsite industrial),Energy
AGRJET,Jet fuel,Energy
AGRLNG,LNG,Energy
AGRLPG,LPG,Energy
AGRMNCWST,Municipal waste,Energy
AGRNGA,Natural gas,Energy
AGROSWOD,Wood residuals (onsite),Energy
AGRPET,Petrol,Energy
AGRPLT,Wood Pellet,Energy
AGRSOL,Solar,Energy
AGRWIN,Wind,Energy
AGRWOD,Wood,Energy
AGRWODWST,Wood waste,Energy
AGRWST,Agricultural waste,Energy
ANMMNR,Animal manure,Energy
BDSL,Biodiesel,Energy
BIG,Biogas,Energy
COA,Coal,Energy
COMAGRWST,Agricultural waste,Energy
COMANMMNR,Animal manure,Energy
COMBDSL,Biodiesel,Energy
COMBIG,Biogas,Energy
COMCOA,Coal,Energy
COMDID,Drop-in Diesel,Energy
COMDIJ,Drop-in Jet fuel,Energy
COMDSL,Diesel,Energy
COMELC,Electricity,Energy
COMFOL,Fuel oil,Energy
COMGEO,Geothermal,Energy
COMH2R,Hydrogen,Energy
COMHYD,Hydro,Energy
COMINDOSDWOD,Wood residuals (onsite industrial),Energy
COMJET,Jet fuel,Energy
COMLNG,LNG,Energy
COMLPG,LPG,Energy
COMMNCWST,Municipal waste,Energy
COMNGA,Natural gas,Energy
COMOSWOD,Wood residuals (onsite),Energy
COMPET,Petrol,Energy
COMPLT,Wood Pellet,Energy
COMSOL,Solar,Energy
COMWIN,Wind,Energy
COMWOD,Wood,Energy
COMWODWST,Wood waste,Energy
DID,Drop-in Diesel,Energy
DIJ,Drop-in Jet fuel,Energy
DSL,Diesel,Energy
ELC,Electricity,Energy
ELCAGRWST,Agricultural waste,Energy
ELCANMMNR,Animal manure,Energy
ELCBDSL,Biodiesel,Energy
ELCBIG,Biogas,Energy
ELCCOA,Coal,Energy
ELCDD,Electricity,Energy
ELCDID,Drop-in Diesel,Energy
ELCDIJ,Drop-in Jet fuel,Energy
ELCDSL,Diesel,Energy
ELCELC,Electricity,Energy
ELCFOL,Fuel oil,Energy
ELCGEO,Geothermal,Energy
ELCH2R,Hydrogen,Energy
ELCHV,Electricity,Energy
ELCHYD,Hydro,Energy
ELCINDOSDWOD,Wood residuals (onsite industrial),Energy
ELCJET,Jet fuel,Energy
ELCLNG,LNG,Energy
ELCLPG,LPG,Energy
ELCMNCWST,Municipal waste,Energy
ELCNGA,Natural gas,Energy
ELCOSWOD,Wood residuals (onsite),Energy
ELCPET,Petrol,Energy
ELCPLT,Wood Pellet,Energy
ELCSOL,Solar,Energy
ELCWIN,Wind,Energy
ELCWOD,Wood,Energy
ELCWODWST,Wood waste,Energy
FOL,Fuel oil,Energy
GEO,Geothermal,Energy
H2R,Hydrogen,Energy
HYD,Hydro,Energy
INDAGRWST,Agricultural waste,Energy
INDANMMNR,Animal manure,Energy
INDBDSL,Biodiesel,Energy
INDBIG,Biogas,Energy
INDCOA,Coal,Energy
INDDID,Drop-in Diesel,Energy
INDDIJ,Drop-in Jet fuel,Energy
INDDSL,Diesel,Energy
INDELC,Electricity,Energy
INDFOL,Fuel oil,Energy
INDGEO,Geothermal,Energy
INDH2R,Hydrogen,Energy
INDHYD,Hydro,Energy
INDINDOSDWOD,Wood residuals (onsite industrial),Energy
INDJET,Jet fuel,Energy
INDLNG,LNG,Energy
INDLPG,LPG,Energy
INDMNCWST,Municipal waste,Energy
INDNGA,Natural gas,Energy
INDOSDWOD,Wood residuals (onsite industrial),Energy
INDOSWOD,Wood residuals (onsite),Energy
INDPET,Petrol,Energy
INDPLT,Wood Pellet,Energy
