Process,Sector,Commodity,ProcessGroup
FTE_INDAGRWST,Industry,Agricultural waste,Distribution
FTE_RESAGRWST,Residential,Agricultural waste,Distribution
FTE_ELCAGRWST,Electricity generation,Agricultural waste,Distribution
FTE_TRAAGRWST,Transport,Agricultural waste,Distribution
FTE_AGRAGRWST,Agriculture,Agricultural waste,Distribution
FTE_COMAGRWST,Commercial,Agricultural waste,Distribution
FTE_INDANMMNR,Industry,Animal manure,Distribution
FTE_RESANMMNR,Residential,Animal manure,Distribution
FTE_ELCANMMNR,Electricity generation,Animal manure,Distribution
FTE_TRAANMMNR,Transport,Animal manure,Distribution
FTE_AGRANMMNR,Agriculture,Animal manure,Distribution
FTE_COMANMMNR,Commercial,Animal manure,Distribution
FTE_INDMNCWST,Industry,Municipal waste,Distribution
FTE_RESMNCWST,Residential,Municipal waste,Distribution
FTE_ELCMNCWST,Electricity generation,Municipal waste,Distribution
FTE_TRAMNCWST,Transport,Municipal waste,Distribution
FTE_AGRMNCWST,Agriculture,Municipal waste,Distribution
FTE_COMMNCWST,Commercial,Municipal waste,Distribution
FTE_INDOSWOD,Industry,Wood residuals (onsite),Distribution
FTE_RESOSWOD,Residential,Wood residuals (onsite),Distribution
FTE_ELCOSWOD,Electricity generation,Wood residuals (onsite),Distribution
FTE_TRAOSWOD,Transport,Wood residuals (onsite),Distribution
FTE_AGROSWOD,Agriculture,Wood residuals (onsite),Distribution
FTE_COMOSWOD,Commercial,Wood residuals (onsite),Distribution
FTE_INDINDOSDWOD,Industry,Wood residuals (onsite industrial),Distribution
FTE_RESINDOSDWOD,Residential,Wood residuals (onsite industrial),Distribution
FTE_ELCINDOSDWOD,Electricity generation,Wood residuals (onsite industrial),Distribution
FTE_TRAINDOSDWOD,Transport,Wood residuals (onsite industrial),Distribution
FTE_AGRINDOSDWOD,Agriculture,Wood residuals (onsite industrial),Distribution
FTE_COMINDOSDWOD,Commercial,Wood residuals (onsite industrial),Distribution
FTE_INDWODWST,Industry,Wood waste,Distribution
FTE_RESWODWST,Residential,Wood waste,Distribution
FTE_ELCWODWST,Electricity generation,Wood waste,Distribution
FTE_TRAWODWST,Transport,Wood waste,Distribution
FTE_AGRWODWST,Agriculture,Wood waste,Distribution
FTE_COMWODWST,Commercial,Wood waste,Distribution
FTE_INDBDSL,Industry,Biodiesel,Distribution
