Process,CommodityIn,CommodityOut,Sector,EnduseGroup,EndUse,TechnologyGroup,Technology
C_EDU-SH-Boiler-LPG,COMLPG,C_EDU-SH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_EDU-SH-Boiler-PLT,COMPLT,C_EDU-SH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_EDU-SH-Boiler-ELC,COMELC,C_EDU-SH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_EDU-SH-Boiler-BIG,COMBIG,C_EDU-SH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_EDU-SH-Boiler-H2R,COMH2R,C_EDU-SH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_EDU-WH-Boiler-LPG,COMLPG,C_EDU-WH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_EDU-WH-Boiler-WOD,COMWOD,C_EDU-WH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_EDU-WH-Boiler-PLT,COMPLT,C_EDU-WH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_EDU-WH-Boiler-BIG,COMBIG,C_EDU-WH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_EDU-WH-Boiler-H2R,COMH2R,C_EDU-WH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_EDU-SH-GHP-ELC,COMELC,C_EDU-SH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
C_EDU-WH-AIRHP-ELC,COMELC,C_EDU-WH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump (for Heating)
C_EDU-WH-GHP-ELC,COMELC,C_EDU-WH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
C_EDU-WH-Cylinder-ELC,COMELC,C_EDU-WH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
C_EDU-WH-Cylinder-NGA,COMNGA,C_EDU-WH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
C_EDU-WH-Cylinder-LPG,COMLPG,C_EDU-WH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
C_EDU-WH-Instant-NGA,COMNGA,C_EDU-WH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
C_EDU-WH-Instant-LPG,COMLPG,C_EDU-WH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
C_EDU-WH-Instant-ELC,COMELC,C_EDU-WH,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
C_EDU-MPM-MPM-LPG,COMLPG,C_EDU-MPM,Education,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_EDU-MPM-MPM-ELC,COMELC,C_EDU-MPM,Education,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_EDU-MPM-MPM-H2R,COMH2R,C_EDU-MPM,Education,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_EDU-MPS-MPS-DSL,COMDSL,C_EDU-MPS,Education,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_EDU-MPS-MPS-LPG,COMLPG,C_EDU-MPS,Education,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_EDU-MPS-MPS-H2R,COMH2R,C_EDU-MPS,Education,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_EDU-SC-GHP-ELC,COMELC,C_EDU-SC,Education,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump Ground Source (for Cooling)
C_HLTH-SH-Boiler-LPG,COMLPG,C_HLTH-SH,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_HLTH-SH-Boiler-PLT,COMPLT,C_HLTH-SH,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_HLTH-SH-Boiler-ELC,COMELC,C_HLTH-SH,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_HLTH-SH-Boiler-BIG,COMBIG,C_HLTH-SH,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_HLTH-SH-Boiler-H2R,COMH2R,C_HLTH-SH,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_HLTH-WH-Boiler-LPG,COMLPG,C_HLTH-WH,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_HLTH-WH-Boiler-NGA,COMNGA,C_HLTH-WH,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_HLTH-WH-Boiler-WOD,COMWOD,C_HLTH-WH,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_HLTH-WH-Boiler-PLT,COMPLT,C_HLTH-WH,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_HLTH-WH-Boiler-ELC,COMELC,C_HLTH-WH,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_HLTH-WH-Boiler-BIG,COMBIG,C_HLTH-WH,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_HLTH-WH-Boiler-H2R,COMH2R,C_HLTH-WH,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
