Comm-Out,Sector,EnduseGroup,EndUse
T_P_Car,Road Transport,Light vehicles,Light Passenger Vehicle
T_C_Car,Road Transport,Light vehicles,Light Commercial Vehicle
T_P_Mcy,Road Transport,Motorcycle,Motorcycle
T_P_Bus,Road Transport,Bus,Bus
T_F_LTrk,Road Transport,Trucks,Light Truck
T_F_MTrk,Road Transport,Trucks,Medium Truck
T_F_HTrk,Road Transport,Trucks,Heavy Truck
T_F_DSHIP,Sea Transport,Shipping,Domestic Shipping
T_F_ISHIP,Sea Transport,Shipping,International Shipping
T_O_JET,Air Transport,Aviation,Domestic Aviation
T_O_JET_Int,Air Transport,Aviation,International Aviation
T_F_Rail,Rail Transport,Rail,Freight Rail
T_P_Rail,Rail Transport,Rail,Passenger Rail
