ProcessGroup,Process,PlantName,TechnologyGroup,Technology,SectorGroup,Sector,EnduseGroup,EndUse
Electricity generation,ELC_HydSC_Aniwhenua,Aniwhenua,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Arapuni,Arapuni,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Aratiatia,Aratiatia,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Atiamuri,Ātiamuri,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Aviemore,Aviemore,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Benmore,Benmore,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Clyde,Clyde,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Cobb,Cobb,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Coleridge,Coleridge,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Highbank,Highbank,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_CCGT_HuntlyUnit5E3P,Huntly Unit 5 (E3P),Thermal,CCGT,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasPkr_HuntlyUnit6P40,Huntly Unit 6 (P40),Thermal,Natural gas peaker,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasPkr_JunctionRoad,Junction Road,Thermal,Natural gas peaker,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_KaimaiHydroScheme,Kaimai Hydro Scheme,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Kaitawa,Kaitawa,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_KaiwaraDownsS1,Kaiwera Downs Stage 1,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Karapiro,Karāpiro,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Manapouri,Manapōuri,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Mangahao,Mangahao,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Maraetai,Maraetai,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasPkr_McKee,McKee,Thermal,Natural gas peaker,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_MillCreek,Mill Creek,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_Mokai,Mokai,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_NgaTamariki,Ngā Tamariki,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_NgawhaOEC13,Ngāwhā (OEC1-3),Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_NgawhaOEC4,Ngāwhā (OEC4),Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_Ohaaki,Ōhaaki,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Ohakuri,Ōhakuri,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_OhauA,Ōhau A,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_OhauB,Ōhau B,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_OhauC,Ōhau C,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_PaerauGorge,Paerau Gorge,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Patea,Patea,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Piripaua,Piripaua,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_Poihipi,Poihipi,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Rangipo,Rangipo,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
