"Scenario","Attribute","Commodity","Process","Period","Value","Parameters","Set","Sector","Subsector","Technology","Fuel","Enduse","Unit","FuelGroup"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2025","0.051191","Technology Capacity",".DMD.","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","GW","Electricity"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2030","0.089684","Technology Capacity",".DMD.","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","GW","Electricity"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2035","0.128829","Technology Capacity",".DMD.","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","GW","Electricity"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2040","0.147202","Technology Capacity",".DMD.","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","GW","Electricity"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2045","0.134567","Technology Capacity",".DMD.","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","GW","Electricity"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2050","0.123015","Technology Capacity",".DMD.","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","GW","Electricity"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2055","0.112456","Technology Capacity",".DMD.","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","GW","Electricity"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2060","0.102802","Technology Capacity",".DMD.","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","GW","Electricity"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD_ELC00","2018","0.059820","Technology Capacity",".DMD.","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","GW","Electricity"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD_ELC00","2025","0.038883","Technology Capacity",".DMD.","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","GW","Electricity"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD_ELC00","2030","0.023928","Technology Capacity",".DMD.","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","GW","Electricity"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD_ELC00","2035","0.008973","Technology Capacity",".DMD.","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Electricity","Irrigation","GW","Electricity"
