Commodity,Process,NaN_Columns
-,CT_COILBDS,"Technology, Enduse, FuelGroup"
-,CT_CWODDID,"Technology, Enduse, FuelGroup"
-,CT_CWODPLT,"Technology, Enduse, FuelGroup"
-,D-H2_Trailer,"Fuel, FuelGroup"
-,METAL-Refin-NUC-Refinery,FuelGroup
-,METAL-Refin-NUC-Refinery15,FuelGroup
-,REFEOIL00,"Fuel, Enduse, FuelGroup"
-,REF_AGRWST,"Technology, Enduse, FuelGroup"
-,SUP_ELC-PEMD-H2,"Fuel, FuelGroup"
-,WSTWOD2WOD,"Technology, Enduse, FuelGroup"
AGRWST,REF_AGRWST,"Technology, Enduse, FuelGroup"
BDSL,FTE_TRADSL,"Subsector, Technology, Enduse"
BIG,FTE-INDBIG_00,"Subsector, Technology, Enduse"
BIG,FTE_COMBIG_00,"Subsector, Technology, Enduse"
COA,FTE-INDCOA_00,"Subsector, Technology, Enduse"
COA,FTE_AGRCOA,"Subsector, Technology, Enduse"
COA,FTE_COMCOA_00,"Subsector, Technology, Enduse"
COA,FTE_ELCCOA,"Subsector, Technology"
COA,FTE_RESCOA_00,"Subsector, Technology, Enduse"
COL,FTE-INDCOA_00,"Subsector, Technology, Enduse, FuelGroup"
COL,FTE_RESCOA_00,"Subsector, Technology, Enduse, FuelGroup"
DID,FTE-INDDSL_00,"Subsector, Technology, Enduse"
DIJ,FTE_TRAJET,"Subsector, Technology, Enduse"
DSL,EXPDSL1,"Technology, Enduse"
DSL,FTE-INDDSL_00,"Subsector, Technology, Enduse"
DSL,FTE_AGRDSL,"Subsector, Technology, Enduse"
DSL,FTE_COMDSL_00,"Subsector, Technology, Enduse"
DSL,FTE_RESDSL_00,"Subsector, Technology, Enduse"
DSL,FTE_TRADSL,"Subsector, Technology, Enduse"
ELCD,SUP_ELC-PEMD-H2,"Fuel, FuelGroup"
FOL,EXPFOL1,"Technology, Enduse"
FOL,FTE-INDFOL_00,"Subsector, Technology, Enduse"
FOL,FTE_AGRFOL,"Subsector, Technology, Enduse"
FOL,FTE_COMFOL_00,"Subsector, Technology, Enduse"
