Scenario,Attribute,Commodity,Process,Period,Value,Parameters,Set,Sector,Subsector,Technology,Fuel,Enduse,Unit,FuelGroup,NaN_Columns
Kea,VAR_Cap,-,CT_COILBDS,2045,0.0020925046135778,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of biodiesel from waste oiles,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,CT_COILBDS,2050,0.0020925046135778,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of biodiesel from waste oiles,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,CT_COILBDS,2055,0.0024885439216414,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of biodiesel from waste oiles,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,CT_COILBDS,2060,0.0029027645482576,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of biodiesel from waste oiles,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,CT_CWODDID,2045,0.659898739609201,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of drop-in fuels from woodwaste,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,CT_CWODDID,2050,0.713464268112736,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of drop-in fuels from woodwaste,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,CT_CWODDID,2055,0.713464268112736,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of drop-in fuels from woodwaste,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,CT_CWODDID,2060,0.713464268112736,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of drop-in fuels from woodwaste,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,CT_CWODPLT,2025,0.0015701325920454,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of wood pellets from wood waste,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,CT_CWODPLT,2030,0.0071847519099551005,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of wood pellets from wood waste,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,CT_CWODPLT,2035,0.0116679830290067,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of wood pellets from wood waste,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,CT_CWODPLT,2040,0.0128207720877393,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of wood pellets from wood waste,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,CT_CWODPLT,2045,0.0163581780833787,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of wood pellets from wood waste,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,CT_CWODPLT,2050,0.021578764972439497,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of wood pellets from wood waste,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,CT_CWODPLT,2055,0.022409142800136,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of wood pellets from wood waste,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,CT_CWODPLT,2060,0.0218875411409228,Technology Capacity,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,Production of wood pellets from wood waste,,GW,,"Technology, Enduse, FuelGroup"
Kea,VAR_Cap,-,D-H2_Trailer,2025,0.181780284914004,Technology Capacity,.PRE.,Primary Fuel Supply,Hydrogen,Tube Trailer (NI and SI),,Green Hydrogen Fuel,GW,,"Fuel, FuelGroup"
Kea,VAR_Cap,-,D-H2_Trailer,2030,0.181780284914004,Technology Capacity,.PRE.,Primary Fuel Supply,Hydrogen,Tube Trailer (NI and SI),,Green Hydrogen Fuel,GW,,"Fuel, FuelGroup"
Kea,VAR_Cap,-,D-H2_Trailer,2035,3.659674990718373,Technology Capacity,.PRE.,Primary Fuel Supply,Hydrogen,Tube Trailer (NI and SI),,Green Hydrogen Fuel,GW,,"Fuel, FuelGroup"
Kea,VAR_Cap,-,D-H2_Trailer,2040,27.2196420880324,Technology Capacity,.PRE.,Primary Fuel Supply,Hydrogen,Tube Trailer (NI and SI),,Green Hydrogen Fuel,GW,,"Fuel, FuelGroup"
Kea,VAR_Cap,-,D-H2_Trailer,2045,46.8482403255067,Technology Capacity,.PRE.,Primary Fuel Supply,Hydrogen,Tube Trailer (NI and SI),,Green Hydrogen Fuel,GW,,"Fuel, FuelGroup"
Kea,VAR_Cap,-,D-H2_Trailer,2050,64.0107994312848,Technology Capacity,.PRE.,Primary Fuel Supply,Hydrogen,Tube Trailer (NI and SI),,Green Hydrogen Fuel,GW,,"Fuel, FuelGroup"
Kea,VAR_Cap,-,D-H2_Trailer,2055,63.9033915734248,Technology Capacity,.PRE.,Primary Fuel Supply,Hydrogen,Tube Trailer (NI and SI),,Green Hydrogen Fuel,GW,,"Fuel, FuelGroup"
Kea,VAR_Cap,-,D-H2_Trailer,2060,64.9065884055306,Technology Capacity,.PRE.,Primary Fuel Supply,Hydrogen,Tube Trailer (NI and SI),,Green Hydrogen Fuel,GW,,"Fuel, FuelGroup"
Kea,VAR_Cap,-,METAL-Refin-NUC-Refinery,2025,0.0005666217166094,Technology Capacity,.DMD.,Industry,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",Refiner,Nuclear,Refining,GW,,FuelGroup
Kea,VAR_Cap,-,METAL-Refin-NUC-Refinery,2030,0.0009335720035978,Technology Capacity,.DMD.,Industry,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",Refiner,Nuclear,Refining,GW,,FuelGroup
Kea,VAR_Cap,-,METAL-Refin-NUC-Refinery,2035,0.0010922261683296,Technology Capacity,.DMD.,Industry,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",Refiner,Nuclear,Refining,GW,,FuelGroup
Kea,VAR_Cap,-,METAL-Refin-NUC-Refinery,2040,0.0011767856136197,Technology Capacity,.DMD.,Industry,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",Refiner,Nuclear,Refining,GW,,FuelGroup
Kea,VAR_Cap,-,METAL-Refin-NUC-Refinery,2045,0.0012860082304526,Technology Capacity,.DMD.,Industry,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",Refiner,Nuclear,Refining,GW,,FuelGroup
Kea,VAR_Cap,-,METAL-Refin-NUC-Refinery,2050,0.0014058007779469,Technology Capacity,.DMD.,Industry,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",Refiner,Nuclear,Refining,GW,,FuelGroup
Kea,VAR_Cap,-,METAL-Refin-NUC-Refinery,2055,0.0015361632561023,Technology Capacity,.DMD.,Industry,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",Refiner,Nuclear,Refining,GW,,FuelGroup
