Scenario,Attribute,Commodity,Process,Period,Value,Parameters,Set,Sector,Subsector,Technology,Fuel,Enduse,Unit,FuelGroup,Technology_Group
Kea,VAR_FIn,AGRWST,REF_AGRWST,2018,0.06,Fuel Consumption,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,"Agricultural wastes (straws, stover, vegetable culls)",,PJ,,
Kea,VAR_FIn,AGRWST,REF_AGRWST,2025,0.12593193253404328,Fuel Consumption,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,"Agricultural wastes (straws, stover, vegetable culls)",,PJ,,
Kea,VAR_FIn,AGRWST,REF_AGRWST,2030,0.5787027984054463,Fuel Consumption,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,"Agricultural wastes (straws, stover, vegetable culls)",,PJ,,
Kea,VAR_FIn,AGRWST,REF_AGRWST,2035,0.5933576804578373,Fuel Consumption,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,"Agricultural wastes (straws, stover, vegetable culls)",,PJ,,
Kea,VAR_FIn,AGRWST,REF_AGRWST,2040,0.608407159959513,Fuel Consumption,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,"Agricultural wastes (straws, stover, vegetable culls)",,PJ,,
Kea,VAR_FIn,AGRWST,REF_AGRWST,2045,0.6119231941642341,Fuel Consumption,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,"Agricultural wastes (straws, stover, vegetable culls)",,PJ,,
Kea,VAR_FIn,AGRWST,REF_AGRWST,2050,0.6174047765755094,Fuel Consumption,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,"Agricultural wastes (straws, stover, vegetable culls)",,PJ,,
Kea,VAR_FIn,AGRWST,REF_AGRWST,2055,0.6241739029764372,Fuel Consumption,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,"Agricultural wastes (straws, stover, vegetable culls)",,PJ,,
Kea,VAR_FIn,AGRWST,REF_AGRWST,2060,0.6317327661033332,Fuel Consumption,.PRE.,Primary Fuel Supply,Biomass/Biofuels,,"Agricultural wastes (straws, stover, vegetable culls)",,PJ,,
Kea,VAR_FIn,BIG,FTE-INDBIG_00,2018,0.0399999999999999,Fuel Consumption,.PRE.,Industry,,,Biogas,,PJ,Renewables (direct use),
